"","","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem"
"1",2305834.63,2421126.3615,2542182.679575,2669291.81355375,2802756.40423144,2942894.22444301,3090038.93566516,3244540.88244842,3406767.92657084,3577106.32289938,3755961.63904435,3943759.72099657,4140947.7070464,4347995.09239872,4565394.84701866,4793664.58936959,5033347.81883807,5285015.20977997,5549265.97026897,5826729.26878242,6118065.73222154,6423969.01883262,6745167.46977425,7082425.84326296,7436547.13542611
"2",613700198.7,644385208.635,676604469.06675,710434692.520088,745956427.146092,783254248.503397,822416960.928567,863537808.974995,906714699.423745,952050434.394932,999652956.114679,1049635603.92041,1102117384.11643,1157223253.32225,1215084415.98837,1275838636.78779,1339630568.62718,1406612097.05853,1476942701.91146,1550789837.00703,1628329328.85739,1709745795.30026,1795233085.06527,1884994739.31853,1979244476.28446
"3",206630009.94,216961510.437,227809585.95885,239200065.256793,251160068.519632,263718071.945614,276903975.542894,290749174.320039,305286633.036041,320550964.687843,336578512.922235,353407438.568347,371077810.496765,389631701.021603,409113286.072683,429568950.376317,451047397.895133,473599767.78989,497279756.179384,522143743.988354,548250931.187771,575663477.74716,604446651.634518,634668984.216244,666402433.427056
"4",553055185.1,580707944.355,609743341.57275,640230508.651388,672242034.083957,705854135.788155,741146842.577563,778204184.706441,817114393.941763,857970113.638851,900868619.320794,945912050.286833,993207652.801175,1042868035.44123,1095011437.2133,1149762009.07396,1207250109.52766,1267612615.00404,1330993245.75424,1397542908.04196,1467420053.44405,1540791056.11626,1617830608.92207,1698722139.36817,1783658246.33658
"5",2320231269.48,2436242832.954,2558054974.6017,2685957723.33179,2820255609.49837,2961268389.97329,3109331809.47196,3264798399.94556,3428038319.94283,3599440235.93998,3779412247.73697,3968382860.12382,4166802003.13001,4375142103.28652,4593899208.45084,4823594168.87338,5064773877.31705,5318012571.18291,5583913199.74205,5863108859.72916,6156264302.71561,6464077517.85139,6787281393.74397,7126645463.43116,7482977736.60272
"6",5257524366.76,5520400585.098,5796420614.3529,6086241645.07055,6390553727.32407,6710081413.69028,7045585484.37479,7397864758.59353,7767757996.52321,8156145896.34937,8563953191.16684,8992150850.72518,9441758393.26144,9913846312.92451,10409538628.5707,10930015559.9993,11476516337.9992,12050342154.8992,12652859262.6442,13285502225.7764,13949777337.0652,14647266203.9184,15379629514.1144,16148610989.8201,16956041539.3111
"7",237261948.41,249125045.8305,261581298.122025,274660363.028126,288393381.179533,302813050.238509,317953702.750435,333851387.887957,350543957.282354,368071155.146472,386474712.903796,405798448.548986,426088370.976435,447392789.525257,469762429.001519,493250550.451595,517913077.974175,543808731.872884,570999168.466528,599549126.889855,629526583.234348,661002912.396065,694053058.015868,728755710.916662,765193496.462495
"8",290942893.29,305490037.9545,320764539.852225,336802766.844836,353642905.187078,371325050.446432,389891302.968754,409385868.117191,429855161.523051,451347919.599204,473915315.579164,497611081.358122,522491635.426028,548616217.19733,576047028.057196,604849379.460056,635091848.433059,666846440.854712,700188762.897447,735198201.04232,771958111.094436,810556016.649157,851083817.481615,893638008.355696,938319908.773481
"9",1877388480.27,1971257904.2835,2069820799.49767,2173311839.47256,2281977431.44619,2396076303.0185,2515880118.16942,2641674124.07789,2773757830.28179,2912445721.79588,3058068007.88567,3210971408.27995,3371519978.69395,3540095977.62865,3717100776.51008,3902955815.33559,4098103606.10237,4303008786.40749,4518159225.72786,4744067187.01425,4981270546.36497,5230334073.68321,5491850777.36738,5766443316.23574,6054765482.04753
"10",96143637.91,100950819.8055,105998360.795775,111298278.835564,116863192.777342,122706352.416209,128841670.03702,135283753.53887,142047941.215814,149150338.276605,156607855.190435,164438247.949957,172660160.347455,181293168.364827,190357826.783069,199875718.122222,209869504.028333,220362979.22975,231381128.191237,242950184.600799,255097693.830839,267852578.522381,281245207.4485,295307467.820925,310072841.211972
"11",688732136.89,723168743.7345,759327180.921225,797293539.967286,837158216.965651,879016127.813933,922966934.20463,969115280.914861,1017571044.9606,1068449597.20863,1121872077.06907,1177965680.92252,1236863964.96865,1298707163.21708,1363642521.37793,1431824647.44683,1503415879.81917,1578586673.81013,1657516007.50064,1740391807.87567,1827411398.26945,1918781968.18292,2014721066.59207,2115457119.92167,2221229975.91776
"12",173856251.4,182549063.97,191676517.1685,201260343.026925,211323360.178271,221889528.187185,232984004.596544,244633204.826371,256864865.06769,269708108.321074,283193513.737128,297353189.423985,312220848.895184,327831891.339943,344223485.90694,361434660.202287,379506393.212402,398481712.873022,418405798.516673,439326088.442507,461292392.864632,484357012.507864,508574863.133257,534003606.28992,560703786.604416
"13",191951226.38,201548787.699,211626227.08395,222207538.438148,233317915.360055,244983811.128058,257233001.684461,270094651.768684,283599384.357118,297779353.574974,312668321.253722,328301737.316409,344716824.182229,361952665.391341,380050298.660908,399052813.593953,419005454.273651,439955726.987333,461953513.3367,485051189.003535,509303748.453712,534768935.876397,561507382.670217,589582751.803728,619061889.393914
"14",48821827.28,51262918.644,53826064.5762,56517367.80501,59343236.1952605,62310398.0050235,65425917.9052747,68697213.8005385,72132074.4905654,75738678.2150936,79525612.1258483,83501892.7321407,87676987.3687478,92060836.7371852,96663878.5740444,101497072.502747,106571926.127884,111900522.434278,117495548.555992,123370325.983792,129538842.282981,136015784.39713,142816573.616987,149957402.297836,157455272.412728
"15",1446544073.73,1518871277.4165,1594814841.28733,1674555583.35169,1758283362.51928,1846197530.64524,1938507407.1775,2035432777.53638,2137204416.4132,2244064637.23386,2356267869.09555,2474081262.55033,2597785325.67784,2727674591.96174,2864058321.55982,3007261237.63781,3157624299.5197,3315505514.49569,3481280790.22047,3655344829.7315,3838112071.21807,4030017674.77898,4231518558.51793,4443094486.44382,4665249210.76601
"16",1747721638.08,1835107719.984,1926863105.9832,2023206261.28236,2124366574.34648,2230584903.0638,2342114148.21699,2459219855.62784,2582180848.40923,2711289890.8297,2846854385.37118,2989197104.63974,3138656959.87173,3295589807.86531,3460369298.25858,3633387763.17151,3815057151.33008,4005810008.89659,4206100509.34142,4416405534.80849,4637225811.54891,4869087102.12636,5112541457.23268,5368168530.09431,5636576956.59903
"17",555584994.59,583364244.3195,612532456.535475,643159079.362249,675317033.330361,709082884.996879,744537029.246723,781763880.70906,820852074.744513,861894678.481738,904989412.405825,950238883.026116,997750827.177422,1047638368.53629,1100020286.96311,1155021301.31126,1212772366.37683,1273410984.69567,1337081533.93045,1403935610.62697,1474132391.15832,1547839010.71624,1625230961.25205,1706492509.31465,1791817134.78039
"18",2721247045.39,2857309397.6595,3000174867.54248,3150183610.9196,3307692791.46558,3473077431.03886,3646731302.5908,3829067867.72034,4020521261.10636,4221547324.16168,4432624690.36976,4654255924.88825,4886968721.13266,5131317157.18929,5387883015.04876,5657277165.8012,5940141024.09126,6237148075.29582,6549005479.06061,6876455753.01364,7220278540.66432,7581292467.69754,7960357091.08242,8358374945.63654,8776293692.91837
"19",2869046015.55,3012498316.3275,3163123232.14388,3321279393.75107,3487343363.43862,3661710531.61055,3844796058.19108,4037035861.10064,4238887654.15567,4450832036.86345,4673373638.70662,4907042320.64196,5152394436.67405,5410014158.50776,5680514866.43315,5964540609.7548,6262767640.24254,6575906022.25467,6904701323.3674,7249936389.53578,7612433209.01256,7993054869.46319,8392707612.93635,8812342993.58317,9252960143.26233
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",14172336832.83,14880953674.4715,15625001358.1951,16406251426.1048,17226563997.4101,18087892197.2806,18992286807.1446,19941901147.5018,20938996204.8769,21985946015.1208,23085243315.8768,24239505481.6707,25451480755.7542,26724054793.5419,28060257533.219,29463270409.88,30936433930.374,32483255626.8927,34107418408.2373,35812789328.6492,37603428795.0816,39483600234.8357,41457780246.5775,43530669258.9063,45707202721.8517
"22",324038326.55,340240242.8775,357252255.021375,375114867.772444,393870611.161066,413564141.719119,434242348.805075,455954466.245329,478752189.557596,502689799.035475,527824288.987249,554215503.436612,581926278.608442,611022592.538864,641573722.165808,673652408.274098,707335028.687803,742701780.122193,779836869.128303,818828712.584718,859770148.213954,902758655.624652,947896588.405885,995291417.826179,1045055988.71749
"23",789522438.15,828998560.0575,870448488.060375,913970912.463394,959669458.086564,1007652930.99089,1058035577.54044,1110937356.41746,1166484224.23833,1224808435.45025,1286048857.22276,1350351300.0839,1417868865.08809,1488762308.3425,1563200423.75962,1641360444.9476,1723428467.19498,1809599890.55473,1900079885.08247,1995083879.33659,2094838073.30342,2199579976.9686,2309558975.81703,2425036924.60788,2546288770.83827
"24",1592377011.33,1671995861.8965,1755595654.99132,1843375437.74089,1935544209.62794,2032321420.10933,2133937491.1148,2240634365.67054,2352666083.95407,2470299388.15177,2593814357.55936,2723505075.43733,2859680329.20919,3002664345.66965,3152797562.95313,3310437441.10079,3475959313.15583,3649757278.81362,3832245142.7543,4023857399.89202,4225050269.88662,4436302783.38095,4658117922.55,4891023818.6775,5135575009.61137
"25",6602979653.96,6933128636.658,7279785068.4909,7643774321.91545,8025963038.01122,8427261189.91178,8848624249.40737,9291055461.87774,9755608234.97163,10243388646.7202,10755558079.0562,11293335983.009,11858002782.1595,12450902921.2675,13073448067.3308,13727120470.6974,14413476494.2322,15134150318.9439,15890857834.891,16685400726.6356,17519670762.9674,18395654301.1157,19315437016.1715,20281208866.9801,21295269310.3291
"26",2265694446.69,2378979169.0245,2497928127.47573,2622824533.84951,2753965760.54199,2891664048.56909,3036247250.99754,3188059613.54742,3347462594.22479,3514835723.93603,3690577510.13283,3875106385.63947,4068861704.92145,4272304790.16752,4485920029.6759,4710216031.15969,4945726832.71768,5193013174.35356,5452663833.07124,5725297024.7248,6011561875.96104,6312139969.75909,6627746968.24705,6959134316.6594,7307091032.49237
"27",1056052512.21,1108855137.8205,1164297894.71153,1222512789.4471,1283638428.91946,1347820350.36543,1415211367.8837,1485971936.27789,1560270533.09178,1638284059.74637,1720198262.73369,1806208175.87037,1896518584.66389,1991344513.89709,2090911739.59194,2195457326.57154,2305230192.90011,2420491702.54512,2541516287.67238,2668592102.05599,2802021707.15879,2942122792.51673,3089228932.14257,3243690378.7497,3405874897.68719
"28",3043078557.33,3195232485.1965,3354994109.45633,3522743814.92914,3698881005.6756,3883825055.95938,4078016308.75735,4281917124.19522,4496012980.40498,4720813629.42523,4956854310.89649,5204697026.44131,5464931877.76338,5738178471.65155,6025087395.23413,6326341764.99583,6642658853.24562,6974791795.90791,7323531385.7033,7689707954.98847,8074193352.73789,8477903020.37479,8901798171.39353,9346888079.96321,9814232483.96137
"29",311529024.3,327105475.515,343460749.29075,360633786.755288,378665476.093052,397598749.897705,417478687.39259,438352621.762219,460270252.85033,483283765.492847,507447953.767489,532820351.455864,559461369.028657,587434437.48009,616806159.354094,647646467.321799,680028790.687889,714030230.222283,749731741.733398,787218328.820068,826579245.261071,867908207.524125,911303617.900331,956868798.795347,1004712238.73511
"30",2348887025.58,2466331376.859,2589647945.70195,2719130342.98705,2855086860.1364,2997841203.14322,3147733263.30038,3305119926.4654,3470375922.78867,3643894718.92811,3826089454.87451,4017393927.61824,4218263623.99915,4429176805.19911,4650635645.45906,4883167427.73201,5127325799.11862,5383692089.07455,5652876693.52827,5935520528.20469,6232296554.61492,6543911382.34567,6871106951.46295,7214662299.0361,7575395413.9879
"31",2593268451.18,2722931873.739,2859078467.42595,3002032390.79725,3152134010.33711,3309740710.85397,3475227746.39666,3648989133.7165,3831438590.40232,4023010519.92244,4224161045.91856,4435369098.21449,4657137553.12521,4889994430.78148,5134494152.32055,5391218859.93658,5660779802.93341,5943818793.08008,6241009732.73408,6553060219.37078,6880713230.33932,7224748891.85629,7585986336.44911,7965285653.27156,8363549935.93514
"32",1744834695.25,1832076430.0125,1923680251.51313,2019864264.08878,2120857477.29322,2226900351.15788,2338245368.71578,2455157637.15157,2577915519.00914,2706811294.9596,2842151859.70758,2984259452.69296,3133472425.32761,3290146046.59399,3454653348.92369,3627386016.36987,3808755317.18837,3999193083.04778,4199152737.20017,4409110374.06018,4629565892.76319,4861044187.40135,5104096396.77142,5359301216.60999,5627266277.44049
"33",805990054.49,846289557.2145,888604035.075225,933034236.828986,979685948.670436,1028670246.10396,1080103758.40916,1134108946.32961,1190814393.64609,1250355113.3284,1312872868.99482,1378516512.44456,1447442338.06679,1519814454.97013,1595805177.71863,1675595436.60457,1759375208.43479,1847343968.85653,1939711167.29936,2036696725.66433,2138531561.94755,2245458140.04492,2357731047.04717,2475617599.39953,2599398479.3695
