V1,V2,LPC_2017
Padi,Direct land-based,378.0447384
Tanaman Bahan Makanan lainnya,Direct land-based,152.014867
Karet,Direct land-based,12.38240025
Kelapa Sawit,Direct land-based,4.77929263
Kopi,Direct land-based,25.42965552
Tanaman Pekebunan Lainnya,Direct land-based,37.86016361
Peternakan dan hasil-hasilnya,Direct land-based,178027.6073
Kayu,Direct land-based,3.830675019
Hasil hutan lainnya,Direct land-based,19.13479328
Perikanan,Direct land-based,275.4137056
Pertambangan Migas,Direct land-based,7952.903198
Pertambangan non-Migas,Direct land-based,3033.400517
Penggalian,Direct land-based,902.4553966
Pengilangan minyak bumi,Direct land-based,950.5793576
"Industri penggilingan padi, biji-bijian",Indirect land-based,8326.924044
Industri Kelapa Sawit,Indirect land-based,6076.673087
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Indirect land-based,7051.27089
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Indirect land-based,1656.449607
"Industri Barang dari Karet dan Plastik, besi dan baja",Indirect land-based,5322.893727
"Industri kertas dan barang dari kertas, mesin dan peralatan",Indirect land-based,1592.736083
Industri pupuk dan bahan kimia,Indirect land-based,132.9761544
"Industri semen, dan barang galian bukan logam",Indirect land-based,579.2005234
Industri Lainnya,Indirect land-based,381.4753138
"Listrik, Gas dan Air Bersih",Non land-based,457.0915234
Konstruksi,Non land-based,53295.09651
Perdagangan Besar dan Eceran,Non land-based,81592.54068
"Transportasi ,sungai,  dan penyeberangan",Non land-based,186105.4969
Penyediaan Akomodasi dan Makan Minum,Non land-based,8108.678314
Informasi dan Komunikasi,Non land-based,23219.34907
Jasa Keuangan dan Asuransi,Non land-based,16808.82813
Real Estate dan Jasa Perusahaan,Non land-based,21287.86226
Jasa Administrasi Pemerintahan,Non land-based,24833.80694
Jasa Pendidikan,Non land-based,21143.1564
Jasa Kesehatan dan Kegiatan Sosial,Non land-based,6309.712066
"Jasa lainnya, rekreasi & kebudayaan",Non land-based,5614.553725
Kegiatan lainnya,Non land-based,0
