2018,2024,2030,2036,2042,2048
426.8504773,367.9359947,322.8685657,285.3697126,252.6872259,224.2190599
26284.01367,23358.20318,25057.68386,25752.92596,26602.6663,27182.03471
11582561.78,11148713.18,10877487.08,10877864.31,11003122.48,11040675.41
29352.10571,29844.19982,29790.97972,29709.64992,29526.34399,29274.82148
323298.2766,359921.118,390253.7667,410679.4605,425091.909,437550.5955
1052271.678,2314359.468,3462963.068,4491101.905,5405158.216,6229464.29
28540.08956,26104.77117,24601.84566,23558.39258,22768.05014,22129.97844
303917.6344,275641.2986,267553.7933,262444.3448,258552.1557,254913.6811
564538.0279,837481.5758,1107793.785,1367917.448,1619473.472,1863977.506
0,0,0,0,0,0
142711.3536,185716.6924,208851.1085,222681.6996,231190.5342,238045.0796
0,0,0,0,0,0
15794026.95,23430142.75,30992641.82,38270096.92,45307855.97,52148322.19
369883.6217,548715.4152,725823.1632,896255.4069,1061074.158,1221272.468
13984590.65,20745877.94,27441982.36,33885698.77,40117179.81,46173970.78
78122.45248,115893.193,153299.8009,189296.4877,224107.5589,257942.7548
7698.018897,11419.86665,15105.83356,18652.86986,22083.07815,25417.12578
2174167.79,3225337.137,4266372.583,5268169.562,6236970.557,7178612.695
1121784.952,1664146.935,2201280.225,2718168.011,3218031.169,3703881.427
21015.44313,31176.01572,41238.6343,50921.975,60286.37747,69388.26322
74440.50404,110431.0915,146074.7082,180374.854,213545.2628,245785.7898
97149.21295,144119.0353,190636.0404,235399.7373,278689.0615,320764.8355
70958.96942,105266.3002,139242.8878,171938.8377,203557.8878,234290.5461
154066.4021,228554.6178,302324.7226,373314.3016,441965.7113,508692.5836
574658.4502,852495.0325,1127653.104,1392439.981,1648505.626,1897392.862
95781.01667,142089.3418,187951.2269,232084.4964,274764.1574,316247.3593
27458.21381,40733.74517,53881.29247,66533.28546,78768.56233,90660.84189
62220.05721,92302.28787,122094.5078,150763.8063,178488.8299,205436.6249
