ID,Land Cover,2018,2024,2030,2036,2042,2048
1,Logged over forest-high density,11817,10234,10131,10186,10217,10245
2,Logged over forest-low density,5845,7319,7387,7299,7236,7180
3,Logged over swamp forest,298802,269477,261188,256009,252087,248410
4,Undisturbed mangrove,232,168,160,154,150,148
5,Logged over mangrove,3136,2877,2698,2539,2401,2279
6,Acacia plantation,278428,256857,234688,218786,206747,197489
7,Mixed garden,16101,22471,25302,26954,28158,29147
8,Rubber agroforest,15370,17194,18484,19114,19847,20280
9,Coconut agroforest,27055,25577,26684,27691,28290,28928
10,Rubber monoculture,50650,47073,44732,44293,44444,44340
11,Oil palm monoculture,420812,427867,427104,425938,423310,419704
12,Sagoo monoculture,1379,1507,1793,2050,2218,2355
13,Rice field,4963,4278,3754,3318,2938,2607
14,Annual crop,2722,2419,2595,2667,2755,2815
15,Shrub,74849,92864,100228,102955,103239,103033
16,Grass,5276,11604,17363,22518,27101,31234
17,Mining,134,101,81,71,64,58
18,Cleared land,41676,46537,48946,48243,47522,46794
19,Settlement,26818,39784,52625,64982,76932,88547
20,Swamp,3434,3291,3556,3732,3843,3906
21,Waterbody,42203,42203,42203,42203,42203,42203
