2018,2024,2030,2036,2042,2048
112063,187087.3705,258334.8854,324606.4548,386268.208,444205.8735
158043,231402.7458,306959.161,377024.0487,443257.2663,505922.3606
13333570,12883339.85,12617103.68,12658869.8,12840868.49,12920210.02
5949841,8811699.007,11645326.48,14372082.76,17008875.72,19571635.76
421454,500803.732,571384.4533,628487.9061,676653.9618,720834.988
1376808,2925618.504,4340388.829,5611167.969,6745779.949,7773106.836
777853,1135613.164,1490891.309,1833235.606,2164540.313,2486660.438
384935,391232.8153,417897.4776,446290.51,474812.2394,502670.1122
657229,979754.3321,1298402.074,1604477.137,1899862.045,2186447.838
0,0,0,0,0,0
1303939,1859733.701,2390930.437,2895106.175,3378342.148,3845733.815
0,0,0,0,0,0
18928710,28081175.05,37145251.68,45867579.37,54302500.22,62500852.19
4564589,6765211.32,8944703.15,11042200.61,13070646.48,15042088.22
15179807,22516165.83,29781845.99,36773695.66,43535218.12,50107084.9
917137,1514185.079,2082880.734,2613273.338,3108291.256,3574640.669
19533,28949.30833,38262.1635,47214.52007,55860.38841,64252.14426
2597575,3743414.049,4881071.445,5980240.626,7045214.668,8078735.514
1920056,2819656.577,3709870.231,4566836.771,5394974.036,6198233.415
142377,203920.3694,264945.5081,323863.8156,380889.5851,436155.77
157400,231636.2115,305142.9441,375892.6619,444298.9493,510735.1778
245198,360973.0236,475615.5441,585938.7747,692585.1204,796142.9222
320793,468577.0781,614938.1812,755955.3622,892344.406,1024706.236
380990,560822.1192,738583.7063,909551.7038,1074754.5,1235132.451
574658,852495.0325,1127653.104,1392439.981,1648505.626,1897392.862
198107,291088.2189,383230.6876,472008.9445,557909.5046,641354.3989
81036,119413.1779,157434.317,194052.5828,229476.9264,263893.3815
180020,255904.2173,331368.727,404382.4046,475149.7729,543751.4812
