ID,Sektor,Tenaga_Kerja
1,Tanaman Pangan ,2029.105333
2,Tanaman Hortikultura,4760.849038
3,Perkebunan,25392.89894
4,Peternakan ,5477.964013
5,"Jasa Pertanian, dan Perburuan  ",5384.69343
6,Kehutanan dan Penebangan Kayu,15944.30118
7,Perikanan ,1868.963159
8,"Pertambangan Minyak, Gas dan Panas Bumi",12980.22893
9,Pertambangan Bijih Logam,123568.7991
10,Pertambangan dan Penggalian Lainnya,298780.4015
11,Industri Batubara dan Pengilangan Migas,28233.91417
12,Industri Makanan dan Minuman ,102513.8183
13,Pengolahan Tembakau,8684.456872
14,Industri Tekstil dan Pakaian Jadi,132.2670408
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",9181.689031
16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",3925.60684
17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",10858.9871
18,"Industri Kimia, Farmasi dan Obat Tradisional",593.2182111
19,"Industri Karet, Barang dari Karet dan Plastik",0
20,Industri Barang Galian bukan Logam,1048.531762
21,Industri Logam Dasar ,303.5193682
22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",362.8047941
23,Industri Mesin dan Perlengkapan YTDL,56037.97077
24,Industri Alat Angkutan,446199.3225
25,Industri Furnitur,31645.69788
26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",26460.54912
27,Ketenagalistrikan ,37386.89986
28,Pengadaan Gas dan Produksi Es,34593.46241
29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",44670.30103
30,Konstruksi,27687.01343
31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",35734.54731
32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",23252.00488
33,Angkutan Rel ,7955
34,Angkutan Darat,16223.23022
35,Angkutan Laut ,2023.704275
36,Angkutan Sungai Danau dan Penyeberangan,31031.00868
37,Angkutan Udara,0
38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",34593.46241
39,Penyediaan Akomodasi ,44670.30103
40,Penyediaan Makan Minum,27687.01343
41,Informasi dan Komunikasi,35734.54731
42,Jasa Perantara Keuangan,23252.00488
43,Asuransi dan Dana Pensiun,7955
44,Jasa Keuangan Lainnya,16223.23022
45,Jasa Penunjang Keuangan,2023.704275
46,Real Estate,31031.00868
47,Jasa Perusahaan,0
48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",23252.00488
49,Jasa Pendidikan,7955
50,Jasa Kesehatan dan Kegiatan Sosial,16223.23022
51,Jasa lainnya,2023.704275
52,Lainnya,0
