 - , - ,  51 718 ,  90 699 , - 
  66 147 , - ,  6 631 , ( 46 023 ),  1 736 
  819 419 , - , - ,  23 251 ,  48 425 
  317 675 , - ,  5 199 , - , - 
  10 233 , - , - ,   374 , - 
  76 643 , - , - ,  44 071 ,  279 885 
  895 261 , - , - , - ,  232 663 
 1 537 354 , - , - , - ,  330 168 
   67 , - , - , - ,  587 450 
 - , - , - ,  1 222 , 29 761 848 
 - , - , - , ( 34 109 ),  759 838 
  21 425 , - , - , - ,  43 134 
  49 257 , - , - ,   174 , - 
  598 472 , - , - ,  594 148 , 6 860 677 
 2 444 283 , - , - ,  392 882 , 3 392 329 
 1 882 826 ,  230 518 , - , ( 1 967 ),  36 772 
  86 985 , - , - ,   103 ,  14 459 
  118 369 ,  12 496 ,   21 ,  23 537 ,  15 731 
  419 167 , - , - , ( 132 093 ),  804 163 
  249 357 ,  1 529 ,  9 732 ,  69 568 ,  212 320 
  7 623 ,  83 887 , - ,   62 , - 
  78 048 ,  41 532 , - ,   31 ,  17 305 
 - , - , - , - , - 
  288 946 ,  20 582 , - ,  351 401 , 2 663 825 
  247 575 , - ,   880 ,  208 920 , 1 335 560 
  21 900 ,  1 107 ,  29 061 ,  1 413 ,  1 551 
  709 992 ,  99 964 , - ,  2 211 ,  34 420 
  161 658 ,  33 011 , - , - , - 
 - ,  22 116 , 9 622 639 , - , - 
 3 391 862 ,  304 941 ,  295 720 ,  184 083 , 4 420 955 
  175 870 ,  84 086 , - , - ,  38 657 
 2 495 402 ,  60 349 , - , - ,  94 223 
 1 567 553 ,  335 960 ,  61 772 ,  38 453 ,  967 349 
  156 781 ,  15 216 ,  7 652 ,  4 763 ,  130 310 
 1 468 518 ,  215 799 ,  95 887 ,  59 689 , 1 455 117 
  246 470 ,  414 777 ,  6 995 ,  4 354 ,  183 052 
  31 563 ,  15 469 ,  1 390 ,   865 ,  20 773 
  500 129 ,  120 988 , - , - ,  17 537 
  31 456 ,  4 423 ,  20 382 , - , - 
  73 688 , 6 623 990 , - , - , - 
  76 326 ,  2 592 , - , - ,  9 523 
  452 990 ,  16 809 , - , - ,  18 234 
  249 475 ,  19 472 , - , - , - 
  86 539 ,  28 112 , - , - , - 
  3 794 , - , - , - , - 
