" 164,804,337 ", - , - , - ," 2,520,740 ", - , - , - ," 251,154 "," 16,646,335 ", - , - , - , - , - , - , - , - , - , - ," 1,483,040,638 ", - , - ," 4,200,200 "," 2,620,583 ", - , - , - , - , - , - , - ," 93,456 ", - , - , - , - , - , - , - , - , - , - , - , - ," 264,146 ", - ," 15,946 ", - 
 - ," 8,243,680 ", - , - , - , - , - , - , - ," 54,405 ", - , - , - ," 68,806 ", - , - , - , - , - , - ," 60,056,627 ", - , - , - , - , - , - , - , - , - , - , - , - ," 156,432 "," 7,330,014 ", - , - , - , - , - , - , - , - , - , - ," 271,110 "," 206,407 ", - , - 
 - , - ," 19,114,077 ", - , - , - , - , - ," 189,588 "," 1,854,503 ", - , - , - ," 142,329 ", - , - , - , - , - , - ," 5,708,986 ", - , - , - ," 1,579,283 ", - , - , - , - , - , - , - , - ," 6,180,660 "," 75,261,806 ", - , - ," 16,512,161 ", - , - , - , - , - , - , - ," 77,810 "," 5,613,061 "," 1,991,997 ", - 
 - , - ," 86,669 "," 6,703,780 ", - , - , - , - , - ," 949,907 ", - , - , - , - , - , - , - , - , - , - ," 45,995,579 ", - , - , - ," 503,028 ", - , - , - , - , - , - , - , - ," 10,020,345 "," 68,487,179 ", - , - ," 6,973,237 ", - , - , - , - , - , - , - ," 686,221 "," 12,156,968 "," 555,746 ", - 
 - , - , - , - ," 31,066,202 ", - , - , - ," 3,555,397 "," 3,386,764 "," 10,849,631 ", - ," 312,099 "," 9,339,256 ", - , - , - , - , 294 , 791 ," 80,847,710 ", 323 , 222 , - ," 610,916 ", - , - , - ," 47,796 ", - , - , - , - ," 697,985 "," 152,147,868 ", - , - ," 1,145,126 ", - , - , - , - , - , - , - , - ," 4,776,933 "," 189,362 ", - 
 - , - , - , - , - ," 6,127,808 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 7,871,458 ", - , - , - , - , - , - , - ," 109,141 ", - , - , - , - , - ," 89,185,406 ", - , - , - , - , - , - , - , - , - , - , - ," 72,902 ", - , - 
 - , - , - , - , - , - ," 407,444,244 ", - , - , - , - , - , - , - , - , - , - , - , - , - ," 2,675,520,661 ", - , - , - ," 127,030,128 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - ," 58,711,183 ", - ," 1,808,982 ", - , - , - , - , - , - , - , - ," 1,762 "," 30,121 "," 21,125,121 "," 1,667,125 "," 5,918,862 "," 4,187,530 "," 22,959,086 ", - , - , - ," 9,932,817 ", - , - , - , - ," 132,780 "," 13,589,818 ", - , - ," 272,749 ", - , - , - , - , - , - , - , - ," 1,087,657 "," 289,769 "," 523,361 "
 - , - ," 4,210,476 "," 8,150,078 "," 372,610 ", - , - ," 846,756 "," 14,083,218 "," 315,507 ", - , - , - ," 445,354 ", - , - , - , - , - , - ," 107,840,987 "," 193,265 "," 3,096 ", - ," 3,640,803 ", - , - , - ," 6,755,157 ", - , - , - , - ," 20,293,947 "," 313,127,695 ", - , - ," 21,846,978 ", - , - , - , - , - , - ," 12,079 ", - ," 9,358,341 ", - , - 
" 1,573,096 ", - ," 2,720,533 "," 12,649,997 "," 10,206,699 "," 295,504 "," 7,922,146 "," 696,404 ", - ," 33,476,872 ", - , - , - , - , - , - , - , - , - , - ," 126,879,605 "," 1,581,204 "," 1,263 ", - ," 546,977 ", - , - , - ," 224,230 ", - , - , - , - ," 1,317,358 "," 152,465,431 ", - , - ," 81,135 ", - , - , - , - , - , - , - ," 9,172,730 "," 1,601,949 "," 274,424 ", - 
" 50,598 "," 19,484 ", - ," 54,008 "," 111,513 "," 431,110 "," 274,485 "," 732,571 ", - ," 410,387 "," 57,194,354 "," 25,436 "," 5,303,771 "," 1,412,533 ", - ," 50,131,752 "," 27,888 "," 2,613,524 ", - , - ," 3,913,760 "," 83,518 "," 1,700,456,507 "," 1,094,226,475 "," 520,652 "," 2,224,224 ", - ," 189,916 "," 405,753 ", - , - ," 462,885,385 "," 1,707,635 "," 2,306,374 "," 2,792,792 "," 1,000,914 ", - , - , - , - , - , - , - , - ," 120,152 ", - ," 10,174 ", - , - 
 - , - , - , - , - , - , - , - , - ," 1,049 "," 119,015 "," 20,342 "," 419,214 "," 30,989 ", - , - , - , - , - , - ," 1,206,322 "," 463,387 "," 55,485,735 "," 102,304 "," 2,348,055 ", - , - , - ," 829,031 ", - , - ," 172,660 ", - ," 21,163 "," 493,520 ", - , - , - , - , - , - , - , - , - , - , - ," 2,417 ", 680 ," 1,370,855 "
 - , - , - , - ," 40,153 ", - ," 22,384 "," 11,816 ", - , - , - , - ," 72,823,398 ", - , - , - , - , - , - , - ," 415,377,062 "," 325,203 "," 18,666,785 ", - ," 258,314 ", - , - ," 11,903,820 "," 4,077,968 ", - , - , - , - ," 27,746,022 "," 131,344,492 ", - , - ," 18,714,971 ", - , - , - , - , - , - ," 6,624,245 ", - ," 2,847,427 ", - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ," 148,219,907 ", - , - , - , - , - , - ," 66,996,955 ", - , - , - ," 1,698 ", - , - , - , - , - , - , - , - ," 8,979,799 "," 264,246,999 ", - , - ," 5,544,951 ", - , - , - , - , - , - ," 179,594 ", - ," 1,282,475 "," 14,314 ", - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 2,665,734,457 ", - , - , - ," 3,047,569,977 "," 2,980,795,794 ", - , - , - , - ," 600,937,749 ", - , - , - , - ," 7,965,712 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 18,005,085,442 ", - , - , - , - , - , - , - , - , - , - , - , - , - ," 231,844,468 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 12,547,745 ", - , - , - ," 1,092,494 "," 839,471 ", - , - ," 34,383,809 "," 14,369,572 ", - ," 57,996,812 "," 78,426,725 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 243,795 ", - , - , - , - , - ," 730,950 "," 2,759,656 "," 9,830,122 ", - ," 90,790 "," 1,746,013 ", - , - ," 1,923,146,044 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
" 1,071,719 "," 1,551 "," 125,975 "," 1,453,229 "," 3,998,444 "," 194,849 "," 38,741,583 "," 1,421,112 "," 669,869 "," 612,493 "," 129,867,888 "," 5,529,345 "," 168,857,208 "," 4,225,885 "," 172,019,519 "," 1,864,064,918 "," 149,493,837 "," 61,934,494 "," 504,678 "," 592,668,247 "," 30,993,465 "," 3,315,157 "," 112,935,376 "," 271,927,311 "," 240,919,007 "," 19,591,709 ", - ," 10,814,080 "," 16,641,859 "," 455,384,449 "," 8,137,494 "," 509,476,073 "," 653,732,324 "," 5,339,266 "," 19,452,167 "," 805,324,267 "," 408,753,768 "," 526,362,446 "," 873,417,100 "," 469,979,925 "," 32,405,011 "," 7,862,445 "," 1,228,949 "," 52,230,773 "," 67,046,909 ", - ," 1,404,513 "," 468,782 "," 8,492,153 "
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,220,347,579 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - ," 6,528,085 ", - ," 12,853,241 "," 3,171,648 "," 129,326,106 "," 24,811,855 ", - , - ," 10,026,059 "," 12,146,309 ", - , - , - , - , - , - ," 102,553,121 "," 696,186 "," 594,283 "," 5,912,647 "," 25,543,437 "," 42,761 ", - ," 325,253 "," 1,008,224 ", - ," 54,001 "," 173,711 "," 44,155,142 "," 16,471,382 "," 69,895,431 "," 646,895 "," 1,778,131 "," 34,827,107 "," 5,526,862 "," 4,409,866 "," 329,242 "," 593,485 "," 5,355 "," 3,427,888 "," 689,444 "," 50,503,012 "," 2,997,165 "," 1,841,254 "," 70,794 "
" 16,853 ", 123 , 742 ," 3,399 "," 2,314 "," 2,214 "," 2,054 "," 3,323 ", - , 22 ," 14,404 "," 4,370 "," 760,764 ", 64 ," 332,656 "," 2,423,424 "," 68,340 "," 3,471 "," 258,797 "," 247,484 "," 1,375 "," 388,931 "," 75,889 "," 69,352 "," 69,680 ", 954 , - ," 3,214 "," 155,119 "," 2,684 "," 1,284 "," 4,257 "," 31,335 "," 1,245,837 "," 3,090 "," 12,911 ", 933 ," 7,558 "," 7,070 "," 155,510 "," 2,273 "," 4,832 ", 24 ," 2,203 "," 74,512 ", - ," 8,044 ", 83 ," 15,469 "
 - ," 27,768 "," 62,216 "," 759,670 "," 106,925 "," 229,835 ", - ," 1,945,359 "," 145,560 "," 3,143 ", - , - ," 454,855 "," 122,337 ", - , - ," 117,993 "," 689,843 "," 100,897 ", - ," 4,665,188 "," 730,971 "," 295,865,749 "," 2,810,856 "," 10,081,723 "," 224,359 ", - ," 2,721,279 "," 2,800,838 ", - ," 291,746 "," 1,594,450,541 "," 341,224,095 "," 101,837 "," 877,814 "," 672,673 "," 181,322 "," 412,319 "," 217,702 "," 1,135,725 "," 361,282 "," 296,337 "," 116,223 "," 301,706 "," 31,161 ", - ," 686,545 "," 318,342 "," 1,037,898 "
 - , - ," 55,418 "," 302,971 "," 611,175 "," 18,402 "," 3,785,317 "," 195,964 "," 675,187 "," 74,947 "," 4,643,602 "," 2,134,002 "," 471,119 "," 64,626 "," 889,092 "," 39,138,003 "," 3,121,873 "," 1,062,297 "," 3,904,154 "," 144,359,171 "," 30,039,742 "," 1,114,177 "," 4,734,880 "," 1,961,490,608 "," 69,420,816 "," 3,838,376 ", - ," 1,873,482 "," 2,468,554 "," 1,414,173 "," 1,533,717 "," 38,145,130 "," 1,263,097,289 "," 6,728,420 "," 2,443,311 "," 10,545,470 "," 247,071 "," 4,579,372 "," 28,346,450 "," 1,915,982 "," 15,158,712 "," 44,552,039 "," 1,829,910 "," 11,899,594 "," 29,545,886 ", - ," 10,187,770 "," 743,225 "," 3,663,478 "
" 43,048,499 "," 1,886,248 "," 6,297,370 "," 11,583,833 "," 6,948,971 "," 13,374,661 "," 57,233,512 "," 9,205,708 "," 6,144,311 "," 384,787 "," 1,298,205 "," 149,111 "," 553,469 "," 7,490,141 "," 272,521,948 "," 306,353,001 "," 49,830,939 "," 10,607,264 "," 94,318 "," 5,325,149 "," 14,317,444 "," 2,076,533 "," 51,792,493 "," 70,415,490 "," 602,023,833 "," 7,502,911 ", - ," 4,510,498 "," 959,185 "," 272,623 "," 9,026,012 "," 129,866,158 "," 150,010,328 "," 1,722,744 "," 851,672 "," 28,842,500 "," 404,016 "," 4,267,850 "," 18,093,779 "," 20,558,979 "," 1,701,982 "," 707,179 "," 90,304 "," 501,534 "," 11,301,096 ", - ," 5,890,013 "," 365,292 "," 13,449,249 "
 - , - , - , - , 100 , 216 ," 11,431 "," 1,171 ", 160 ," 1,168 "," 6,617 ", 323 , - ," 3,986 ", - , - , - , - ," 1,351 "," 2,458 "," 397,623 "," 298,660 "," 374,039 "," 55,120 "," 276,372 "," 764,556 ", - ," 221,970 "," 46,610 "," 1,051 ", 93 ," 90,226,889 "," 977,830 "," 22,772 "," 81,759 "," 235,315 "," 36,647 "," 80,233 "," 98,211 "," 23,278 "," 7,711 "," 52,065 "," 2,217 "," 25,138 "," 614,779 "," 13,442,200 "," 35,101 "," 13,912 "," 1,190,911 "
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
" 16,630 ", - , - , 223 ," 5,188 ", 86 ," 40,943 "," 1,352 ", - , 70 ," 440,494 ", 835 ," 346,674 "," 86,044 "," 1,989,879 "," 12,436,531 "," 3,689,444 "," 64,279 "," 1,318,595 "," 1,787,983 "," 60,590 "," 7,270 "," 49,931 "," 32,520 "," 214,708 "," 13,545 ", - ," 320,529 "," 53,099 "," 250,483 "," 69,327 "," 2,273,926 "," 1,303,603 "," 35,380 "," 9,465 "," 2,026,807 "," 716,815 "," 1,031,533 "," 2,006,290 "," 669,637 "," 76,032 "," 283,315 "," 1,480 "," 35,368 "," 704,272 "," 85,385,631 "," 6,737 "," 1,734 "," 854,856 "
 - , - , - ," 62,265 ", - ," 10,920 "," 86,021 "," 88,433 "," 1,587 "," 7,976 "," 670,899 "," 754,140 "," 399,019 "," 3,433 "," 24,905 "," 1,323,062 "," 41,200 "," 51,030 "," 379,577 "," 2,750 "," 379,666 "," 288,322 "," 428,759 "," 247,846 "," 257,517 "," 46,616 ", - ," 6,510,112 "," 2,470,144 "," 69,675 "," 11,760 "," 2,482,429 "," 20,294,916 "," 157,609 "," 104,559 "," 1,453,663 "," 195,837 "," 593,979 "," 631,767 "," 113,619 "," 215,253 "," 1,910,124 "," 136,050 "," 694,979 "," 3,212,622 ", - ," 564,044 "," 294,488 "," 3,687,562 "
 - , - , - , - ," 600,583 "," 40,730 "," 1,209,059 "," 1,214,307 "," 337,936 "," 380,216 "," 7,273,662 "," 2,265,359 "," 1,036,994 "," 9,049 "," 85,409 "," 278,451,302 "," 4,323,846 "," 744,843 ", - , - ," 34,437,227 "," 4,053,102 "," 26,149,080 "," 41,672,704 "," 98,943,782 "," 29,116,842 ", - ," 4,572,914 "," 4,095,841 "," 125,263,946 "," 74,430,347 "," 11,397,382 "," 379,756,689 "," 40,452,773 "," 22,986,853 "," 21,985,625 "," 1,171,078 "," 6,980,514 "," 1,478,763 "," 32,720,665 "," 43,275,024 "," 32,530,944 "," 2,054,110 "," 6,571,449 "," 63,909,893 "," 30,198,841 "," 5,878,427 "," 2,025,618 "," 15,950,822 "
 - , - , - , - , - ," 28,208 "," 126,595 "," 144,753 "," 14,350 "," 44,084 ", - , - ," 604,024 ", - ," 45,200 "," 741,346 "," 1,576,490 "," 52,774 ", - , - ," 7,636,527 "," 260,464 "," 798,458 "," 1,968,504 "," 9,603,520 "," 1,808,273 ", - ," 4,257,261 "," 57,053 "," 783,535 "," 4,343,872 "," 6,819,296 "," 43,302,496 "," 18,747,729 "," 8,220,232 "," 2,957,977 "," 1,116,818 "," 2,070,168 "," 634,900 "," 4,237,596 "," 3,434,873 "," 6,283,057 "," 581,172 "," 1,830,464 "," 7,806,000 "," 4,367,869 "," 21,392,093 "," 1,439,161 "," 4,835,212 "
" 17,161,013 ", - ," 948,939 "," 224,826 "," 4,007,037 "," 5,743,874 "," 151,174,109 "," 23,570,619 "," 78,466 "," 1,484,319 "," 250,421,304 "," 29,385,915 "," 2,669,910 "," 11,902,048 "," 6,694,357 "," 1,114,131,748 "," 100,768,977 "," 76,891,144 "," 237,119 "," 112,071,517 "," 2,364,599 "," 795,375 "," 17,278,761 "," 2,717,578 "," 6,660,881 "," 29,185,775 ", - ," 878,813 "," 52,453 "," 14,253,422 "," 3,386,865 "," 16,279,675 "," 279,418,032 "," 9,336,372 "," 6,811,910 "," 2,074,622 "," 835,851 "," 20,105,599 "," 890,857 "," 378,795,058 "," 61,985,402 "," 48,694,913 "," 1,453,131 "," 201,659,421 "," 2,626,137 "," 137,675,466 "," 4,113,713 "," 394,447 "," 5,431,934 "
