" 12,135 ", - , - , - , - , - , - ," 14,733 ", 337 , - , - , - , - , - , - , - ," 47,424 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 383 
 - , 516 , - , - , - , - , - , 776 , 6 , - , - , - , - , - , - , - , 640 , - , - , - , - , - , - , - , - , - , - , - , - , - , 292 , 492 , - , - , - , - , - , - , 221 , 89 
 - , - ," 3,770 ", - , - , - , - , 75 , 10 , - , - , - , - , - , - , - , 389 , - , - , - , - , - , - , - , - , - , 14 , - , - , - , 269 , 308 , - , - , - , - , - , - , 163 , 72 
 - , - , - , 649 , - , - , - , 120 , 5 , - , - , - , - , - , - , - , 708 , - , - , - , - , - , - , - , - , - , 9 , - , - , - , 578 ," 1,219 ", - , - , - , - , - , - , 130 , 105 
 - , - , - , - ," 8,086 ", - , - , 42 , 14 , - , - , - , - , - , - , 494 , 513 , - , - , - , - , - , - , - , - , - , 19 , - , - , - , 672 ," 1,174 ", - , - , - , - , - , - , 374 , 104 
 - , - , - , - , - ," 6,706 ", - , 63 , 27 , - , - , - , - , - , - , - , 121 , - , - , - , - , - , - , - , - , - , 22 , - , - , - , 304 , 974 , - , - , - , - , - , - , 243 , 187 
 - , - , - , - , - , - ," 45,931 "," 21,793 "," 2,641 ", - , - , - , - , - , - , 593 ," 13,067 "," 57,700 ", - , - , - , - , - , - , - , - , 81 , - , - , - ," 10,610 "," 19,306 ", - , - , - , - , - , - ," 13,976 "," 15,716 "
 28 , 6 , 23 , 14 , 68 , 96 , - ," 1,148 ", 91 , - , - , - , - , - , - , - ," 1,560 ", - , - , - , - , - , - , - , - , - , 11 , - , - , - ," 1,670 "," 6,955 ", - , - , - , - , - , - ," 1,676 ", 144 
 891 , 129 , 796 , 28 ," 8,641 ", - ," 2,692 "," 6,461 ", - ," 16,907 "," 5,033 ", - , 774 , - , - , - , - , 426 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , 20 ," 24,610 ", - , - , - ," 12,667 "," 44,787 ", 25 , 23 ," 247,437 ", - , - , - , - ," 261,673 ", - ," 7,770 ", - , - , - , - , - ," 1,064 "," 2,656 ", - , - , - , - , - , - , - , 161 
