,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 577,902 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 404 ," 2,647 ", 826 , - , 1 , - , - , - , - , - , - ," 1,381 ", - , - , - , - , - , - , - , - , - , - ," 10,641,915 ", - , 192 , - , - , - , - , - , - , 138 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 36,900 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 508 , - , - , - , 31 , - , - 
 - ," 332,814 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 3,228 "," 193,982 ", - , - , - , - , - , - , - ," 35,616 "," 5,326 ", - , - , - , - , - , - , - , 1 , - , - , - , - ," 446,316 ", - , - , - , - , 6 , 383 ," 13,638 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 18,710 ", 166 , - , 438 , - , - , - , - , - , - , - , - ," 91,178 ", 159 ," 1,369 ", 62 , 157 , - , - 
 - , - ," 199,367 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 43 ," 18,403 "," 82,952 ", - , - , - , - , - , - , - ," 3,053 ", 283 , - , - , - , - , - , - , - , - , - , - , - , - ," 137,974 ", - , - , - , - , - ," 1,172 "," 12,641 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 29,694 ", 92 , - , - , - , - , - , - , - , - , - , - ," 27,499 ", - , 211 , 95 ," 1,166 ", - , - 
 - , - , - ," 2,272 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 14 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 0 , - , - , - , - , 36 , 4 , - , - , - , - , 0 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 760 , 11 , - , 43 , - , - , - , - , - , - , - , - ," 1,790 ", - , 13 , 3 , 1 , - , - 
 - , - , - , - ," 35,489 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 133 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 216 , - , - ," 2,187 ", - ," 7,257 ", 421 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 45,032 ", 26 , - , 29 , - , - , - , - , - , - , - , - ," 8,797 ", - , 48 , 12 , 30 , - , - 
 - , - , - , - , - ," 24,101 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 387 ," 8,588 ", 27 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 697 , 18 , - , - , - , - , 20 , 813 , 42 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 2,111 ", 24 , - , - , - , - , - , - , - , - , - , - ," 4,823 ", - , - , 11 , - , - , - 
 - , - , - , - , - , - , 969 , 37 , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 31 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , 0 , - , - , 56 , - , 29 , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 183 , 1 , - , 25 , - , - , - , - , - , - , - , - , 314 , - , 2 , 0 , 4 , - , - 
 - , - , - , - , - , - , - ," 106,924 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 517 ," 11,267 ", - , 94 , - , - , - , - , - , 896 , - , - , - , - , - , - , 151 , - , 314 , 10 , - , - , - , - , 409 ," 10,568 ", - , - , - ," 3,684 ", 6 ," 1,219 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 12 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 59,808 ", 739 , - , - , - , - , - , - , - , - , - , - ," 79,891 ", 40 ," 6,772 ", 113 ," 1,349 ", - , - 
 - , - , - , - , - , - , - , 477 ," 119,413 ", - , - , - , - , - , - , - , - , - , - , - , - , 181 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 776 , - , - , - , - , - ," 2,109 ", - , - , - , - , 95 , - ," 23,168 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 4,485 ", - ," 48,845 "," 15,253 ", - , - , - , - , - , - , - , - , - , - ," 191,011 ", 75 ," 25,206 ", 66 ," 4,271 ", - , - 
 - , - , - , - , - , - , - , - , - , 99 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ," 86,496 ", 10 , - , - , - , - , - , 0 , 2 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - 
