,iotables_row,agriculture_group,industry_group,construction,trade_group,business_services_group,other_services_group,total,fi0l_consumption_households,fi0l_consumption_government,inventory_change,gross_capital_formation,exports,total_fi0l_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,agriculture_group,1131,25480,1,607,710,762,28691,8500,16,-6,2975,3734,43910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,industry_group,7930,304584,64167,41082,11981,30360,460104,197792,8588,7559,91692,313711,1079400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,construction,426,7334,3875,5296,23457,9155,49543,3457,742,0,191715,149,245606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,trade_group,3559,72717,14190,74399,10835,21008,196708,269663,13492,0,14155,46045,540063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,business_services_group,3637,96115,31027,65755,193176,34223,423933,214757,10061,0,30124,13612,692487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other_services_group,1552,14986,1747,11225,15058,22070,66638,119504,317251,0,3483,2042,508918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,total,18235,521216,115007,198364,255217,117578,1225617,813673,350150,7553,334144,379293,3110384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,imports,2927,156703,13427,21943,13371,13772,222143,80187,2970,-4233,41436,42597,385100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,intermediate_consumption,22246,684424,129982,228656,277061,143901,1486270,1001060,356790,3580,404240,420730,3672624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,compensation_employees,9382,296464,78819,214450,124810,272975,996900,0,0,0,0,0,996900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,net_tax_production,-2012,1457,963,2748,5946,-8602,500,0,0,0,0,0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,consumption_fixed_capital,7871,63769,5860,41100,98610,49260,266470,0,0,0,0,0,266470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,os_mixed_income_net,6423,33332,29982,53109,186060,51384,360290,0,0,0,0,0,360290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,gva (NTB),21664,395022,115624,311407,415426,365017,1624160,0,0,0,0,0,1624160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,output,43910,1079446,245606,540063,692487,508918,3110430,1001060,356790,3580,404240,420730,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,net_tax_products,1084,6505,1548,8349,8473,12551,38510,107200,3670,260,28660,-1160,177140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,employment_wage_salary,483,8032,2896,7977,3653,9555,32596,0,0,0,0,0,32596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
