"PERIOD","G_Em","Seq","P_Em","NettAll"
"2011-2012",19412477.3679,329938.138,17840545,36923084.2299
"2012-2013",39503953.3633,9134735.8795,18130425,48499642.4838
"2013-2014",16397139.4547,58874892.35,18035867.5,-24441885.3953
"2014-2015",13997197.0872,8292807.6387,18213854,23918243.4485
"2015-2016",32667854.4558,57031747.8126,19142587.5,-5221305.8568
"2016-2017",10219594.7424,5565048.7602,19727753,24382298.9822
"2017-2018",19368453.0021,12356566.8198,19974830.5,26986716.6823
"2018-2019",18047913.8223,12591653.6243,20127127.5,25583387.698
"2019-2020",15861477.6317,12482782.744,20267862,23646556.8877
"2020-2021",15061537.5306,12194981.7477,20381985,23248540.7829
"2021-2022",14621628.9436,11608287.9875,20481713,23495053.9561
"2022-2023",13864970.7673,11262349.0532,20576534,23179155.7141
"2023-2024",12918144.935,11108900.8115,20663872.5,22473116.6235
"2024-2025",12724478.5212,10787131.8366,20740108,22677454.6846
"2025-2026",12563308.4894,9733266.821,20809761.5,23639803.1684
"2026-2027",12207171.2123,9220993.908,20866022.5,23852199.8043
"2027-2028",11704232.9443,9085841.387,20889036.5,23507428.0573
"2028-2029",11500844.4436,8826259.1675,20894872.5,23569457.7761
"2029-2030",11367898.7303,8402528.1974,20908433,23873803.5329
