"","V1","V2"
"1","Tanaman Pangan","Pertanian Kehutanan dan Perikanan"
"2","Tanaman Hortikultura","Pertanian Kehutanan dan Perikanan"
"3","Perkebunan","Pertanian Kehutanan dan Perikanan"
"4","Peternakan","Pertanian Kehutanan dan Perikanan"
"5","Jasa Pertanian dan Perburuan ","Pertanian Kehutanan dan Perikanan"
"6","Kehutanan dan Penebangan Kayu","Pertanian Kehutanan dan Perikanan"
"7","Perikanan","Pertanian Kehutanan dan Perikanan"
"8","Pertambangan Minyak Gas dan Panas Bumi","Pertambangan dan Penggalian"
"9","Pertambangan Bijih Logam","Pertambangan dan Penggalian"
"10","Pertambangan dan Penggalian Lainnya","Pertambangan dan Penggalian"
"11","Industri Batubara dan Pengilangan Migas","Industri Pengolahan"
"12","Industri Makanan dan Minuman","Industri Pengolahan"
"13","Pengolahan Tembakau","Industri Pengolahan"
"14","Industri Tekstil dan Pakaian Jadi","Industri Pengolahan"
"15","Industri Kulit Barang dari Kulit dan Alas Kaki","Industri Pengolahan"
"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Industri Pengolahan"
"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Industri Pengolahan"
"18","Industri Kimia Farmasi dan Obat Tradisional","Industri Pengolahan"
"19","Industri Karet Barang dari Karet dan Plastik","Industri Pengolahan"
"20","Industri Barang Galian bukan Logam","Industri Pengolahan"
"21","Industri Logam Dasar","Industri Pengolahan"
"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri Pengolahan"
"23","Industri Mesin dan Perlengkapan YTDL","Industri Pengolahan"
"24","Industri Alat Angkutan","Industri Pengolahan"
"25","Industri Furnitur","Industri Pengolahan"
"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri Pengolahan"
"27","Ketenagalistrikan","Pengadaan Listrik Gas"
"28","Pengadaan Gas dan Produksi Es","Pengadaan Listrik Gas"
"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang"
"30","Konstruksi","Konstruksi"
"31","Perdagangan Mobil Sepeda Motor dan Reparasinya","Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor"
"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor"
"33","Angkutan Rel","Transportasi dan Pergudangan"
"34","Angkutan Darat","Transportasi dan Pergudangan"
"35","Angkutan Laut","Transportasi dan Pergudangan"
"36","Angkutan Sungai Danau dan Penyeberangan","Transportasi dan Pergudangan"
"37","Angkutan Udara","Transportasi dan Pergudangan"
"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Transportasi dan Pergudangan"
"39","Penyediaan Akomodasi","Penyediaan Akomodasi dan Makan Minum"
"40","Penyediaan Makan Minum","Penyediaan Akomodasi dan Makan Minum"
"41","Informasi dan Komunikasi","Informasi dan Komunikasi"
"42","Jasa Perantara Keuangan","Jasa Keuangan dan Asuransi"
"43","Asuransi dan Dana Pensiun","Jasa Keuangan dan Asuransi"
"44","Jasa Keuangan Lainnya","Jasa Keuangan dan Asuransi"
"45","Jasa Penunjang Keuangan","Jasa Keuangan dan Asuransi"
"46","Real Estate","Real Estat"
"47","Jasa Perusahaan","Jasa Perusahaan"
"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib"
"49","Jasa Pendidikan","Jasa Pendidikan"
"50","Jasa Kesehatan dan Kegiatan Sosial","Jasa Kesehatan dan Kegiatan Sosial"
"51","Jasa lainnya","Jasa lainnya"
"52","Lainnya","Jasa lainnya"
