"","SECTOR","CATEGORY","GDP","OUTPUT","P_OUTPUT","P_GDP","GDP_PROP"
"V1","Padi","Pertanian kehutanan dan perikanan",1260708.4,3466527.9,0.36,0,0.36368044232386
"V2","Jagung","Pertanian kehutanan dan perikanan",88162.2,233819.3,0.38,0,0.377052706940787
"V3","Ketela pohon","Pertanian kehutanan dan perikanan",67731.5,160707.4,0.42,0,0.421458501599802
"V4","Ubi jalar","Pertanian kehutanan dan perikanan",15064.8,32566.3,0.46,0,0.462588626893445
"V5","Kacang tanah","Pertanian kehutanan dan perikanan",9346,22812.2,0.41,0,0.409693058977214
"V6","Kedelai","Pertanian kehutanan dan perikanan",17497.8,45992,0.38,0,0.380453122282136
"V7","Kacang-kacangan lainnya","Pertanian kehutanan dan perikanan",275745.3,693255.7,0.4,0,0.397754104293697
"V8","Sayuran","Pertanian kehutanan dan perikanan",237070.4,573509,0.41,0,0.413368229618018
"V9","Buah-buahan","Pertanian kehutanan dan perikanan",1489754.7,3385773.5,0.44,0,0.440004241276033
"V10","Tanaman Bahan Makanan Lainnya","Pertanian kehutanan dan perikanan",16445.7,38432.3,0.43,0,0.42791349984258
"V11","Karet","Pertanian kehutanan dan perikanan",11936684.5,17153351.7,0.7,0.03,0.695880589914098
"V12","Kelapa","Pertanian kehutanan dan perikanan",5578085,6974380.2,0.8,0.02,0.799796518119273
"V13","Kelapa sawit","Pertanian kehutanan dan perikanan",13451056.9,21275016.7,0.63,0.04,0.632246596544387
"V14","Hasil tanaman serat","Pertanian kehutanan dan perikanan",1905878.5,2148549.1,0.89,0.01,0.887053733144846
"V15","Kopi","Pertanian kehutanan dan perikanan",156619.4,246485,0.64,0,0.635411485485932
"V16","Cengkeh","Pertanian kehutanan dan perikanan",203250.3,247572.9,0.82,0,0.820971519903834
"V17","Kakao","Pertanian kehutanan dan perikanan",172894.4,217045.3,0.8,0,0.796582095995629
"V18","Hasil perkebunan lainnya","Pertanian kehutanan dan perikanan",656742.6,957079.1,0.69,0,0.686194693834606
"V19","Ternak dan Hasil2nya","Pertanian kehutanan dan perikanan",1242061.1,2089892.2,0.59,0,0.594318261965856
"V20","Susu segar","Pertanian kehutanan dan perikanan",769,1613.7,0.48,0,0.476544586974035
"V21","Unggas dan hasilnya","Pertanian kehutanan dan perikanan",950579.2,2120592.2,0.45,0,0.448261197980451
"V22","Hasil pemeliharaan hewan lainnya","Pertanian kehutanan dan perikanan",239737.8,385709.1,0.62,0,0.621550800849656
"V23","Kayu","Pertanian kehutanan dan perikanan",18003219,22907048.5,0.79,0.05,0.785924865003887
"V24","Hasil Hutan lainnya","Pertanian kehutanan dan perikanan",4799966.2,5213201.6,0.92,0.01,0.920732894734015
"V25","Ikan laut dan hasil laut lainnya","Pertanian kehutanan dan perikanan",3461281.8,4006812,0.86,0.01,0.863849314617207
"V26","Ikan darat dan hasil perikanan darat lainnya","Pertanian kehutanan dan perikanan",2379785.4,2938327.1,0.81,0.01,0.809911667084308
"V27","Udang ","Pertanian kehutanan dan perikanan",408941.9,559244.4,0.73,0,0.731240044603039
"V28","Batubara","Pertambangan dan penggalian",3469704.7,4426542.2,0.78,0.01,0.783840872453447
"V29","Minyak bumi","Pertambangan dan penggalian",118006413.4,135487318.9,0.87,0.34,0.870977552423912
"V30","Barang tambang lainnya","Pertambangan dan penggalian",1601303.8,2156167.8,0.74,0,0.742661957942234
"V31","Industri penggaraman  pengeringan ikan dan biota perairan lainnya","Industri pengolahan",24164.4,57626.1,0.42,0,0.419330824053684
