"","V1","V2"
"1","y2015","-5519169.0626"
"2","y2016","3142852.48898203"
"3","y2017","3383363.09751942"
"4","y2018","3598512.80389596"
"5","y2019","3796492.56998123"
"6","y2020","3983418.3188711"
"7","y2021","4164053.04870673"
"8","y2022","4342259.1349192"
"9","y2023","4521372.62900933"
"10","y2024","4704419.51124611"
"11","y2025","4894303.58820968"
"12","y2026","5094009.35454864"
"13","y2027","5306724.30867784"
"14","y2028","5535999.74522097"
"15","y2029","5785956.6382345"
"16","y2030","6061440.86990606"
