"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",166215.2542,129422.974433299,152100.236520249,173337.111657522,193597.69151495,213233.562967695,232523.155105184,251695.250462023,270950.539154957,290472.176277329,310435.686357804,331021.04271374,352417.852818296,374833.969439785,398507.349637715,423712.390426462
"2",1078008.4776,37529337.6139682,37970603.4932828,38495370.553352,38997932.0356279,39235875.4934974,39337671.3511251,39665367.9403047,38314513.5338408,35836437.1799443,33189742.5080886,30360996.357566,27343166.8347705,24128797.7348325,20708378.718878,17070122.8490463
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",31116.7556,59382.8858621008,57216.0749750737,54933.6556265938,52542.919288768,50047.702163339,2759.54670134969,2870.5412693584,2985.31494823958,3105.18983178434,3231.43699227545,3365.37538250532,3508.41395585175,3662.12201389339,3828.32644089508,4009.16342858012
"7",334015.875,60574970.9529166,60217674.1262918,59022911.3537131,57698365.7048968,56398911.4173538,55111429.0959487,54569009.7381378,54048025.3003102,53505723.3891262,52915842.6853313,50666147.2733532,48161264.0881433,45547312.7463018,42818327.4592949,39966855.3924417
"8",3350035.087,30885892.9876628,30178114.1380428,29024790.0900167,27772547.0404975,26568693.8887195,25410713.0364941,24306962.5559542,23231433.7114533,22187322.3463095,21170089.0418541,20186259.454132,19235169.1818517,18313973.9391495,17419987.7072346,16550521.7096496
"9",-1229857.737,277000.07974889,252996.889998055,240647.364674958,232017.654821736,222434.672484576,211927.157624263,200510.874817889,188190.925162763,174963.053844011,160814.466494711,145724.184179445,129662.83608452,112592.210228319,94464.4036830661,75220.4204756379
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-6707305.212,-35643408.8987653,-36234362.4384329,-36632318.6934944,-37000470.9618339,-37320883.5140767,-37763940.5570277,-38250983.3994277,-38699725.3722255,-39205510.7716121,-39902987.3262745,-40146708.4063577,-40368780.1282212,-40951206.2681279,-41600001.7894037,-42397531.1109912
"13",6472936.443,-11951741.853316,-11086814.4702487,-10015258.2929402,-8833078.58766957,-7728691.07679345,-6767727.29252218,-5617292.01668025,-2822616.07726428,1057940.49609099,5116661.47558238,9930570.35623775,15029118.1620628,20373351.3823999,25977766.9244183,31735016.2541652
"14",-7834742.791,-61282191.4347386,-61666713.3783181,-61847334.3823211,-61985859.1337713,-62028240.7348225,-62071707.1451306,-61931473.4187555,-61685086.9580881,-61341949.531839,-60851150.5058803,-59778372.099948,-58603442.7177531,-57037839.74343,-55367072.272407,-53373576.6717114
"15",-2312.1,-976407.390838179,-933142.59573376,-889062.927629356,-844195.304194994,-798528.308726181,-397489.606869649,-372400.316672591,-347201.419212344,-321835.798322309,-296240.663058105,-270347.714847266,-244082.736549683,-217364.940389022,-190105.905783038,-162207.947850629
"16",-617112.702,-15614564.1084759,-14672378.2215312,-13166117.9734738,-11608250.9850616,-9927073.97396743,-8214378.64618665,-7558215.32050454,-7053116.90966169,-6546166.80972812,-6037239.64363509,-5515413.89519273,-4977450.81071112,-4422480.46233013,-3850250.61889935,-3260589.9477356
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",-521932.353,-178203.335461331,-190183.864456283,-204292.166013201,-220140.829896817,-239960.577516348,-256468.219273101,-240091.461557264,-222370.215314687,-203298.222785433,-182856.568950171,-161014.207787025,-137727.654402721,-112940.320180236,-86581.2526716249,-58563.0571217367
"19",-550.5,-61032.1005651855,-61486.7397080712,-63042.543957099,-65790.6039404864,-69869.9834546506,-75476.6621667833,-82875.2882351914,-92414.4032841321,-104545.984339223,-119850.373930793,-139067.957514183,-163139.304161198,-193255.938344032,-230924.480686653,-278047.608289309
"20",-34820.96,-589897.027092803,-586437.999839304,-583876.266576563,-581988.711928426,-583049.977575297,-587395.909832022,-593393.00508796,-605590.516520774,-622352.212200598,-576927.79801457,-514429.552838085,-448704.654419216,-379581.921077328,-306855.421113844,-230279.088219597
"21",0,-258.156318552426,-302.790794209486,-344.636528403231,-384.596440902184,-423.354698722062,-461.45318867335,-499.337275924173,-537.397690018014,-575.991078819096,-615.459261384458,-656.152731715022,-698.440717992333,-742.727953988674,-789.47774043801,-839.224242652441
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",-2862.6,-15450.7000380308,-13519.362528926,-11829.442210723,-10350.7619284024,-9056.91668403778,-7924.80209459913,-6934.20182978808,-6067.42659933873,-5308.99827245293,-4645.37348659875,-4064.70179919917,-3556.61407296447,-3112.03731212192,-2723.03264735308,-2382.6535652831
