"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",166215.2542,125540.2852003,147537.229424641,168136.998307796,187789.760769502,206836.556078664,225547.460452029,244144.392948162,262822.022980308,281758.010989009,301122.61576707,321090.411432328,341845.317233747,363588.950356592,386552.129148584,411001.018713668
"2",1078008.4776,36403457.4855492,36831485.3884843,37340509.4367514,37827994.074559,38058799.2286925,38157541.2105914,38475406.9020956,37165078.1278255,34761344.064546,32194050.232846,29450166.466839,26522871.8297274,23404933.8027876,20087127.3573116,16558019.1635749
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",31116.7556,59382.8858621008,57216.0749750737,54933.6556265938,52542.919288768,50047.702163339,2759.54670134969,2870.5412693584,2985.31494823958,3105.18983178434,3231.43699227545,3365.37538250532,3508.41395585175,3662.12201389339,3828.32644089508,4009.16342858012
"7",334015.875,60574970.9529166,60217674.1262918,59022911.3537131,57698365.7048968,56398911.4173538,55111429.0959487,54569009.7381378,54048025.3003102,53505723.3891262,52915842.6853313,50666147.2733532,48161264.0881433,45547312.7463018,42818327.4592949,39966855.3924417
"8",3350035.087,30885892.9876628,30178114.1380428,29024790.0900167,27772547.0404975,26568693.8887195,25410713.0364941,24306962.5559542,23231433.7114533,22187322.3463095,21170089.0418541,20186259.454132,19235169.1818517,18313973.9391495,17419987.7072346,16550521.7096496
"9",-1229857.737,267490.862738781,243487.672987945,231138.147664849,222508.437811626,212925.455474467,202417.940614154,191001.657807779,178681.708152654,165453.836833902,151305.249484602,136214.967169336,120153.61907441,103082.993218209,84955.1866729565,65711.2034655282
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",-6707305.212,-35631088.4029319,-36222041.9425996,-36619998.197661,-36988150.4660006,-37308563.0182434,-37751620.0611944,-38238662.9035944,-38687404.8763921,-39193190.2757787,-39890666.8304412,-40134387.9105244,-40356459.6323878,-40938885.7722946,-41587681.2935703,-42385210.6151578
"13",6472936.443,-11951741.853316,-11086814.4702487,-10015258.2929402,-8833078.58766957,-7728691.07679345,-6767727.29252218,-5617292.01668025,-2822616.07726428,1057940.49609099,5116661.47558238,9930570.35623775,15029118.1620628,20373351.3823999,25977766.9244183,31735016.2541652
"14",-7834742.791,-61282191.4347386,-61666713.3783181,-61847334.3823211,-61985859.1337713,-62028240.7348225,-62071707.1451306,-61931473.4187555,-61685086.9580881,-61341949.531839,-60851150.5058803,-59778372.099948,-58603442.7177531,-57037839.74343,-55367072.272407,-53373576.6717114
"15",-2312.1,-976407.390838179,-933142.59573376,-889062.927629356,-844195.304194994,-798528.308726181,-397489.606869649,-372400.316672591,-347201.419212344,-321835.798322309,-296240.663058105,-270347.714847266,-244082.736549683,-217364.940389022,-190105.905783038,-162207.947850629
"16",-617112.702,-15614564.1084759,-14672378.2215312,-13166117.9734738,-11608250.9850616,-9927073.97396743,-8214378.64618665,-7558215.32050454,-7053116.90966169,-6546166.80972812,-6037239.64363509,-5515413.89519273,-4977450.81071112,-4422480.46233013,-3850250.61889935,-3260589.9477356
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",-521932.353,-251435.323459742,-263415.852454693,-277524.154011611,-293372.817895228,-313192.565514759,-329700.207271511,-313323.449555674,-295602.203313098,-276530.210783844,-256088.556948582,-234246.195785436,-210959.642401132,-186172.308178647,-159813.240670036,-131795.045120147
"19",-550.5,-61032.1005651855,-61486.7397080712,-63042.543957099,-65790.6039404864,-69869.9834546506,-75476.6621667833,-82875.2882351914,-92414.4032841321,-104545.984339223,-119850.373930793,-139067.957514183,-163139.304161198,-193255.938344032,-230924.480686653,-278047.608289309
"20",-34820.96,-589897.027092803,-586437.999839304,-583876.266576563,-581988.711928426,-583049.977575297,-587395.909832022,-593393.00508796,-605590.516520774,-622352.212200598,-576927.79801457,-514429.552838085,-448704.654419216,-379581.921077328,-306855.421113844,-230279.088219597
"21",0,-258.156318552426,-302.790794209486,-344.636528403231,-384.596440902184,-423.354698722062,-461.45318867335,-499.337275924173,-537.397690018014,-575.991078819096,-615.459261384458,-656.152731715022,-698.440717992333,-742.727953988674,-789.47774043801,-839.224242652441
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",-2862.6,-15450.7000380308,-13519.362528926,-11829.442210723,-10350.7619284024,-9056.91668403778,-7924.80209459913,-6934.20182978808,-6067.42659933873,-5308.99827245293,-4645.37348659875,-4064.70179919917,-3556.61407296447,-3112.03731212192,-2723.03264735308,-2382.6535652831
