"","V1","V2"
"1","y2015","-5519169.0626"
"2","y2016","3122047.58254261"
"3","y2017","3362558.19107999"
"4","y2018","3577707.89745653"
"5","y2019","3775687.6635418"
"6","y2020","3962613.41243168"
"7","y2021","4143248.1422673"
"8","y2022","4321454.22847978"
"9","y2023","4500567.72256991"
"10","y2024","4683614.60480669"
"11","y2025","4873498.68177026"
"12","y2026","5073204.44810921"
"13","y2027","5285919.40223842"
"14","y2028","5515194.83878154"
"15","y2029","5765151.73179508"
"16","y2030","6040635.96346663"
