"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",62512255.1311693,65637867.8724757,68919761.2740726,72365749.3539713,75984036.7925856,79783238.6445173,83772400.5844893,87961020.6192999,92359071.6432404,96977025.2165678,101825876.48009,106917170.320066,112263028.820326,117876180.270895,123769989.279304,129958488.748575
"2",24105662.6332469,25310945.7689382,26576493.056016,27905317.7020192,29300583.5947388,30765612.7690223,32303893.4136374,33919088.0838733,35615042.4865661,37395794.6080769,39265584.3338402,41228863.5525861,43290306.7345768,45454822.0733281,47727563.173723,50113941.3357061
"3",10146567.8533831,10653896.2457344,11186591.0576296,11745920.6121539,12333216.6407283,12949877.473204,13597371.3479647,14277239.9154942,14991101.9142155,15740657.0070941,16527689.8552458,17354074.3513726,18221778.0661578,19132866.9722495,20089510.3172937,21093985.8307403
"4",16972653.401573,17821286.0722401,18712350.3742498,19647967.8923746,20630366.2839587,21661884.6010263,22744978.834285,23882227.7727167,25076339.1609033,26330156.1242401,27646663.9298261,29028997.1276012,30480446.9766599,32004469.3273392,33604692.7974059,35284927.4376904
"5",2019625.9541275,2120607.25162314,2226637.61432462,2337969.49516346,2454867.96950614,2577611.36814098,2706491.93690438,2841816.53365452,2983907.36030603,3133102.72824253,3289757.86462526,3454245.75820508,3626958.04570148,3808305.94822837,3998721.24557426,4198657.30791757
"6",1239861.44071005,1301854.51271225,1366947.23830999,1435294.60037643,1507059.33016948,1582412.29664251,1661532.91183579,1744609.557235,1831840.0351321,1923432.03672009,2019603.63881081,2120583.82068832,2226613.0117053,2337943.66238702,2454840.8452553,2577582.88785669
"7",14496762.6450497,15221600.7731336,15982680.8179376,16781814.85469,17620905.5999078,18501950.8772249,19427048.4263947,20398400.8413359,21418320.8844147,22489236.9294709,23613698.7803615,24794383.7183709,26034102.9056607,27335808.0483997,28702598.453961,30137728.37726
"8",17471903.6591094,18345498.8395021,19262773.7884545,20225912.4760597,21237208.0929964,22299068.5006521,23414021.9264509,24584723.0212251,25813959.1745016,27104657.1321748,28459889.9906344,29882884.4910289,31377028.7129279,32945880.14852,34593174.1555172,36322832.8617593
"9",897555.322725929,942433.08881908,989554.743273205,1039032.4804519,1090984.10453065,1145533.30966468,1202809.97516074,1262950.47387638,1326097.99762781,1392402.89745876,1462023.04238165,1535124.19446567,1611880.40427452,1692474.42436534,1777098.14570096,1865953.05290334
"10",7798582.33417398,8188511.45055202,8597937.02402401,9027833.8746699,9479225.5685569,9953186.84614487,10450846.1889384,10973388.4978545,11522057.9232717,12098160.8196777,12703068.8610369,13338222.3039642,14005133.4189307,14705390.0891928,15440659.5938321,16212692.5732744
"11",25247907.9327154,26510303.3291674,27835818.4961375,29227609.4206575,30688989.8892708,32223439.3871778,33834611.3562663,35526341.9240436,37302659.0183399,39167791.9697609,41126181.567086,43182490.6485605,45341615.178406,47608695.9374519,49989130.7335126,52488587.272401
"12",66126812.527268,69433153.1334446,72904810.7963261,76550051.3651707,80377553.8911528,84396431.5957805,88616253.1948696,93047065.8684662,97699419.1483651,102584390.082142,107713609.58967,113099290.098811,118754254.586182,124691967.312665,130926565.674389,137472893.970377
"13",3023929.81664687,3175126.30779401,3333882.62284533,3500576.75365091,3675605.59138093,3859385.87149209,4052355.16496977,4254972.92325289,4467721.56926151,4691107.64741891,4925663.02974545,5171946.18134048,5430543.49028093,5702070.66536806,5987174.19867015,6286532.90833597
"14",91537037.6586635,96113889.5383642,100919584.006896,105965563.227161,111263841.368199,116827033.4649,122668385.141911,128801804.401425,135241894.58448,142003989.341587,149104188.792231,156559398.223968,164387368.163161,172606736.555756,181237073.353855,190298927.046026
"15",8743527.77653353,9180704.16626116,9639739.37349482,10121726.3414113,10627812.6598546,11159203.292609,11717163.4565762,12303021.6293685,12918172.7105674,13564081.3460613,14242285.4129775,14954399.684128,15702119.6700709,16487225.6519667,17311586.9333922,18177166.2844544
"16",6259905.33191772,6572900.59847303,6901545.62775847,7246622.91208076,7608954.05418552,7989401.75575804,8388871.84842389,8808315.43850467,9248731.21204901,9711167.76932766,10196726.1613655,10706562.4684475,11241890.5914188,11803985.1182811,12394184.3755494,13013893.5956213
"17",15823751.5758689,16614939.1554719,17445686.1124672,18317970.4175844,19233868.9370128,20195562.3871076,21205340.5078433,22265607.5320818,23378887.9041266,24547832.2998549,25775223.9171274,27063985.1137231,28417184.3697476,29838043.5861239,31329945.7670911,32896443.0524159
"18",37410521.4119153,39281047.4788859,41245099.8581384,43307354.850313,45472722.5891258,47746358.7206352,50133676.657544,52640360.4899255,55272378.5124444,58035997.438261,60937797.3122841,63984687.1789382,67183921.5364861,70543117.610401,74070273.4917245,77773787.1687721
"19",19652980.9065469,20635629.9499924,21667411.4495083,22750782.0195831,23888321.1185496,25082737.1797443,26336874.0375658,27653717.7368907,29036403.6233599,30488223.808604,32012634.9966389,33613266.7493537,35293930.0845484,37058626.587211,38911557.9192154,40857135.8128597
"20",11710569.6324061,12296098.1136379,12910903.0205239,13556448.1709774,14234270.5794323,14945984.1067314,15693283.3141102,16477947.4780501,17301844.8538201,18166937.0954863,19075283.9507699,20029048.1483594,21030500.5556273,22082025.5817843,23186126.8616972,24345433.2049047
"21",18003554.1434744,18903731.8518026,19848918.4429966,20841364.3671792,21883432.5857805,22977604.2118562,24126484.4223191,25332808.643309,26599449.0772531,27929421.5314061,29325892.6074756,30792187.2358627,32331796.6010824,33948386.4268599,35645805.7520617,37428096.036487
"22",147910476.136035,155305999.926984,163071299.915353,171224864.917646,179786108.185794,188775413.563502,198214184.24999,208124893.463729,218531138.143169,229457695.038832,240930579.803778,252977108.780519,265625964.254787,278907262.421806,292852625.571643,307495256.847107
"23",61294263.2031408,64358976.3625052,67576925.1796397,70955771.4373842,74503559.9908076,78228738.0018769,82140174.8913993,86247183.6602138,90559542.8423479,95087519.9718653,99841895.9882812,104833990.790045,110075690.30903,115579474.855536,121358448.568309,127426371.025863
"24",128963168.312175,135411326.71581,142181893.092368,149290987.731521,156755537.117988,164593313.935584,172822979.674285,181464128.641416,190537335.075268,200064201.79868,210067411.949682,220570782.537632,231599321.683075,243179287.726356,255338252.147594,268105164.697106
"25",3500235.01912431,3675246.77027569,3859009.10865091,4051959.56407293,4254557.54234716,4467285.41899104,4690649.69010038,4925182.1748487,5171441.28340771,5430013.34767423,5701514.01518403,5986589.71610696,6285919.20330636,6600215.16153776,6930225.92009274,7276737.21697627
"26",7185961.37050859,7545259.43919633,7922522.41093883,8318648.5314647,8734580.9585306,9171310.00486041,9629875.50844138,10111369.2795966,10616937.7435549,11147784.63143,11705173.8656371,12290432.5589775,12904954.1882882,13550201.8972162,14227711.9890273,14939097.5912262
"27",2099043.20168069,2203995.36171608,2314195.13029976,2429904.88646332,2551400.13043683,2678970.13695799,2812918.64425823,2953564.57672313,3101242.80530913,3256304.94572173,3419120.19241202,3590076.20238158,3769580.011946,3958059.01338349,4155961.96360325,4363760.06177352
"28",10135010.649483,10641761.1822998,11173849.2409112,11732541.7032225,12319168.7841219,12935127.2311497,13581883.5936073,14260977.7640048,14974026.6613165,15722727.9916576,16508864.3928805,17334307.6057207,18201022.9895169,19111074.1433963,20066627.8456557,21069959.2393007
"29",1179572.41150536,1238551.03205674,1300478.58367764,1365502.51287523,1433777.63843235,1505466.52040821,1580739.84668567,1659776.83906904,1742765.68082426,1829903.96438574,1921399.1632117,2017469.12082574,2118342.57741942,2224259.70571295,2335472.69166452,2452246.32573997
"30",136895767.719334,143740556.09585,150927583.925366,158473963.113087,166397661.263568,174717544.300188,183453421.548667,192626092.597375,202257397.260528,212370267.100888,222988780.474395,234138219.496239,245845130.462318,258137386.9621,271044256.328837,284596469.145178
"31",32487711.8870899,34112097.4769566,35817702.3540602,37608587.4710882,39489016.8484899,41463467.6859238,43536641.0703832,45713473.1282369,47999146.7843452,50399104.1178542,52919059.3298988,55565012.2934555,58343262.909027,61260426.0497434,64323447.3547819,67539619.7245556
"32",197425308.628299,207296573.991156,217661402.693176,228544472.836611,239971696.457638,251970281.336582,264568795.427149,277797235.18466,291687096.917026,306271451.779691,321585024.333561,337664275.580857,354547489.324073,372274863.782475,390888607.007414,410433037.338296
"33",988185.085398453,1037594.33983273,1089474.05679234,1143947.75947327,1201145.14719746,1261202.40461738,1324262.52507446,1390475.65141635,1459999.43399854,1532999.40564671,1609649.37595605,1690131.84465495,1774638.43678473,1863370.35855353,1956538.87642438,2054365.82032846
"34",72471968.3568118,76095566.7718725,79900345.1107544,83895362.3524558,88090130.5055613,92494637.0423635,97119368.8683601,101975337.298257,107074104.148303,112427809.362652,118049199.830652,123951659.839936,130149242.811545,136656704.964342,143489540.232801,150664017.261838
"35",210432.171098491,220953.779634128,232001.468615475,243601.542071005,255781.619150508,268570.700120427,281999.235136934,296099.196872907,310904.156705009,326449.364563016,342771.832783545,359910.42442253,377905.945656538,396801.242939373,416641.30506218,437473.37033632
"36",1241.96849673644,1304.06692155742,1369.27026766613,1437.73378105683,1509.62046996209,1585.10149348608,1664.35656830011,1747.57439670159,1834.95311650501,1926.70077227873,2023.03581095363,2124.18760152938,2230.3969815433,2341.91683061656,2459.01267209931,2581.9633057734
"37",8531529.42736703,8958105.90059294,9406011.19222967,9876311.75365221,10370127.341577,10888633.7077926,11433065.3949993,12004718.6621029,12604954.5940871,13235202.3274184,13896962.4446232,14591810.5662158,15321401.0925058,16087471.1462749,16891844.7033134,17736436.9380757
"38",3237337.58415179,3399204.46325759,3569164.68619675,3747622.92100435,3935004.06671288,4131754.27000919,4338341.98352679,4555259.08318634,4783022.03703685,5022173.13903899,5273281.7960359,5536945.8856605,5813793.1797169,6104482.83846186,6409706.98076429,6730192.32963289
"39",6292654.47947942,6607287.20319019,6937651.56336921,7284534.14185402,7648760.84884087,8031198.89145266,8432758.83575931,8854396.77779333,9297116.61648819,9761972.44726511,10250071.0693027,10762574.623073,11300703.3541475,11865738.5219493,12459025.4479612,13081976.720036
"40",32152588.7191319,33760218.1571982,35448229.065098,37220640.516667,39081672.5391029,41035756.1681345,43087543.9748547,45241921.176083,47504017.2329377,49879218.0973303,52373179.0024344,54991837.9523718,57741429.8246326,60628501.363728,63659926.4194201,66842922.7454398
"41",40198083.6610988,42207987.8472269,44318387.232391,46534306.601274,48861021.9251048,51304073.0240846,53869276.6767273,56562740.5048459,59390877.5393455,62360421.4141587,65478442.4788485,68752364.6100496,72189982.8374261,75799481.9755408,79589456.0776898,83568928.8786466
"42",30261155.9180428,31774213.7151414,33362924.4016454,35031070.6223636,36782624.1529028,38621755.3601836,40552843.1240693,42580485.283216,44709509.5432988,46944985.0205711,49292234.2755085,51756845.9913153,54344688.2903202,57061922.7003862,59915018.8347403,62910769.7754786
"43",3192714.52186499,3352350.2482906,3519967.76027863,3695966.14797552,3880764.4560433,4074802.67816262,4278542.81255449,4492469.95340775,4717093.45070222,4952948.12301853,5200595.52919501,5460625.30624991,5733656.57088148,6020339.39950198,6321356.36974694,6637424.18814149
"44",4720695.90709058,4956730.70275848,5204567.23725601,5464795.59971261,5738035.3797319,6024937.14815974,6326184.00572786,6642493.20618256,6974617.86582569,7323348.7592596,7689516.19748194,8073992.00790524,8477691.60832459,8901576.18847853,9346654.99756953,9813987.74801418
"45",528472.44481869,554896.067037944,582640.870393993,611772.9139198,642361.559610572,674479.637592262,708203.619493948,743613.80045304,780794.490465777,819834.214966591,860825.925718035,903867.222091456,949060.58316505,996513.61223282,1046339.29287507,1098656.25755952
"46",14345417.311315,15062688.173073,15815822.5894692,16606613.7190086,17436944.3966677,18308791.623407,19224231.202893,20185442.7576136,21194714.8966868,22254450.646894,23367173.1748272,24535531.8395375,25762308.4238101,27050423.8529447,28402945.0425086,29823092.2910703
"47",6262083.95496461,6575188.1525206,6903947.55997001,7249144.93803813,7611602.1850146,7992182.29423711,8391791.40888805,8811380.9797853,9251950.02799224,9714547.52990737,10200274.9066949,10710288.6519108,11245803.0842886,11808093.237902,12398497.8999558,13018422.7951405
"48",36499977.7603493,38324976.6508829,40241225.4786227,42253286.7515566,44365951.0921599,46584248.6448981,48913461.0793426,51359134.1364348,53927090.8418503,56623445.3817046,59454617.6537462,62427348.5352349,65548715.957849,68826151.7464205,72267459.3340683,75880832.2910254
"49",38733504.630351,40670179.8588271,42703688.8517672,44838873.3004219,47080816.9657677,49434857.8083401,51906600.7031457,54501930.7335863,57227027.2732753,60088378.6339037,63092797.5689925,66247437.4454352,69559809.3459619,73037799.7661254,76689689.7948252,80524174.2643775
"50",10680156.9298228,11214164.7779935,11774873.0156789,12363616.6672074,12981797.4998398,13630887.3762721,14312431.7419594,15028053.3297768,15779455.9955275,16568428.795305,17396850.2374977,18266692.7483963,19180027.3856328,20139028.7555376,21145980.1945851,22203279.2023508
"51",27605479.4021747,28985753.3717494,30435041.0410863,31956793.0893859,33554632.7504151,35232364.3820347,36993982.6062772,38843681.7311658,40785865.8171358,42825159.1137071,44966417.0677735,47214737.9238485,49575474.8133894,52054248.5591586,54656960.9820486,57389809.0342389
