y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
71036653.55,74588486.23,78317910.54,82233806.07,86345496.37,90662771.19,95195909.75,99955705.24,104953490.50,110201165.03,115711223.28,121496784.44,127571623.67,133950204.85,140647715.09,147680100.85
26201807.21,27511897.57,28887492.45,30331867.07,31848460.43,33440883.45,35112927.62,36868574.00,38712002.70,40647602.83,42679982.98,44813982.13,47054681.23,49407415.29,51877786.06,54471675.36
12526626.98,13152958.33,13810606.24,14501136.56,15226193.38,15987503.05,16786878.21,17626222.12,18507533.22,19432909.88,20404555.38,21424783.15,22496022.30,23620823.42,24801864.59,26041957.82
25716141.52,27001948.59,28352046.02,29769648.32,31258130.74,32821037.28,34462089.14,36185193.60,37994453.28,39894175.94,41888884.74,43983328.98,46182495.42,48491620.20,50916201.21,53462011.27
2493365.38,2618033.64,2748935.33,2886382.09,3030701.20,3182236.26,3341348.07,3508415.47,3683836.25,3868028.06,4061429.46,4264500.94,4477725.98,4701612.28,4936692.90,5183527.54
1441699.35,1513784.32,1589473.53,1668947.21,1752394.57,1840014.30,1932015.01,2028615.76,2130046.55,2236548.88,2348376.32,2465795.14,2589084.90,2718539.14,2854466.10,2997189.40
17055014.88,17907765.62,18803153.90,19743311.60,20730477.18,21767001.03,22855351.09,23998118.64,25198024.57,26457925.80,27780822.09,29169863.20,30628356.36,32159774.17,33767762.88,35456151.03
23934114.60,25130820.33,26387361.35,27706729.42,29092065.89,30546669.18,32074002.64,33677702.77,35361587.91,37129667.31,38986150.67,40935458.20,42982231.11,45131342.67,47387909.80,49757305.29
1602777.36,1682916.23,1767062.04,1855415.14,1948185.90,2045595.20,2147874.96,2255268.70,2368032.14,2486433.75,2610755.43,2741293.20,2878357.86,3022275.76,3173389.55,3332059.02
10831364.35,11372932.57,11941579.20,12538658.16,13165591.07,13823870.62,14515064.15,15240817.36,16002858.23,16803001.14,17643151.19,18525308.75,19451574.19,20424152.90,21445360.55,22517628.57
72136879.81,75743723.80,79530909.99,83507455.49,87682828.26,92066969.67,96670318.16,101503834.07,106579025.77,111907977.06,117503375.91,123378544.71,129547471.94,136024845.54,142826087.81,149967392.21
236167187.58,247975546.96,260374324.31,273393040.52,287062692.55,301415827.17,316486618.53,332310949.46,348926496.93,366372821.78,384691462.87,403926036.01,424122337.81,445328454.70,467594877.44,490974621.31
4446955.61,4669303.39,4902768.56,5147906.99,5405302.34,5675567.46,5959345.83,6257313.12,6570178.78,6898687.72,7243622.10,7605803.21,7986093.37,8385398.04,8804667.94,9244901.34
254269549.05,266983026.50,280332177.83,294348786.72,309066226.06,324519537.36,340745514.23,357782789.94,375671929.44,394455525.91,414178302.20,434887217.31,456631578.18,479463157.09,503436314.94,528608130.69
19430061.73,20401564.81,21421643.05,22492725.21,23617361.47,24798229.54,26038141.02,27340048.07,28707050.47,30142402.99,31649523.14,33231999.30,34893599.26,36638279.23,38470193.19,40393702.85
14557919.38,15285815.35,16050106.11,16852611.42,17695241.99,18580004.09,19509004.29,20484454.51,21508677.23,22584111.09,23713316.65,24898982.48,26143931.61,27451128.19,28823684.60,30264868.83
46540445.81,48867468.10,51310841.51,53876383.58,56570202.76,59398712.90,62368648.54,65487080.97,68761435.02,72199506.77,75809482.11,79599956.21,83579954.02,87758951.73,92146899.31,96754244.28
116907879.41,122753273.38,128890937.05,135335483.90,142102258.10,149207371.00,156667739.55,164501126.53,172726182.86,181362492.00,190430616.60,199952147.43,209949754.80,220447242.54,231469604.67,243043084.90
72788818.17,76428259.08,80249672.03,84262155.63,88475263.41,92899026.58,97543977.91,102421176.81,107542235.65,112919347.43,118565314.80,124493580.54,130718259.57,137254172.55,144116881.18,151322725.24
27233882.87,28595577.01,30025355.86,31526623.65,33102954.83,34758102.58,36496007.71,38320808.09,40236848.49,42248690.92,44361125.47,46579181.74,48908140.83,51353547.87,53921225.26,56617286.52
58075981.11,60979780.16,64028769.17,67230207.63,70591718.01,74121303.91,77827369.11,81718737.56,85804674.44,90094908.16,94599653.57,99329636.25,104296118.06,109510923.96,114986470.16,120735793.67
435030812.13,456782352.74,479621470.38,503602543.89,528782671.09,555221804.64,582982894.88,612132039.62,642738641.60,674875573.68,708619352.36,744050319.98,781252835.98,820315477.78,861331251.67,904397814.25
165660170.82,173943179.36,182640338.32,191772355.24,201360973.00,211429021.65,222000472.74,233100496.37,244755521.19,256993297.25,269842962.11,283335110.22,297501865.73,312376959.02,327995806.97,344395597.32
263190139.43,276349646.40,290167128.72,304675485.15,319909259.41,335904722.38,352699958.50,370334956.43,388851704.25,408294289.46,428709003.93,450144454.13,472651676.84,496284260.68,521098473.71,547153397.40
10294808.88,10809549.32,11350026.79,11917528.13,12513404.54,13139074.76,13796028.50,14485829.93,15210121.42,15970627.49,16769158.87,17607616.81,18487997.65,19412397.53,20383017.41,21402168.28
14970752.86,15719290.50,16505255.02,17330517.77,18197043.66,19106895.85,20062240.64,21065352.67,22118620.30,23224551.32,24385778.88,25605067.83,26885321.22,28229587.28,29641066.65,31123119.98
69968106.72,73466512.06,77139837.66,80996829.54,85046671.02,89299004.57,93763954.80,98452152.54,103374760.17,108543498.18,113970673.09,119669206.74,125652667.08,131935300.43,138532065.45,145458668.73
16891684.42,17736268.64,18623082.07,19554236.17,20531947.98,21558545.38,22636472.65,23768296.28,24956711.10,26204546.65,27514773.98,28890512.68,30335038.32,31851790.23,33444379.74,35116598.73
1685103.44,1769358.62,1857826.55,1950717.88,2048253.77,2150666.46,2258199.78,2371109.77,2489665.26,2614148.52,2744855.95,2882098.74,3026203.68,3177513.87,3336389.56,3503209.04
391130764.90,410687303.14,431221668.30,452782751.72,475421889.30,499192983.77,524152632.96,550360264.60,577878277.83,606772191.73,637110801.31,668966341.38,702414658.45,737535391.37,774412160.94,813132768.98
47776046.89,50164849.24,52673091.70,55306746.28,58072083.60,60975687.78,64024472.17,67225695.77,70586980.56,74116329.59,77822146.07,81713253.37,85798916.04,90088861.84,94593304.94,99322970.18
286123635.64,300429817.42,315451308.29,331223873.70,347785067.39,365174320.76,383433036.80,402604688.64,422734923.07,443871669.22,466065252.68,489368515.32,513836941.08,539528788.14,566505227.54,594830488.92
2744958.57,2882206.50,3026316.82,3177632.67,3336514.30,3503340.01,3678507.01,3862432.36,4055553.98,4258331.68,4471248.27,4694810.68,4929551.21,5176028.77,5434830.21,5706571.72
142101898.74,149206993.67,156667343.36,164500710.53,172725746.05,181362033.36,190430135.02,199951641.77,209949223.86,220446685.06,231469019.31,243042470.27,255194593.79,267954323.48,281352039.65,295419641.63
637673.25,669556.91,703034.75,738186.49,775095.82,813850.61,854543.14,897270.29,942133.81,989240.50,1038702.52,1090637.65,1145169.53,1202428.01,1262549.41,1325676.88
2759.93,2897.93,3042.82,3194.96,3354.71,3522.45,3698.57,3883.50,4077.67,4281.56,4495.64,4720.42,4956.44,5204.26,5464.47,5737.70
24375798.36,25594588.28,26874317.70,28218033.58,29628935.26,31110382.02,32665901.12,34299196.18,36014155.99,37814863.79,39705606.98,41690887.33,43775431.69,45964203.28,48262413.44,50675534.11
5581616.52,5860697.35,6153732.22,6461418.83,6784489.77,7123714.26,7479899.97,7853894.97,8246589.72,8658919.20,9091865.17,9546458.42,10023781.34,10524970.41,11051218.93,11603779.88
10487757.47,11012145.34,11562752.61,12140890.24,12747934.75,13385331.49,14054598.06,14757327.96,15495194.36,16269954.08,17083451.78,17937624.37,18834505.59,19776230.87,20765042.41,21803294.53
65617528.00,68898404.40,72343324.62,75960490.85,79758515.39,83746441.16,87933763.22,92330451.38,96946973.95,101794322.65,106884038.78,112228240.72,117839652.75,123731635.39,129918217.16,136414128.02
62809505.72,65949981.01,69247480.06,72709854.06,76345346.76,80162614.10,84170744.81,88379282.05,92798246.15,97438158.46,102310066.38,107425569.70,112796848.18,118436690.59,124358525.12,130576451.38
