Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
13910,1063,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,56,0,0,0,0,0
0,165487,0,0,0,0,1907,2,0,0,0,9,2403,0,0,10,0,305,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,364,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
0,0,0,0,0,0,446552,1489,0,0,0,32,20,495,0,185,0,1264,0,0,0,0,0
0,0,0,0,0,0,47,151513,7,0,0,6985,11248,1351,0,358,0,244,121,724,0,0,0
0,0,0,0,0,0,7173,6804,3081,0,0,2910,14733,58,0,86,0,10,25,121,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3438,6962,36,0,0,678301,88795,52798,70,6569,0,192,253,547,0,0,29
0,0,0,0,0,0,3098,2978,0,0,0,87553,572642,3148,0,3356,0,15,7,395,0,0,0
0,0,0,0,0,0,394,577,12,0,0,89827,48126,811137,105,7459,0,13,18,2138,0,0,87
0,0,0,0,0,0,0,0,0,0,0,0,0,314,71042,0,0,0,0,2,0,0,0
0,0,0,0,0,0,148,471,8,0,0,8881,3287,2132,3,292986,0,8,276,54,0,0,136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,692,743,328,0,0,4934,567,221,0,135,0,9420,83,240,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,852,0,0,0,0
0,0,0,0,0,16,0,13,0,0,0,710,1,373,0,20,0,0,0,26265,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,80,0,0,0,0,0,0,169
