"","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"1","10300.86465","0","0","0","0","0","0","0","0","0","0","0","3609.13534999995","0","0","0","0","0","0","0","0","0","0"
"2","0","21329.7958399761","0","0","0","0","11214.5650205446","0","0","0","0","75699.3789243891","58670.2602150902","0","0","0","0","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","1125.99999999991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","61187.6521839258","9858.41589761939","0","0","0","125534.443040524","108582.323425154","122562.116323218","0","35724.0491295586","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","121.305045540486","0","0","0","0","63803.9310671404","46746.4619359809","60880.3019513384","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","3042.9520637337","0","429.047936265923","0","0","0","0","0","0","0","0","0"
"10","0","6.76289782859385e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","116021.03148385","66566.3139253146","2048.1504900424","0","0","188998.782165068","171403.163301407","185719.422345458","32795.9309929375","97996.4258505903","0","4580.9760980382","1414.92675148901","12212.8265956055","0","0","442.050000200194"
"13","0","101750.761792395","0","0","0","0","89654.6468125524","38027.396970823","0","0","0","155876.108239051","138522.320666066","152615.729105597","0","65402.0364135157","0","0","0","0","0","0","0"
"14","0","0","0","0","0","0","119981.568531547","65677.4732062423","547.98008695789","0","0","187751.656361747","170734.95672117","184933.336614456","30965.0787070626","96707.8608309501","0","3374.48533896183","331.223246511086","11021.3803543945","0","0","0"
"15","0","0","0","0","0","924.581055429822","0","0","0","0","0","0","0","70295.4189445701","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","31739.5591220401","0","0","0","0","97703.7257901584","80659.719182118","94804.8135302984","0","6336.18237538541","0","0","0","0","0","0","0"
"17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","7223.04500308659","0","4303.95499691361","0","0","0","0","0","0","0","0","0"
"19","0","0","0","0","0","0","0","0","0","0","0","1663.00000000001","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","16491.9770451019","13.1089030145008","13980.9140518837","0","0","0","0","0","0","0","0","0"
"21","0","0","0","0","0","6.50666346997491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4933365300058","0","0"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","420.999999999989","0","0","0","0","0","0","0","0","0","0","0"
