ID_SKT,name_SKT,Ec_TOT,HCOAL,BCOAL,DIESEL,GASOLINE,JETFUEL,LFO,HFO,OTHPETRO
1,Padi,15030777.67,0,0,2637451.983,5734915.114,0,6658410.575,0,0
2,Tanaman Bahan Makanan lainnya,35243383,0,0,6184159.757,13446929.64,0,15612293.6,0,0
3,Karet,18858260.16,0,0,3309060.698,7195271.166,0,8353928.292,0,0
4,Kelapa Sawit,5452090.492,0,0,956678.8357,2080216.796,0,2415194.861,0,0
5,Kopi,17127576.78,0,0,3005377.522,6534937.918,0,7587261.341,0,0
6,Tanaman Pekebunan Lainnya,51413791.34,0,0,9021582.842,19616664.92,0,22775543.58,0,0
7,Peternakan dan hasil-hasilnya,11542662.91,0,0,2025392.155,4404043.052,0,5113227.702,0,0
8,Kayu,6898839.169,0,0,1210539.963,2632216.235,0,3056082.97,0,0
9,Hasil hutan lainnya,3210297.578,0,0,563311.2205,1224872.359,0,1422113.999,0,0
10,Perikanan,7725664.113,0,0,1355623.015,2947686.996,0,3422354.102,0,0
11,Pertambangan Migas,134992491,116193699.9,13877.61017,423839.004,921601.8812,0,16543836.24,804542.7655,91093.60056
12,Pertambangan non-Migas,51488906.82,44318662.04,5293.205361,161660.8956,351517.8737,0,6310158.71,306869.1243,34744.96898
13,Penggalian,15318267.93,13185075.8,1574.761301,48095.11532,104578.7394,0,1877311.206,91295.4606,10336.84296
14,Pengilangan minyak bumi,16135123.51,13888177.67,1658.736367,50659.81543,110155.4618,0,1977419.923,96163.84435,10888.06115
15,"Industri penggilingan padi, biji-bijian",8152377.28,3887279.872,2589.372344,204017.7631,443619.2812,0,2560244.297,300078.9394,754547.7553
16,Industri Kelapa Sawit,5949295.483,2836789.293,1889.625647,148884.4192,323736.5121,0,1868369.104,218986.2192,550640.3099
17,"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",6903464.026,3291763.351,2192.69033,172763.0162,375658.4912,0,2168024.589,254107.9849,638953.9033
18,"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",1961775.052,9949.847924,2012.126298,348363.6901,757487.2279,0,750780.8486,34110.51227,59070.79902
19,"Industri Barang dari Karet dan Plastik, besi dan baja",6378329.164,233352.6352,155.439505,695228.9614,1511716.272,0,1994053.219,90596.57943,1853226.058
20,"Industri kertas dan barang dari kertas, mesin dan peralatan",4976211.465,3466570.241,2349.010506,84576.44977,183904.2997,0,1102035.098,50069.18038,86707.18483
21,Industri pupuk dan bahan kimia,283432.9994,119046.297,79.29842962,1641.24917,3568.756789,0,98904.58005,37189.51808,23003.2998
22,"Industri semen, dan barang galian bukan logam",17874632,13520558.64,88220.23538,90088.58529,195889.9699,0,2623751.393,841998.8463,514124.3262
23,Industri Lainnya,368439.4623,72524.12638,48.30935085,40967.377,89080.07842,0,83967.3625,3814.921164,78037.28748
24,"Listrik, Gas dan Air Bersih",34915039.67,19840585.7,0,9148.37846,19892.37121,0,10183534.31,4827481.985,34396.92065
25,Konstruksi,26164102.82,0,0,917361.291,1994724.138,0,2632586.884,961018.6842,19658411.82
26,Perdagangan Besar dan Eceran,30881335.16,0,0,6956327.384,15125942.5,0,4765723.773,1103115.588,2930225.921
27,"Transportasi ,sungai,  dan penyeberangan",223407126,0,0,0,0,0,190033695.8,33291263.34,82166.89215
28,Penyediaan Akomodasi dan Makan Minum,4168616.492,0,0,873530.4829,1899417.771,0,755917.7126,174971.243,464779.2826
29,Informasi dan Komunikasi,6241441.115,0,0,5745259.479,0,0,268740.4335,62204.98198,165236.2205
30,Jasa Keuangan dan Asuransi,1108733.259,0,0,268345.5118,583494.5022,0,139137.7615,32206.02806,85549.45581
31,Real Estate dan Jasa Perusahaan,2607336.013,0,0,192145.557,417804.1783,0,1081818.462,250407.0452,665160.771
32,Jasa Administrasi Pemerintahan,6378815.486,0,0,1222305.567,2657799.54,0,1353344.142,313256.7245,832109.5126
33,Jasa Pendidikan,7927147.669,0,0,2381159.125,5177628.083,0,199510.3057,46180.37863,122669.7764
34,Jasa Kesehatan dan Kegiatan Sosial,3229555.124,0,0,919948.2649,2000349.291,0,167499.1712,38770.80491,102987.5915
35,"Jasa lainnya, rekreasi & kebudayaan",1206041.068,0,0,330136.9262,717854.6793,0,85602.28334,19814.24388,52632.93499
36,Kegiatan lainnya,0,0,0,0,0,0,0,0,0
