V1,V2,landDem_2017
Padi,Direct land-based,16925
Tanaman Bahan Makanan lainnya,Direct land-based,98692
Karet,Direct land-based,648316.7
Kelapa Sawit,Direct land-based,485612.5
Kopi,Direct land-based,286712
Tanaman Pekebunan Lainnya,Direct land-based,578079.5
Peternakan dan hasil-hasilnya,Direct land-based,27.6
Kayu,Direct land-based,766639.4
Hasil hutan lainnya,Direct land-based,71418.7
Perikanan,Direct land-based,11941
Pertambangan Migas,Direct land-based,3642
Pertambangan non-Migas,Direct land-based,3642
Penggalian,Direct land-based,3642
Pengilangan minyak bumi,Direct land-based,3642
"Industri penggilingan padi, biji-bijian",Indirect land-based,1368.135
Industri Kelapa Sawit,Indirect land-based,1368.135
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Indirect land-based,1368.135
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Indirect land-based,1368.135
"Industri Barang dari Karet dan Plastik, besi dan baja",Indirect land-based,1368.135
"Industri kertas dan barang dari kertas, mesin dan peralatan",Indirect land-based,1368.135
Industri pupuk dan bahan kimia,Indirect land-based,1368.135
"Industri semen, dan barang galian bukan logam",Indirect land-based,1368.135
Industri Lainnya,Indirect land-based,1368.135
"Listrik, Gas dan Air Bersih",Non land-based,1368.135
Konstruksi,Non land-based,456.045
Perdagangan Besar dan Eceran,Non land-based,456.045
"Transportasi ,sungai,  dan penyeberangan",Non land-based,81
Penyediaan Akomodasi dan Makan Minum,Non land-based,456.045
Informasi dan Komunikasi,Non land-based,456.045
Jasa Keuangan dan Asuransi,Non land-based,456.045
Real Estate dan Jasa Perusahaan,Non land-based,456.045
Jasa Administrasi Pemerintahan,Non land-based,456.045
Jasa Pendidikan,Non land-based,456.045
Jasa Kesehatan dan Kegiatan Sosial,Non land-based,456.045
"Jasa lainnya, rekreasi & kebudayaan",Non land-based,456.045
Kegiatan lainnya,Non land-based,1892791.8
