ID,Sektor,Waste_total,Waste1,Waste2,Waste3,Waste4,Waste5,Waste6,Waste7,Waste8,Waste9
1,Tanaman Pangan ,3307878087,0,0,5804333242,1262103641,0,1465340657,0,0,0
2,Tanaman Hortikultura,6200346609,0,0,1087974737,2365709928,0,2746661072,0,0,0
3,Perkebunan,2310134718,0,0,4053593084,8814198595,0,1023355225,0,0,0
4,Peternakan ,4922825427,0,0,8638081125,187827838,0,2180738242,0,0,0
5,"Jasa Pertanian, dan Perburuan  ",5109459435,0,0,8965567794,1949487613,0,2263414325,0,0,0
6,Kehutanan dan Penebangan Kayu,1899795435,0,0,3333570797,7248570449,0,8415810429,0,0,0
7,Perikanan ,2022259758,0,0,3548458929,7715826691,0,8958309117,0,0,0
8,"Pertambangan Minyak, Gas dan Panas Bumi",1633295415,0,0,2865943248,6231753514,0,7235255088,0,0,0
9,Pertambangan Bijih Logam,5913058981,3409418573,4068006385,1243678172,2704209913,0,4854380847,2360724965,6516284243,1948192815
10,Pertambangan dan Penggalian Lainnya,1067259825,6153727677,7342425971,2244739573,4880882482,0,8761768944,4260919638,1176137158,3516332122
11,Industri Batubara dan Pengilangan Migas,9492830267,5473483679,0.653078115,1996602069,4341341055,0,7793227428,3789910006,1046124865,3127630518
12,Industri Makanan dan Minuman ,3714093729,7045276726,0,5412578469,1176487716,0,56829449,1424542354,7982792015,1346813318
13,Pengolahan Tembakau,2898982506,9167812652,0.611534973,4811668357,1046234417,0,6038120277,7077127462,1910954134,9631722156
14,Industri Tekstil dan Pakaian Jadi,1545901749,394588905,0.026284128,2149052191,4672931287,0,3393201551,2118299071,0.464860907,7176784133
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki ",5235849905,8282003426,1671400433,2900951161,6307715235,0,6251894746,2840309325,9209844948,3559332934
16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",3340123956,1011800873,0.685594845,2468533212,5367619987,0,3216536777,1461296442,4738439803,1865621105
17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",4532480765,9649160619,0.642744296,6011749774,1307203879,0,9234418587,3026326468,3087708062,1841238761
18,"Industri Kimia, Farmasi dan Obat Tradisional",274614731,1604050149,1046622956,1068813203,2324044936,0,3112759952,9989292629,6549906553,6210354865
19,"Industri Karet, Barang dari Karet dan Plastik",0,0,0,0,0,0,0,0,0,0
20,Industri Barang Galian bukan Logam,3419026282,2222136675,0.014801968,2466097131,5362318557,0,1522310819,0.711788337,8896530165,2870066171
21,Industri Logam Dasar ,1290067883,5124243536,0.003404813,2894516635,6293796794,0,5932461017,0.269405827,5920969773,102567863
22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",5854689775,1955187319,0,0.901720768,1960173111,0,1003534586,4757235241,159039355,2401478628
23,Industri Mesin dan Perlengkapan YTDL,1055052227,0,0,3061008692,6655844611,0,878424732,3206686225,8144383036,2353609384
24,Industri Alat Angkutan,2329962462,0,0,515419676,1120736267,0,3531098621,8173385861,2171111295,418516689
25,Industri Furnitur,5481702532,0,0,112822517,2453227357,0,9763174007,225991381,6002885235,9765252089
26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",3128763921,0,0,3123846422,0,0,0,0,0,4917519776
27,Ketenagalistrikan ,1159364948,0,0,0,0,0,9861740896,172764372,426502825,0
28,Pengadaan Gas dan Produksi Es,3545285551,0,0,0,0,3545233042,0,0,0,0
29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",3711250104,0,0,3678603786,0,0,1298944049,3009748406,7992394092,8669227466
30,Konstruksi,3434576448,0,0,3123419805,0,0,1460977677,3381016794,8983007979,4140112504
31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",9000322482,0,0,2144384169,4662741567,0,1111892866,2574453382,6837206191,1403754581
32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1775389477,0,0,1511462494,3286546695,0,6635821518,1535984565,4080063627,7040158667
33,Angkutan Rel ,6627564521,0,0,1252448011,2723315618,0,1386688976,3209738079,8526337283,9153570748
34,Angkutan Darat,135314089,0,0,4003588733,8705463333,0,4084133991,0.94534893,251114749,0.682937975
35,Angkutan Laut ,5201174122,0,0,1468264426,3192644219,0,267357071,0.618293775,1643488393,0.466775142
36,Angkutan Sungai Danau dan Penyeberangan,2011310784,0,0,5356866897,1164817801,0,138902904,3215138266,8540657565,5435369857
37,Angkutan Udara,0,0,0,0,0,0,0,0,0,0
38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",1055052227,0,0,3061008692,6655844611,0,878424732,3206686225,8144383036,2353609384
39,Penyediaan Akomodasi ,2329962462,0,0,515419676,1120736267,0,3531098621,8173385861,2171111295,418516689
40,Penyediaan Makan Minum,5481702532,0,0,112822517,2453227357,0,9763174007,225991381,6002885235,9765252089
41,Informasi dan Komunikasi,3128763921,0,0,3123846422,0,0,0,0,0,4917519776
42,Jasa Perantara Keuangan,1159364948,0,0,0,0,0,9861740896,172764372,426502825,0
43,Asuransi dan Dana Pensiun,3545285551,0,0,0,0,3545233042,0,0,0,0
44,Jasa Keuangan Lainnya,3711250104,0,0,3678603786,0,0,1298944049,3009748406,7992394092,8669227466
45,Jasa Penunjang Keuangan,3434576448,0,0,3123419805,0,0,1460977677,3381016794,8983007979,4140112504
46,Real Estate,9000322482,0,0,2144384169,4662741567,0,1111892866,2574453382,6837206191,1403754581
47,Jasa Perusahaan,1775389477,0,0,1511462494,3286546695,0,6635821518,1535984565,4080063627,7040158667
48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",6627564521,0,0,1252448011,2723315618,0,1386688976,3209738079,8526337283,9153570748
49,Jasa Pendidikan,135314089,0,0,4003588733,8705463333,0,4084133991,0.94534893,251114749,0.682937975
50,Jasa Kesehatan dan Kegiatan Sosial,5201174122,0,0,1468264426,3192644219,0,267357071,0.618293775,1643488393,0.466775142
51,Jasa lainnya,2011310784,0,0,5356866897,1164817801,0,138902904,3215138266,8540657565,5435369857
52,Lainnya,0,0,0,0,0,0,0,0,0,0
