Year,Energi,Pertanian,Limbah
2015,1273305.016,0,449885.3902
2016,1501049.455,1127412.781,427359.4806
2017,1654054.884,1255730.5,444470.2219
2018,1795800.161,1406283.819,460932.5283
2019,1975285.973,1499721.439,477695.4487
2020,3457327.941,1576496.732,492982.5116
2021,3285415.346,1653631.38,507716.8096
2022,3613074.762,1786917.751,522835.0168
2023,4037629.551,1917201.219,538179.8545
2024,5024506.918,2060780.641,553627.7799
2025,5998882.178,2214935.703,569133.3193
2026,6854700.818,2379903.564,584667.3097
2027,7647077.919,2558777.237,600211.3476
2028,8315557.713,2749633.628,615754.0926
2029,9028136.176,2950526.976,631288.8114
2030,9786422.77,3162872.232,646811.7495
2031,10171125.28,3310851.752,662321.0543
2032,10724435.39,3459527.906,677816.0675
2033,11299571.55,3609166.714,693296.8612
2034,11897170.86,3759506.561,708763.9365
2035,12517885.22,3910865.134,724218.0298
