"601.534,36",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3.511.838,18",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"86.533,48",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,43","1.378,66","850,28",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,"57.481,38",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1.276,37",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27.337,21",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,"63.959,62",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1.231,77",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"74.618,79",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,"10.898,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13.224,14",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"244,28",-,"432,16",-,"17.164,41",-,"121,02",-,"221,95","661,92","284,07","1.149,93",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,07",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"623,08",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,"386.608,23",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,87",-,-,-,-,"0,96",-,-,-,-,-,-,-,-,-,"3.011,38",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,"2.622,02",-,"4.808,89",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,31",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5.515,18",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,"121.433,72",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36.047,67",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,"10.488,17",-,"19.235,73",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,26",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22.060,90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,"7.987,46","3.427,92","13.876,42",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"59,53",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14.938,11","1.233,73","1.038,34",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,"3.689,27","1.583,30","6.409,28",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,50",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6.899,66","569,84","479,59",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,"14.792,45","6.348,37","25.698,57",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"110,26",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27.664,78","2.284,81","1.922,96",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,"4.232,48",-,-,-,-,"10.797,51",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8.563,43",-,-,-,-,"2.123,76",-,"16.325,10",-,-,-,-,-,-,-,"36.557,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35.519,17",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"857.277,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13.749,23",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"40.089,62",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
