" 53,023 ", - , - , - , - , - , - , - , - , - , - , 27 , - , - , - , - , - , - , - , - , - ," 2,000,224 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , 74 , - , - , - , - , - , - , - , - , 283 , - , - , - , - , - , - , - , - , - , - ," 24,237 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 102 , - , - , - , 699 ," 8,375 ", - , - , - , - , - , - , - , - , - 
 - , - , 814 , - , - , - , - , - , - , - , 386 , - , - , - , - , - , - , - , - , - , - ," 118,569 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 153 , - , - , - ," 2,221 "," 7,163 ", - , - , - , - , - , - , - , - , - 
 - , - , - ," 1,106 ", - , - ," 5,385 ", - , - , - , 320 , 41 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 25 , - , - , - , 734 ," 3,133 ", - , - , - , - , - , - , - , - , - 
 - , - , - , - ," 1,586 ", - , - , - , - , - , 90 , 68 , - , - , - , - , - , - , - , - , - ," 7,672 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 13,992 ", - , - , - , 303 ," 58,751 ", - , - , - , - , - , - , - , - , - 
 - , - , - , - , - ," 1,077 ", - , - , - , - , 54 , 27 , - , - , - , - , - , - , - , - , - ," 14,139 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 11,690 ", - , - , - ," 1,672 "," 10,938 ", - , - , - , - , - , - ," 44,926 ", - , - 
 - , - , - , - , - , - ," 17,370 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 647,021 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - ," 6,073 "," 3,187 ", - , - , - , - , - , - , - , - , - , - , - , - , - ," 179,396 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 330 , - , - , - , 354 ," 5,001 ", - , - , - , - , - , - ," 15,741 ", - , - 
 - , - , - , - , - , - , - , - ," 49,184 ", - , - , - , - , - , - , - , - , - , - , - , - ," 1,164,337 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 271 , 191 , 30 , - , - , - , - , - ," 9,846 ", 149 ," 7,689 ", - , - , - , - , - , - , - , - , - , - ," 6,827 ", - , - ," 1,265 ", - , - , - ," 18,354 ", - , - , - , - , - , - , 15 , - , - , - , - , - , - , - ," 2,059 ", - , - , - ," 1,595 "," 18,515 ", - , - , - , 1 , - , 296 , - ," 9,807 ", - 
" 3,149 ", 527 , 38 , 150 ," 1,480 ", 857 , 317 ," 6,901 "," 11,868 ", 282 ," 1,881 ", - , - , - , - , - , - , - , - , - , - ," 476,764 ", - , - , - , - , - , - , - , - , - , - , - , - , - , 18 , - , - , - , - , - , - , - ," 1,118 ", - , - , - , - , 392 , - , - , - , - , - , - , - , - , - 
 25 , 178 , - , 13 , - , - , - , - , - , - , - ," 91,396 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - ," 1,372 ", - , - , - , 567 ," 226,701 ", - , - , - , - , - , - ," 152,835 ", - , - 
 172 , 8 , 6 , 35 , 825 , - , - , - ," 5,880 ", 162 ," 1,098 ", 205 ," 109,352 ", 6 , - , 66 , - , - , - ," 6,116 ", - , - , - ," 771,873 "," 472,557 ", - , - , - , - , - ," 7,245 ", - , - , - , - , - , - , - , - ," 2,155,814 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 49 , 3 , - , - , - , - , - , - , - , - , 42 , 82 , 374 , - , - , - , - , - , - , - , - , - , - ," 449,398 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 13,520 ", - 
 - , - , 1 , - , - , - , 317 , - , - , - ," 5,186 ", - , 160 , - , - , - , - , - , - , - , - , 813 , - ," 123,067 ", - , - , - , - , - , - , - , - , 180 , 68 , 442 , 10 , - , - , - , - , - , - , - , - , - , - , - , - , 783 , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 43,694 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 407 , - , - , - ," 1,480 "," 111,736 ", - , - , - , - , - , - ," 77,836 ", - , - 
 - , - , - , - , - , - ,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - ,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - ,,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , 554 , 926 , - , - , 54 , - , - , - , - , - , - , - , - , - ," 64,247 "," 8,269 ", - , - , - , - , - , - , - , - ," 90,355 ", - , - , - , - , - , - , - , - ," 644,938 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - ,,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , 402 ," 8,660 ", - , - , - , - ," 17,946 "," 276,803 "," 6,264 ", - ," 83,164 "," 11,038 ", - ," 220,295 "," 64,501 "," 5,547 "," 3,089,200 "," 397,608 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 557 ," 12,991 "," 13,520 "," 30,917 "," 57,464 ", 743 , 360 ," 11,667 "," 492,174 ", 119 , 500 , 333 , 700 , 181 , - ," 188,504 ", 162 ," 39,060 "
" 1,402 ", 34 , 11 , 34 , - , - ," 1,219 ", - ," 3,956 ", - , 187 , 123 ," 1,352 ", 80 , - , - , - ," 39,164 "," 11,467 ", - ," 2,601 ", 335 ," 15,447 ", - ," 21,193 ", - , - , - , - ," 38,620 ", 194 , - , - , - , - , 100 , 149 , 0 , 10 , - , 63 ," 1,463 ", 246 ," 3,355 ", - , 511 ," 8,915 ", 241 ," 5,118 "," 2,034 "," 4,931 ", 681 , 680 , 59 ," 25,873 "," 16,565 "," 100,928 "," 1,876 "
 - , - , - , 1 , 298 , - ," 6,058 ", - ," 10,265 ", - , - , 396 , - , - , - , 366 , - , - , - ," 4,952 ", - , - , - ," 168,219 "," 2,338 ", - , - , - , - ," 11,773 ", 58 , - , - , - , - , - , - , - , - ," 77,600 ", 779 ," 18,161 ", - , - , - , - , - , - , 783 , - , - , - , 40 , - ," 1,168 ", 643 , - , - 
 - , 432 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 57,416 "," 4,688 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 597,480 ", - , - , - , - , - , 20 , 534 , - , - , 251 , - , - , - , - , 593 , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , 410 , - , - , - , - , - , - , - , - , - , - , - , - ," 7,025 ", 181 , - , - , - ," 12,630 ", 62 , - , - , - , - , - , - , - , - ," 115,840 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , 889 , - , - , - 
 - , - , - , - , 86 , 90 ," 2,385 ", - ," 49,932 ", 3 , 121 , 178 , 366 , 439 , - , 307 , - ," 1,632 ", 478 , 937 ," 59,038 "," 7,599 ", 20 ," 1,845 "," 1,169 ", 104 ," 113,069 ", - , - ," 10,014 ", 326 , - , 63 , 24 , 154 , 56 , 35 , 28 , 834 ," 26,302 "," 1,165 "," 27,147 "," 4,647 "," 3,712 "," 4,147 "," 5,045 "," 1,397 "," 5,658 "," 33,926 "," 15,936 "," 58,446 "," 10,320 "," 1,580 ", 497 ," 213,993 "," 53,340 "," 9,591 "," 3,216 "
 246 , 16 , 1 , 27 , 13 , 357 ," 5,153 ", 531 ," 144,237 ", - ," 3,570 "," 6,435 "," 44,592 ", 795 ," 49,822 "," 1,108 ", - ," 1,186,361 "," 347,360 "," 53,565 "," 241,192 "," 31,044 ", 124 , - ," 31,601 "," 1,770 "," 2,177 ", - ," 8,964 "," 75,675 "," 3,167 ", - , 249 , 94 , 610 , 598 ," 12,460 ", 212 ," 6,212 "," 389,863 "," 6,349 "," 147,964 "," 373,749 "," 257,205 "," 470,117 "," 74,559 "," 21,632 "," 3,573 "," 37,616 "," 61,353 "," 26,645 "," 3,215 "," 2,284 ", 388 ," 174,363 "," 23,061 ", 990 ," 7,147 "
