 - ,0,0," 7,304 ",0,0,0
" 38,101 ",0,0,"21,501",0,0,0
" 1,284,692 ",0,0,"-25,300",0,0,0
" 29,414 ","3,329",0,712,0,0,0
" 180,986 ",0,0,"3,226",0,0,0
 - ,285,0,"26,452","3,121",752,"3,873"
" 5,621 ",0,121,"-3,757",0,0,0
 - ,0,50,3,0,0,0
 - ,0,"3,166",19,0,0,0
" 606,873 ",0,"216,123",554,"27,115","160,926","188,041"
" 149,315 ","5,088","19,439","7,237",0,0,0
 - ,0,0,0,0,0,0
" 12,334 ",0,0,114,"6,002",0,"6,002"
" 1,547,794 ","164,249","310,580","8,054","1,135,514","970,749","2,106,263"
 - ,0,0,"41,266","917,121","100,112","1,017,233"
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,"26,915",898,0,"74,202","74,202"
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
 - ,0,0,0,0,0,0
" 315,150 ","61,685",0,-335,"1,076,103","30,990","1,107,093"
 - ,0,0,0,0,0,0
" 9,957 ","2,166",131,156,0,0,0
 - ,0,0,0,0,0,0
" 140,746 ","129,347",0,547,0,"628,044","628,044"
" 1,553 ","1,770",0,3,0,0,0
 467 ,374,0,29,0,0,0
" 269,790 ","125,687","44,455","4,532",0,"72,743","72,743"
" 2,350 ",0,268,"1,246",0,0,0
 - ,0,0,0,0,0,0
 1 ,190,164,16,103,0,103
 - ,0,0,0,0,0,0
 - ,"12,605","42,808","1,392",380,0,380
 141 ,"1,851","9,418",130,0,0,0
" 5,479 ","5,747",83,29,502,0,502
" 65,778 ","22,805",0,0,0,0,0
 436 ,149,0,0,0,0,0
" 138,904 ","6,190",0,"1,070",0,0,0
 - ,0,"5,302,244",311,0,0,0
" 1,231,035 ","379,920","277,262",0,"247,691","169,151","416,842"
" 697,253 ","216,209","160,715",0,"143,574","98,048","241,623"
 - ,0,0,0,0,0,0
" 468,233 ","68,853","18,549",0,"16,571","11,316","27,887"
" 248,251 ","60,817","16,906",0,"19,048","13,008","32,057"
" 174,378 ","42,780","5,927",0,"5,369","3,666","9,035"
" 287,166 ","276,756","5,023",0,"6,164","4,209","10,374"
" 17,405 ","13,106",994,0,888,606,"1,494"
" 294,517 ","237,791",0,0,0,"61,310","61,310"
" 139,055 ","42,442",0,0,0,0,0
" 574,098 ","110,306","116,875",820,0,"526,598","526,598"
" 440,838 ","70,222",0,0,0,0,0
" 140,912 ","45,723",0,0,0,0,0
 537 ,"4,823",0,0,0,0,0
 17 ,531,0,0,0,0,0
" 45,909 ","42,192",0,0,0,0,0
" 19,710 ","14,515","93,996",0,0,0,0
" 8,154 ","5,781,321","1,244",0,0,0,0
" 987,758 ",282,0,0,0,0,0
" 626,406 ",205,0,0,0,0,0
" 463,708 ","34,554",0,0,0,0,0
