" 89,897 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 521 , 11 , 337 ," 4,019 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 165,370 ", -   , -   , -   , 1 , -   , 10 , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   ," 57,764 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,932 ", 42 ," 2,007 ", 395 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 105 , 1 , 92 , 42 , -   , 121 , 13 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 126 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   ," 231,071 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , 3 , -   , 840 ," 44,491 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 65 , -   , -   , -   , -   , -   , -   , 17 ," 69,553 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   ," 49,625 ", -   ," 1,356 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,192 ", 26 , 472 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , 40 , -   , -   ," 6,850 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , 86 , -   , -   , -   , -   , -   , -   , 51 ," 1,971 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   ," 9,673 ", 386 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 21 , -   , 4 , -   , 13 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 175 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   ," 1,024 "," 195,930 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 519 , 11 , 36 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 76 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 151 ," 2,584 ", -   ," 1,750 ", -   , -   , 1 , -   , -   , -   , 823 ," 19,544 "," 8,625 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,488 "
 -   , -   , -   , -   , -   , -   ," 26,403 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 14 , -   , -   ," 1,042 ", -   , 4 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,621 ", -   , -   , -   , -   , -   , -   , -   , -   , 286 ," 1,219 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , 157 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   ," 4,146 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   ," 9,521 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 191,355 ", -   , -   , -   , 128 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , 178 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 18 , 382 , 51 , 6 , 4 , 1 , -   , 8 , 1 , -   , 1 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 567 , 59 , -   , 7 , 49 , -   , -   , -   , -   , -   , 1 , 87 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 782 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,018 ", -   , 179 , -   , 20 , 57 , -   , 22 , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,073 ", 184 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , 102 , 11 , -   ," 3,629 ", -   , -   , -   , 46 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,055 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 69 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 61 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 23 ," 2,446 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , 2 , 16 , -   , -   , -   , -   , -   , 1 , 59 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 43 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
