 -   , -   , -   ," 19,486 "," 213,252 "
" 425,840 ", -   , -   ," 2,358 "," 3,545 "
" 1,607,363 ", -   , -   ," 1,832 ", 821 
" 286,028 ", -   , -   ," 1,858 ", 147 
" 49,296 ", -   , -   , (163), 793 
" 597,101 ", -   , -   ," 16,295 "," 49,016 "
" 502,480 ", -   , -   , (226)," 2,216 "
 -   , -   ," 1,682 ", (228)," 4,439 "
 -   , -   ," 34,921 ", 507 ," 195,860 "
" 132,805 ", -   , 975 , 937 ," 7,530 "
 93 , -   ," 2,289 ", 533 ," 24,782 "
 -   , -   ," 2,106 "," (1,003)"," 144,088 "
" 1,917 ", -   , -   , -   , -   
 -   , -   , 18 , 9 ," 15,636 "
 289 , -   , -   , (3), 1 
 853 , -   ," 2,550 ", 5 ," 95,816 "
" 15,218 ", -   , 182 , (363), 488 
" 209,548 ", -   , -   , 3 ," 66,873 "
" 323,938 ", -   , -   ," 14,733 "," 48,568 "
" 6,700 ", -   , -   , 6 , -   
 -   , -   , -   ," 2,082 "," 560,956 "
 -   , -   , -   , 13 ," 159,356 "
" 2,998,673 "," 95,989 ", -   ," (60,947)"," 1,261,635 "
" 104,638 ", -   , -   , (690)," 11,491 "
" 28,538 ", -   , -   ," (1,513)", 7 
 -   , -   , -   ," (2,659,429)"," 41,800,438 "
 -   , -   ," 808,231 "," 615,406 "," 19,090,079 "
 -   , -   , -   ," (7,542)"," 3,528,777 "
" 186,231 "," 18,610 ", -   ," (13,040)"," 13,414 "
" 8,357 ", 379 , -   , 586 ," 9,320 "
" 131,070 ", 345 , -   , 12 ," 256,496 "
" 167,580 ", 735 , -   ," 1,329 "," 12,639 "
 920 , -   , -   , -   , -   
" 1,177 ", 699 , -   , -   , -   
" 85,730 ", -   , -   , -   , -   
" 2,335 ", 48 , -   , (38), 249 
" 4,521 ", 6 , -   , (3)," 6,460 "
" 484,879 ", 14 , -   ," (21,563)", 505 
" 28,129 ", -   , -   ," 2,527 ", 365 
 838 , 869 , -   , 100 , 236 
" 32,662 ", 374 , -   , 554 ," 18,292 "
" 2,898 ", 847 , -   , (284), 231 
" 43,784 "," 50,752 ", 476 ," 16,483 "," 1,626,615 "
" 1,761 ", 880 , -   , (167), 669 
" 14,239 "," 4,154 "," 1,945 "," (1,277)"," 97,723 "
 780 ," 37,260 ", 46 ," (1,565)"," 9,834 "
" 2,227 ", 238 ," 15,715 ", 371 , 297 
 -   , -   ," 51,690 "," (3,438)", 181 
" 4,438 "," 9,223 "," 43,364 ", (721)," 1,591 "
" 2,648 ", -   ," 17,570 ", (1)," 7,827 "
 127 ," 1,677 ", -   , (98)," 13,518 "
" 2,883 "," 99,790 ", -   , -   , 1 
" 4,330 "," 89,297 ", -   , -   , 22 
 -   ," 2,338 ", -   , -   , 26 
 -   , -   ," 18,102,444 ", -   , -   
" 246,673 "," 74,236 "," 91,433 "," (31,264)"," 717,162 "
" 1,164,324 "," 350,403 "," 431,573 "," (147,568)"," 3,385,078 "
" 1,029,435 "," 47,116 "," 43,782 "," (14,970)"," 653,125 "
" 40,577 "," 33,710 ", 224 , (77)," 7,726 "
" 802,399 "," 170,940 "," 4,428 "," (1,514)"," 36,283 "
 865 ," 2,316 ", 5 , (2)," 2,556 "
" 80,232 "," 11,115 ", 443 , (151)," 3,489 "
" 1,049,640 "," 502,308 "," 5,793 "," (1,981)"," 181,077 "
" 7,890 "," 8,879 ", 44 , (15), 655 
" 60,980 "," 1,417 "," 1,298 ", (444)," 27,782 "
" 289,610 "," 57,135 ", -   , -   ," 57,396 "
" 161,663 "," 75,495 ", -   , -   ," 419,038 "
" 1,462,680 "," 957,357 "," 19,639 ", -   ," 223,702 "
" 363,486 "," 222,652 ", -   , -   ," 51,477 "
" 8,762 ", -   , -   , -   , 39 
" 2,482 "," 4,091 ", -   , -   ," 2,517 "
 57 , 50 , -   , -   , 26 
" 664,095 "," 210,370 ", -   , -   ," 1,076,289 "
" 8,261 "," 25,539 ", -   , -   , 869 
" 2,339 "," 2,821 ", -   , -   , -   
" 431,714 ", -   , -   , -   , -   
" 23,706 ", -   , -   , -   , -   
" 117,703 "," 6,807,494 ", -   , -   , -   
" 821,372 "," 525,075 ", -   , -   , 945 
" 139,883 "," 103,604 ", -   , -   , -   
" 470,367 "," 336,136 ", -   , -   ," 5,776 "
" 319,602 "," 53,045 ", -   , -   , -   
" 96,066 "," 1,993 ", -   , -   ," 4,348 "
" 202,446 "," 6,910 ", -   , -   ," 503,282 "
