 - , - , - ," 33,246 ", - 
" 6,303 ", - , - , 408 , - 
" 88,946 ", - , - , 850 ," 1,556 "
" 11,980 ", - , - ," (1,316)", - 
" 272,524 ", - , - ," 8,506 ", - 
" 107,012 ", - ," 51,741 ", (850)," 4,127 "
" 169,083 ", - ," 16,939 "," (21,612)"," 164,769 "
" 402,232 ", - ," 74,078 "," (18,044)", - 
 - , - , - , - , - 
" 18,291 ", - , - ," 184,598 "," 861,191 "
" 1,000,267 ", - ," 4,848 "," (109,265)"," 546,142 "
" 70,823 ", - , - ," (1,512)"," 1,390,642 "
" 18,307 ", - , - ," (17,180)"," 184,324 "
 - , - ," 36,719 "," (38,141)"," 3,571,673 "
 - , - , - ," 1,522,424 "," 30,283,337 "
" 46,992 ", - , - ," 1,534 "," 376,680 "
" 120,710 "," 4,221 ", - ," (6,828)"," 125,214 "
" 17,054 "," 17,341 ", - ," (7,207)"," 534,778 "
 469 ," 24,508 ", - , (195), - 
" 18,754 "," 8,524 ", 157 ," (3,786)", 97 
" 49,606 "," 24,480 "," 55,605 "," 8,588 "," 3,724 "
" 65,805 "," 34,207 ", - ," (245,266)", - 
 - ," 287,807 "," 6,652,723 ", - ," 2,155 "
" 370,072 "," 316,058 ", - , - , - 
" 395,522 "," 58,216 "," 40,486 "," (242,069)"," 2,634,095 "
" 146,105 "," 92,110 "," 1,435 "," (1,481)"," 135,925 "
" 20,624 "," 16,062 "," 14,906 "," (2,001)"," 110,118 "
" 3,366 "," 1,903 ", 22 , (26)," 29,547 "
" 151,427 "," 179,402 ", 534 , (634)," 299,881 "
" 40,946 "," 42,365 "," 1,081 "," (1,283)"," 160,604 "
" 29,312 "," 102,208 ", - , - ," 39,425 "
" 229,305 "," 227,745 ", - , - ," 42,513 "
" 316,383 "," 213,056 "," 24,708 "," (4,312)"," 14,158 "
" 265,086 "," 194,783 ", - , - ," 1,885 "
" 551,775 "," 11,603 ", - , - ," 4,615 "
" 8,427 "," 9,396 "," 12,175 ", - ," 12,555 "
" 58,504 "," 3,242,388 "," 1,150 ", - ," 2,456 "
" 605,772 "," 953,095 ", - , - , 492 
" 267,344 "," 514,207 ", - , - ," 1,192 "
" 128,404 "," 2,444 ", - , - ," 3,646 "
