" 110,939 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,161 ", 277 , -   , -   , -   , -   , -   , -   , -   ," 803,342 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   ," 2,691 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 332 , 205 , 46 , -   , -   , 264 , -   , -   , -   ," 14,601 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,432 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 72 , 48 , -   , -   , -   
 -   , -   ," 4,433 ", -   , -   , -   , -   , -   , -   , -   , -   , 111 , 64 , -   , -   , -   , -   , -   , -   , -   ," 15,544 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,600 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 122 , 179 , 13 , -   , -   
 -   , -   , -   ," 8,418 ", -   , -   , -   , -   , -   , -   , -   , 235 , 94 , -   , -   , -   , -   , -   , -   , -   ," 11,130 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,304 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,569 ", 291 , 42 , -   , -   
 -   , -   , -   , -   ," 3,455 ", -   , -   , -   , -   , -   , -   , 42 , 29 , -   , -   , -   , -   , -   , -   , -   ," 12,302 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,005 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , 29 , -   , -   , -   
 -   , -   , -   , -   , -   ," 34,108 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 240,247 ", -   , 671 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,168 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 415 , 151 , -   , -   , -   
 -   , -   , -   , -   , -   , -   ," 49,945 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 688,017 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   ," 2,017 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 17,957 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   ," 9,751 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 73 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,505 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 678 , -   , -   , -   , 497 , -   , -   , -   , -   , -   , -   , -   , -   , 65 , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
" 16,174 "," 1,513 ", 513 , 671 , 921 ," 3,680 "," 3,024 ", 759 ," 2,080 "," 5,976 "," 3,360 "," 1,445 "," 1,112 ", 257 ," 1,293 "," 1,087 "," 6,340 ", -   , -   , -   ," 2,667 ", 29 , 34 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,946 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 90 , 37 , -   , 90 , -   
" 5,112 ", 149 ," 1,195 "," 1,150 ", 42 ," 1,681 "," 1,358 ", 31 ," 1,896 "," 1,221 ", 316 ," 7,480 ", 694 , -   , -   , -   , -   , -   , -   , -   ," 80,981 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,211 ", 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 104 , 82 , 3 , 327 , -   
 504 , 124 , 36 , 210 , 12 , 16 , 195 , 4 , 200 , 32 , 31 , 365 , 108 , -   , -   , -   , -   , -   , -   , -   ," 23,653 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,072 ", 373 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , 25 , -   ," 1,361 ", 51 , -   , -   , -   , -   , -   , -   , -   , -   , 799 , -   , -   , 148 , -   , -   , -   ," 6,335 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,209 ", 350 , -   , -   , 50 , -   , -   , -   , -   , -   , -   , -   ," 1,989 "," 2,486 ", -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , 37 , -   ," 30,150 ", 31 , -   , -   , 9 , -   , -   , -   ," 257,253 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,459 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 124 , 151 , 93 , 42 , 131 , 460 , -   , -   , -   , 41 , -   ," 105,378 ", -   , 625 , -   , -   , -   , -   , -   , -   ," 2,640 ", -   , 509 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , -   
