 -   , -   , -   ," 98,515 ", -   
" 96,731 ", 445 , -   ," 3,219 "," 7,385 "
" 95,422 "," 3,053 ", -   ," 4,907 "," 2,575 "
" 372,254 "," 22,742 ", -   ," 19,597 "," 16,613 "
" 45,953 ", 643 , -   ," 3,187 "," 6,512 "
" 311,781 ", 119 , -   ," 27,462 "," 55,145 "
 -   , -   , -   ," 59,049 "," 356,359 "
" 1,354 ", -   , -   ," 1,378 "," 18,364 "
 626 , -   , -   ," 40,464 "," 901,292 "
" 9,660 ", -   , -   ," 14,199 "," 299,603 "
" 18,870 ", 264 , -   ," 3,280 "," 10,105 "
" 93,929 "," 1,258 "," 7,349 "," 11,908 "," 87,945 "
" 14,827 ", 512 ," 1,002 "," 1,685 "," 6,555 "
" 23,321 ", 255 , -   ," 1,139 "," 1,135 "
 941 , -   , -   ," 18,447 "," 41,766 "
" 14,548 ", -   , -   ," 8,569 "," 70,257 "
" 579,064 "," 2,722 ", -   ," 66,963 "," 198,569 "
 -   , -   , -   ," 2,337 "," 75,523 "
 27 ," 3,187 ", -   ," 17,704 "," 112,285 "
" 112,685 "," 25,993 ", -   ," 1,233 ", -   
" 2,581,346 "," 180,656 ", -   ," 139,797 "," 538,743 "
" 216,184 "," 6,330 ", 571 , 963 , 45 
" 157,874 "," 17,952 "," 61,871 "," 52,312 "," 944,047 "
" 21,532 "," 73,869 ", -   ," 1,940 ", 12 
" 93,886 "," 45,957 ", -   , 864 , 28 
" 35,511 "," 9,669 ", 223 ," 6,770 ", -   
 -   , -   , -   ," 1,263 ", -   
" 129,240 "," 37,000 "," 238,488 ", 491 , -   
" 68,101 "," 12,411 "," 15,047 ", 72 , -   
" 86,514 "," 18,660 ", -   , -   , -   
" 20,050 ", 927 , -   , -   , -   
 -   ," 63,380 "," 1,750,771 ", -   , -   
" 807,085 "," 34,271 "," 35,619 "," 48,851 "," 470,297 "
" 1,073,718 "," 319,754 ", -   , -   , 207 
" 22,052 "," 15,126 ", -   , -   , 208 
" 693,132 "," 4,201 "," 4,366 "," 5,989 "," 117,101 "
" 142,103 ", 556 , 578 , 792 ," 7,696 "
" 276,266 "," 1,415 "," 1,471 "," 2,018 "," 19,479 "
" 29,218 ", 449 , 467 , 640 ," 6,333 "
" 107,661 ", -   , -   , -   , 36 
" 233,055 "," 27,133 ", -   , -   , 301 
" 71,105 "," 2,122 ", -   , -   , 22 
" 252,207 "," 25,308 ", -   , -   , 16 
 -   ," 1,684,790 ", -   , -   , -   
" 17,321 "," 5,743 ", -   , -   , -   
" 188,447 ", 670 , -   , -   , -   
" 98,765 ", 43 , -   , -   , 1 
" 5,383 ", 656 , -   , -   , 65 
" 462,805 "," 72,355 ", -   , -   , 77 
 -   , -   , -   , -   , -   
