Kode I-O,V1,V2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
1,Padi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16925,0,0,0,0,0,0,0,0
2,Tanaman Bahan Makanan lainnya,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,98692,0,0,0,0,0,0,0,0,0,0,0
3,Karet,Direct land-based,0,0,0,0,0,0,24003.7,0,0,0,194245,0,430068,0,0,0,0,0,0,0,0,0,0
4,Kelapa Sawit,Direct land-based,0,0,0,0,0,0,0,0,0,0,485612.5,0,0,0,0,0,0,0,0,0,0,0,0
5,Kopi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,286712,0,0,0,0,0,0,0,0,0,0
6,Tanaman Pekebunan Lainnya,Direct land-based,0,0,0,0,0,0,0,0,0,0,291367.5,0,286712,0,0,0,0,0,0,0,0,0,0
7,Peternakan dan hasil-hasilnya,Direct land-based,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Kayu,Direct land-based,0,115926.4,0,4611.7,0,0,216033.3,0,0,0,0,0,430068,0,0,0,0,0,0,0,0,0,0
9,Hasil hutan lainnya,Direct land-based,58093.1,0,13245.1,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Perikanan,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,8712.8,3028.2,0,0
11,Pertambangan Migas,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0
12,Pertambangan non-Migas,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0
13,Penggalian,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0
14,Pengilangan minyak bumi,Direct land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642,0,0,0,0,0
15,"Industri penggilingan padi, biji-bijian",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
16,Industri Kelapa Sawit,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
17,"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
18,"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
19,"Industri Barang dari Karet dan Plastik, besi dan baja",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
20,"Industri kertas dan barang dari kertas, mesin dan peralatan",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
21,Industri pupuk dan bahan kimia,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
22,"Industri semen, dan barang galian bukan logam",Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
23,Industri Lainnya,Indirect land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
24,"Listrik, Gas dan Air Bersih",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.135,0,0,0,0
25,Konstruksi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
26,Perdagangan Besar dan Eceran,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
27,"Transportasi ,sungai,  dan penyeberangan",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0
28,Penyediaan Akomodasi dan Makan Minum,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
29,Informasi dan Komunikasi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
30,Jasa Keuangan dan Asuransi,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
31,Real Estate dan Jasa Perusahaan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
32,Jasa Administrasi Pemerintahan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
33,Jasa Pendidikan,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
34,Jasa Kesehatan dan Kegiatan Sosial,Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
35,"Jasa lainnya, rekreasi & kebudayaan",Non land-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.045,0,0,0,0
36,Kegiatan lainnya,Non land-based,522837.9,173889.6,119205.9,41505.3,724.5,4095,0,445750,208972,64.4,0,0,0,21839,0,0,233977,0,72967.2,34851.2,12112.8,0,0
