Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
0,0,0,0,0,0,0,0,0,0,0,0.539713463,0.537540439,0.949269894,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.323828078,0.322524263,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.753754674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000798792,0,0,0,0,0.00271774,0.001032702,0,0,0,0.00310073,0.003069701,0.000816377,0,0.016793795,0,0,0,0,0,0,0
0,0,0,0,0,0,0.279727182,0.107679239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094877474,0.094877474,0,0,0,0.082265678,0.3846776,0.095608048,0.164190286,0,0,0,0.083880423,0,0,0,0,0,0.158442734,0,0,0,0
0,0,0,0,0,0.294223421,0,0,0,0,0,0,0,0,0.572883514,0,0,0,0,0.317108783,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275690358,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137845179,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275690358,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137845179,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067175182,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016793795,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033587591,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033587591,0,0,0,0,0,0,0
