Padi,Pertanian Kehutanan dan Perikanan
Tanaman Bahan Makanan lainnya,Pertanian Kehutanan dan Perikanan
Karet,Pertanian Kehutanan dan Perikanan
Kelapa Sawit,Pertanian Kehutanan dan Perikanan
Kopi,Pertanian Kehutanan dan Perikanan
Tanaman Pekebunan Lainnya,Pertanian Kehutanan dan Perikanan
Peternakan dan hasil-hasilnya,Pertanian Kehutanan dan Perikanan
Kayu,Pertanian Kehutanan dan Perikanan
Hasil hutan lainnya,Pertanian Kehutanan dan Perikanan
Perikanan,Pertanian Kehutanan dan Perikanan
Pertambangan Migas,Pertambangan dan Penggalian 
Pertambangan non-Migas,Pertambangan dan Penggalian 
Penggalian,Pertambangan dan Penggalian 
Pengilangan minyak bumi,Pertambangan dan Penggalian 
Industri penggilingan padi biji-bijian,Industri Pengolahan
Industri Kelapa Sawit,Industri Pengolahan
Industri Makanan dan Minuman Lainnya kimia dan barang dari karet,Industri Pengolahan
Industri Barang dari Kayu dan Hasil hutan lainnya barang lain bukan logam,Industri Pengolahan
Industri Barang dari Karet dan Plastik besi dan baja,Industri Pengolahan
Industri kertas dan barang dari kertas mesin dan peralatan,Industri Pengolahan
Industri pupuk dan bahan kimia,Industri Pengolahan
Industri semen dan barang galian bukan logam,Industri Pengolahan
Industri Lainnya,Industri Pengolahan
Listrik Gas dan Air Bersih,Pengadaan Listrik Gas air
Konstruksi,Konstruksi
Perdagangan Besar dan Eceran,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Transportasi sungai  dan penyeberangan,Transportasi dan Pergudangan 
Penyediaan Akomodasi dan Makan Minum,Penyediaan Akomodasi
Informasi dan Komunikasi,Informasi dan Komunikasi 
Jasa Keuangan dan Asuransi,Jasa Keuangan dan Asuransi
Real Estate dan Jasa Perusahaan,Jasa Perusahaan
Jasa Administrasi Pemerintahan,Jasa Perusahaan
Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial
Jasa Kesehatan dan Kegiatan Sosial,Jasa Kesehatan dan Kegiatan Sosial
Jasa lainnya rekreasi & kebudayaan,Jasa Lainnya
Kegiatan lainnya,Kegiatan Lainnya
