Padi,"Pertanian, perkebunan, perikanan"
Tanaman Bahan Makanan lainnya,"Pertanian, perkebunan, perikanan"
Karet,"Pertanian, perkebunan, perikanan"
Kelapa Sawit,"Pertanian, perkebunan, perikanan"
Kopi,"Pertanian, perkebunan, perikanan"
Tanaman Pekebunan Lainnya,"Pertanian, perkebunan, perikanan"
Peternakan dan hasil-hasilnya,"Pertanian, perkebunan, perikanan"
Kayu,"Pertanian, perkebunan, perikanan"
Hasil hutan lainnya,"Pertanian, perkebunan, perikanan"
Perikanan,"Pertanian, perkebunan, perikanan"
Pertambangan Migas,Pertambangan dan penggalian
Pertambangan non-Migas,Pertambangan dan penggalian
Penggalian,Pertambangan dan penggalian
Pengilangan minyak bumi,Industri
"Industri penggilingan padi, biji-bijian",Industri
Industri Kelapa Sawit,Industri
Industri Makanan dan Minuman Lainnya (52),Industri
Industri Barang dari Kayu dan Hasil hutan lainnya (21),Industri
Industri Barang dari Karet dan Plastik (9),Industri
Industri kertas dan barang dari kertas,Industri
Industri pupuk dan bahan kimia (3),Industri
"Industri semen, dan barang galian bukan logam",Industri
Industri Lainnya (10),Industri
"Listrik, Gas dan Air Bersih","Listrik, gas dan air minum"
Konstruksi,Konstruksi
Perdagangan Besar dan Eceran,Perdagangan dan rumah makan
Transportasi ,"Transportasi, pergudangan dan komunikasi"
Penyediaan Akomodasi dan Makan Minum,Perdagangan dan rumah makan
Informasi dan Komunikasi,"Transportasi, pergudangan dan komunikasi"
Jasa Keuangan dan Asuransi,"Lembaga keuangan, real estate"
Real Estate dan Jasa Perusahaan,"Lembaga keuangan, real estate"
Jasa Administrasi Pemerintahan,Jasa kemasyarakatan dan sosial
Jasa Pendidikan,Jasa kemasyarakatan dan sosial
Jasa Kesehatan dan Kegiatan Sosial,Jasa kemasyarakatan dan sosial
Jasa lainnya,Jasa kemasyarakatan dan sosial
SYTJB,Lain-lain
