ID,SEKTOR,Waste_total,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka ,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob, Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,1724784.896,0,542969.28,0,0,542969.28,637773.44,0,0,0,751.0272,321.8688,0,0,0
2,Tanaman Bahan Makanan lainnya,177734.62,0,0,52892.82,0,0,123416.59,0,0,0,997.65,427.56,0,0,0
3,Karet,14965.016,0,0,4102.55,0,0,9572.61,0,0,0,902.8992,386.9568,0,0,0
4,Kelapa Sawit,1309654.5,0,0,240707.25,0,0,240707.25,0,0,0,343926.66,484313.34,0,0,0
5,Kopi,4558.112,0,0,1257.17,0,0,2933.39,0,0,0,257.2864,110.2656,0,0,0
6,Tanaman Pekebunan Lainnya,90394.97,0,0,3131.78,0,0,51561.9,0,0,0,11015.82,24685.47,0,0,0
7,Peternakan dan hasil-hasilnya,33128.76,0,0,837.02,0,0,6497.31,0,0,0,415.07,25379.36,0,0,0
8,Kayu,55105.624,0,0,15503.26,0,0,38894.14,0,0,0,495.7568,212.4672,0,0,0
9,Hasil hutan lainnya,110406.438,0,0,31440.26,0,0,78876.45,0,0,0,62.8096,26.9184,0,0,0
10,Perikanan,2317.15,0,0,977.71,0,0,977.71,0,0,0,253.21,108.52,0,0,0
11,Pertambangan Migas,459688.036,0,14.36,7.18,0,0,0,0,0,0,321766.5472,137899.9488,0,0,0
12,Pertambangan non-Migas,140393.4114,0,0,131.37,0,0,131.37,0,0,0,98091.46995,42039.20141,0,0,0
13,Penggalian,151.374,2.51,0,0,0,0,0,0,0,0,104.2048,44.6592,0,0,0
14,Pengilangan minyak bumi,300505.706,0,28437.83,2303.32,0,0,22979.78,0,0,0,0,208080.697,0,38704.07904,0
15,"Industri penggilingan padi, biji-bijian",1640.99,27.23,0,0,0,0,0,0,0,0,1129.632,484.128,0,0,0
16,Industri Kelapa Sawit,790722.25,0,276362.63,276362.63,0,0,0,0,0,0,0,237996.99,0,0,0
17,"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",2097.53,34.81,0,0,0,0,0,0,0,0,1443.904,618.816,0,0,0
18,"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",305767.7,0,137601.67,101211.15,64766.47,0,0,0,0,0,1531.89,656.52,0,0,0
19,"Industri Barang dari Karet dan Plastik, besi dan baja",41465.13,0,0,0,0,0,13675.15,0,0,0,307.776,27482.204,0,0,0
20,"Industri kertas dan barang dari kertas, mesin dan peralatan",109493971.5,291230.31,0,0,0,0,0,0,0,0,1133.44,109201607.8,0,0,0
21,Industri pupuk dan bahan kimia,117.34,1.95,0,0,0,0,0,0,0,0,80.77,34.62,0,0,0
22,"Industri semen, dan barang galian bukan logam",1947.456,32.32,0,0,0,0,0,0,0,0,1340.5952,574.5408,0,0,0
23,Industri Lainnya,119.622,1.99,0,0,0,0,0,0,0,0,82.3424,35.2896,0,0,0
24,"Listrik, Gas dan Air Bersih",4677.24,0,0.02,3376.39,0,0,0.03,0,0,0,910.56,390.24,0,0,0
25,Konstruksi,13128.846,217.87,0,0,0,0,0,0,0,0,9037.6832,3873.2928,0,0,0
26,Perdagangan Besar dan Eceran,3321.68,55.12,0,0,0,0,0,0,0,0,2286.592,979.968,0,0,0
27,"Transportasi ,sungai,  dan penyeberangan",64429.6,97.98,0,0,0,0,7.02,0,0,30488.57,23678.18,10157.85,0,0,0
28,Penyediaan Akomodasi dan Makan Minum,3518.74,27.17,0,4.69,0,10.78,11.24,0,0,0,2425.4,1039.46,0,0,0
29,Informasi dan Komunikasi,798.9194,8.59,0,0,0,0,0,395.1647,0,0,276.6948,118.4699,0,0,0
30,Jasa Keuangan dan Asuransi,2634.79,21.86,0,4.05,0,8.91,9.31,0,0,0,1813.46,777.2,0,0,0
31,Real Estate dan Jasa Perusahaan,1436.19,0,0,0,0,0,23.83,0,0,0,988.65,423.71,0,0,0
32,Jasa Administrasi Pemerintahan,13919.234,115.48,0,21.38,0,47.05,49.18,0,0,0,9580.3008,4105.8432,0,0,0
33,Jasa Pendidikan,1952.444881,16.20049913,0,3.00077427,0,6.596794152,6.897485235,0,0,0,1343.82453,575.9247984,0,0,0
34,Jasa Kesehatan dan Kegiatan Sosial,1229.219119,10.19950087,0,1.88922573,0,4.153205848,4.342514765,0,0,0,846.0442703,362.5904016,0,0,0
35,"Jasa lainnya, rekreasi & kebudayaan",2463.192,6.89,0,1.15,0,2.68,2.68,0,0,0,1714.8544,734.9376,0,0,0
36,Kegiatan lainnya,25.326,0.21,0,0.04,0,0.09,0.09,0,0,0,17.4272,7.4688,0,0,0
