"","V1","V2"
"1","Padi","Pertanian kehutanan dan perikanan"
"2","Tanaman bahan makanan lainnya","Pertanian kehutanan dan perikanan"
"3","Tanaman pertanian lainnya","Pertanian kehutanan dan perikanan"
"4","Peternakan dan hasil-hasilnya","Pertanian kehutanan dan perikanan"
"5","Kehutanan","Pertanian kehutanan dan perikanan"
"6","Perikanan","Pertanian kehutanan dan perikanan"
"7","Pertambangan dan penggalian","Pertambangan dan penggalian"
"8","Industri makanan minuman dan tembakau","Industri pengolahan"
"9","Industri lainnya","Industri pengolahan"
"10","Pengilangan minyak bumi","Pertambangan dan penggalian"
"11","Listrik gas dan air minum","Pengadaan listrik dan gas"
"12","Bangunan","Konstruksi"
"13","Perdagangan","Perdagangan besar dan eceran reparasi mobil dan sepeda motor"
"14","Hotel dan restoran","Penyediaan akomodasi dan makan minum"
"15","Pengangkutan dan komunikasi","Transportasi dan pergudangan"
"16","Lembaga keuangan usaha bangunan dan jasa perusahaan","Jasa perusahaan"
"17","Pemerintahan umum dan petahanan","Administrasi pemerintahan pertahanan dan jaminan sosial wajib"
"18","Jasa-jasa","Jasa lainnya"
"19","Kegiatan yang tak jelas batasannya","Jasa lainnya"
