value,LEGEND,2011_ha,2012_ha,2013_ha,2014_ha,2015_ha,2016_ha,2017_ha,2018_ha,2019_ha,2020_ha,2021_ha,2022_ha,2023_ha,2024_ha,2025_ha,2026_ha,2027_ha,2028_ha,2029_ha,2030_ha
1,Hutan Lahan Kering Primer,636635,636006,631731,626654,625537,598747,580931,573055,565267,557625,550162,543180,536942,530817,524799,518889,513104,507489,502133,496874
2,Hutan Lahan Kering Sekunder,434729,409416,328881,311785,305640,291515,289816,276145,264863,259069,255597,252170,249438,248859,248302,248051,248085,248040,248018,247974
3,Hutan Rawa Primer,187929,183894,179269,178991,168950,132900,132451,127151,122230,117642,113351,109339,105567,102501,99618,96828,94396,93038,91731,90608
4,Hutan Rawa Sekunder,49469,46680,42747,41602,39654,62726,46117,45771,45465,45194,45394,45879,46154,45879,45521,45231,45043,44953,44884,44847
5,Hutan Mangrove Primer,991,991,991,991,882,875,805,799,793,788,783,778,773,768,763,758,753,748,743,738
6,Hutan Mangrove Sekunder,4048,4048,4001,4001,4131,4293,4095,4076,4050,4023,4001,3980,3961,3941,3923,3903,3879,3855,3832,3806
7,Hutan Tanaman,204236,171016,173177,206408,206444,235899,240037,230718,225396,222052,218596,215137,212433,210387,208979,207645,206680,205743,204925,204147
8,Semak/Belukar,151871,153689,153422,166351,168790,958150,445750,531224,607959,670939,722886,765726,796100,804866,809941,809914,815503,819043,824076,827230
9,Belukar Rawa,260875,261968,262427,256920,224202,215420,208972,202689,197751,194519,192607,191219,190716,190496,190548,190610,190878,190964,190928,190363
10,Savana/Padang Rumput,94,94,94,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
11,Perkebunan,446486,447394,445626,653390,663086,948631,971225,1007703,1040861,1070884,1097685,1122007,1143675,1163790,1181062,1190068,1194655,1198650,1201029,1200574
12,Pertanian Lahan Kering,337891,337994,337861,146125,145263,97985,98692,94583,92164,90783,89948,89588,90231,90951,91292,91514,91818,92180,92504,92885
13,Pertanian Lahan Kering + Semak,1831254,1834495,1840308,1843183,1865777,883844,1433560,1334380,1244380,1168518,1103924,1047491,1004041,982598,966829,963270,957870,954525,950925,951778
14,Transmigrasi,21832,21832,21832,21832,21832,21839,21839,21841,21844,21848,21852,21857,21863,21869,21875,21881,21887,21893,21899,21905
15,Sawah,17362,17362,17362,18367,17156,16925,16925,16980,17132,17320,17519,17716,17886,18039,18199,18369,18548,18730,18912,19102
16,Tambak,967,967,967,967,205,200,200,197,197,197,197,197,197,197,197,197,197,197,197,197
17,Tanah Terbuka,177589,238747,325589,296223,312545,255715,233977,252570,264304,268424,270807,274781,276915,276573,275950,275732,274746,273304,272016,271260
18,Pertambangan,5912,6122,6470,6465,7431,14521,14568,15602,16548,17457,18351,19200,20005,20777,21517,22250,22969,23671,24357,25032
19,Permukiman,56930,57016,57016,50312,53192,90984,91209,95745,100083,104062,107740,111210,114612,118254,122299,126555,130704,134742,138703,142538
20,Tubuh Air,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564,43564
21,Rawa,16671,16671,16631,15743,15593,15141,15141,15081,15023,14966,14910,14855,14801,14748,14696,14645,14595,14545,14498,14452
22,Pelabuhan Udara/Laut,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
23,Awan,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
