ID_SKT;name_SKT;Ec_TOT;HCOAL;BCOAL;DIESEL;GASOLINE;JETFUEL;LFO;HFO;OTHPETRO;NATGAS
1;Padi;330.7878087;0;0;58.04333242;126.2103641;0;146.5340657;0;0;0
2;Tanaman Bahan Makanan Lainnya;620.0346609;0;0;108.7974737;236.5709928;0;274.6661072;0;0;0
3;Kelapa Sawit;2310.134718;0;0;405.3593084;881.4198595;0;1023.355225;0;0;0
4;Tanaman Perkebunan Lainnya;492.2825427;0;0;86.38081125;187.827838;0;218.0738242;0;0;0
5;Peternakan;510.9459435;0;0;89.65567794;194.9487613;0;226.3414325;0;0;0
6;Kayu;1899.795435;0;0;333.3570797;724.8570449;0;841.5810429;0;0;0
7;Hasil Hutan Lainnya;202.2259758;0;0;35.48458929;77.15826691;0;89.58309117;0;0;0
8;Perikanan;1633.295415;0;0;286.5943248;623.1753514;0;723.5255088;0;0;0
9;Pertambangan minyak dan gas bumi;59130.58981;34094.18573;4.068006385;124.3678172;270.4209913;0;4854.380847;236.0724965;65.16284243;19481.92815
10;Batubara;106725.9825;61537.27677;7.342425971;224.4739573;488.0882482;0;8761.768944;426.0919638;117.6137158;35163.32122
11;Penggalian;9492.830267;5473.483679;0.653078115;19.96602069;43.41341055;0;779.3227428;37.89910006;10.46124865;3127.630518
12;Industri Migas;37140.93729;704.5276726;0;54.12578469;117.6487716;0;568.29449;14245.42354;7982.792015;13468.13318
13;Industri makanan, minuman dan tembakau;2898.982506;916.7812652;0.611534973;48.11668357;104.6234417;0;603.8120277;70.77127462;191.0954134;963.1722156
14;Industri tekstil, barang kulit dan alas kaki;154.5901749;39.4588905;0.026284128;2.149052191;4.672931287;0;33.93201551;2.118299071;0.464860907;71.76784133
15;Industri kayu dan hasil hutan lainnya;5235.849905;8.282003426;1.671400433;290.0951161;630.7715235;0;625.1894746;28.40309325;92.09844948;3559.332934
16;Industri kertas dan barang cetakan;3340.123956;1011.800873;0.685594845;24.68533212;53.67619987;0;321.6536777;14.61296442;47.38439803;1865.621105
17;Industri pupuk, kimia dan barang dari karet;4532.480765;964.9160619;0.642744296;60.11749774;130.7203879;0;923.4418587;302.6326468;308.7708062;1841.238761
18;Industri semen, barang lain bukan logam;2746.14731;1604.050149;10.46622956;10.68813203;23.24044936;0;311.2759952;99.89292629;65.49906553;621.0354865
19;Industri logam dasar, besi dan baja;0;0;0;0;0;0;0;0;0;0
20;Industri alat angkutan, mesin dan peralatan;341.9026282;22.22136675;0.014801968;2.466097131;5.362318557;0;15.22310819;0.711788337;8.896530165;287.0066171
21;Industri barang lainnya;129.0067883;5.124243536;0.003404813;2.894516635;6.293796794;0;5.932461017;0.269405827;5.920969773;102.567863
22;Listrik Gas dan Air Bersih;5854.689775;1955.187319;0;0.901720768;1.960173111;0;1003.534586;475.7235241;15.9039355;2401.478628
23;Konstruksi;10550.52227;0;0;306.1008692;665.5844611;0;878.424732;320.6686225;8144.383036;235.3609384
24;Perdagangan;2329.962462;0;0;515.419676;1120.736267;0;353.1098621;81.73385861;217.1111295;41.8516689
25;Hotel dan Restoran;548.1702532;0;0;112.822517;245.3227357;0;97.63174007;22.5991381;60.02885235;9.765252089
26;Angkutan darat;3128.763921;0;0;3123.846422;0;0;0;0;0;4.917519776
27;Angkutan  laut,sungai,  dan penyeberangan;11593.64948;0;0;0;0;0;9861.740896;1727.64372;4.26502825;0
28;Angkutan udara;354.5285551;0;0;0;0;354.5233042;0;0;0;0
29;Jasa penunjang angkutan dan pergudangan;3711.250104;0;0;3678.603786;0;0;12.98944049;3.009748406;7.992394092;8.669227466
30;komunikasi;343.4576448;0;0;312.3419805;0;0;14.60977677;3.381016794;8.983007979;4.140112504
31;Bank dan lembaga keuangan lainnya;90.00322482;0;0;21.44384169;46.62741567;0;11.11892866;2.574453382;6.837206191;1.403754581
32;Jasa persewaan dan Perusahaan;177.5389477;0;0;15.11462494;32.86546695;0;66.35821518;15.35984565;40.80063627;7.040158667
33;Pemerintahan dan pertahanan;662.7564521;0;0;125.2448011;272.3315618;0;138.6688976;32.09738079;85.26337283;9.153570748
34;Jasa sosial dan kemasyarakatan;135.314089;0;0;40.03588733;87.05463333;0;4.084133991;0.94534893;2.51114749;0.682937975
35;Jasa hiburan, rekreasi & kebudayaan;52.01174122;0;0;14.68264426;31.92644219;0;2.67357071;0.618293775;1.643488393;0.466775142
36;Jasa perorangan dan rumah tangga;201.1310784;0;0;53.56866897;116.4817801;0;13.8902904;3.215138266;8.540657565;5.435369857
37;Kegiatan yang tidak jelas batasannya;0;0;0;0;0;0;0;0;0;0
