ID,Sektor,Tenaga_Kerja
1,Padi,2029.105333
2,Tanaman Bahan Makanan Lainnya,4760.849038
3,Kelapa Sawit,25392.89894
4,Tanaman Perkebunan Lainnya,5477.964013
5,Peternakan,5384.69343
6,Kayu,15944.30118
7,Hasil Hutan Lainnya,1868.963159
8,Perikanan,12980.22893
9,Pertambangan minyak dan gas bumi,123568.7991
10,Batubara,298780.4015
11,Penggalian,28233.91417
12,Industri Migas,102513.8183
13,"Industri makanan, minuman dan tembakau",8684.456872
14,"Industri tekstil, barang kulit dan alas kaki",132.2670408
15,Industri kayu dan hasil hutan lainnya,9181.689031
16,Industri kertas dan barang cetakan,3925.60684
17,"Industri pupuk, kimia dan barang dari karet",10858.9871
18,"Industri semen, barang lain bukan logam",593.2182111
19,"Industri logam dasar, besi dan baja",0
20,"Industri alat angkutan, mesin dan peralatan",1048.531762
21,Industri barang lainnya,303.5193682
22,Listrik Gas dan Air Bersih,362.8047941
23,Konstruksi,56037.97077
24,Perdagangan,446199.3225
25,Hotel dan Restoran,31645.69788
26,Angkutan darat,26460.54912
27,"Angkutan  laut, sungai,  dan penyeberangan",37386.89986
28,Angkutan udara,34593.46241
29,Jasa penunjang angkutan dan pergudangan,44670.30103
30,komunikasi,27687.01343
31,Bank dan lembaga keuangan lainnya,35734.54731
32,Jasa persewaan dan Perusahaan,23252.00488
33,Pemerintahan dan pertahanan,7955
34,Jasa sosial dan kemasyarakatan,16223.23022
35,"Jasa hiburan, rekreasi & kebudayaan",2023.704275
36,Jasa perorangan dan rumah tangga,31031.00868
37,Kegiatan yang tidak jelas batasannya,0
