Padi,Direct land-based
Tanaman Bahan Makanan lainnya,Direct land-based
Karet,Direct land-based
Kelapa Sawit,Direct land-based
Kopi,Direct land-based
Tanaman Pekebunan Lainnya,Direct land-based
Peternakan dan hasil-hasilnya,Direct land-based
Kayu,Direct land-based
Hasil hutan lainnya,Direct land-based
Perikanan,Direct land-based
Pertambangan Migas,Direct land-based
Pertambangan non-Migas,Direct land-based
Penggalian,Direct land-based
Pengilangan minyak bumi,Direct land-based
"Industri penggilingan padi, biji-bijian",Indirect land-based
Industri Kelapa Sawit,Indirect land-based
"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",Indirect land-based
"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",Indirect land-based
"Industri Barang dari Karet dan Plastik, besi dan baja",Indirect land-based
"Industri kertas dan barang dari kertas, mesin dan peralatan",Indirect land-based
Industri pupuk dan bahan kimia,Indirect land-based
"Industri semen, dan barang galian bukan logam",Indirect land-based
Industri Lainnya,Indirect land-based
"Listrik, Gas dan Air Bersih",Non land-based
Konstruksi,Non land-based
Perdagangan Besar dan Eceran,Non land-based
"Transportasi ,sungai,  dan penyeberangan",Non land-based
Penyediaan Akomodasi dan Makan Minum,Non land-based
Informasi dan Komunikasi,Non land-based
Jasa Keuangan dan Asuransi,Non land-based
Real Estate dan Jasa Perusahaan,Non land-based
Jasa Administrasi Pemerintahan,Non land-based
Jasa Pendidikan,Non land-based
Jasa Kesehatan dan Kegiatan Sosial,Non land-based
"Jasa lainnya, rekreasi & kebudayaan",Non land-based
Kegiatan lainnya,Non land-based
