ID,Sektor,Waste_total,Waste1,Waste2,Waste3,Waste4
1,Padi,8372367.097,0,0,2637451.983,5734915.114
2,Tanaman Bahan Makanan lainnya,19631089.4,0,0,6184159.757,13446929.64
3,Karet,10504331.86,0,0,3309060.698,7195271.166
4,Kelapa Sawit,3036895.632,0,0,956678.8357,2080216.796
5,Kopi,9540315.44,0,0,3005377.522,6534937.918
6,Tanaman Pekebunan Lainnya,28638247.76,0,0,9021582.842,19616664.92
7,Peternakan dan hasil-hasilnya,6429435.207,0,0,2025392.155,4404043.052
8,Kayu,3842756.198,0,0,1210539.963,2632216.235
9,Hasil hutan lainnya,1788183.58,0,0,563311.2205,1224872.359
10,Perikanan,4303310.011,0,0,1355623.015,2947686.996
11,Pertambangan Migas,117553018.4,116193699.9,13877.61017,423839.004,921601.8812
12,Pertambangan non-Migas,44837134.01,44318662.04,5293.205361,161660.8956,351517.8737
13,Penggalian,13339324.42,13185075.8,1574.761301,48095.11532,104578.7394
14,Pengilangan minyak bumi,14050651.68,13888177.67,1658.736367,50659.81543,110155.4618
15,"Industri penggilingan padi, biji-bijian",4537506.289,3887279.872,2589.372344,204017.7631,443619.2812
16,Industri Kelapa Sawit,3311299.85,2836789.293,1889.625647,148884.4192,323736.5121
17,"Industri Makanan dan Minuman Lainnya, kimia dan barang dari karet",3842377.549,3291763.351,2192.69033,172763.0162,375658.4912
18,"Industri Barang dari Kayu dan Hasil hutan lainnya, barang lain bukan logam",1117812.892,9949.847924,2012.126298,348363.6901,757487.2279
19,"Industri Barang dari Karet dan Plastik, besi dan baja",2440453.308,233352.6352,155.439505,695228.9614,1511716.272
20,"Industri kertas dan barang dari kertas, mesin dan peralatan",3737400.001,3466570.241,2349.010506,84576.44977,183904.2997
21,Industri pupuk dan bahan kimia,124335.6014,119046.297,79.29842962,1641.24917,3568.756789
22,"Industri semen, dan barang galian bukan logam",13894757.43,13520558.64,88220.23538,90088.58529,195889.9699
23,Industri Lainnya,202619.8912,72524.12638,48.30935085,40967.377,89080.07842
24,"Listrik, Gas dan Air Bersih",19869626.45,19840585.7,0,9148.37846,19892.37121
25,Konstruksi,2912085.429,0,0,917361.291,1994724.138
26,Perdagangan Besar dan Eceran,22082269.88,0,0,6956327.384,15125942.5
27,"Transportasi ,sungai,  dan penyeberangan",0,0,0,0,0
28,Penyediaan Akomodasi dan Makan Minum,2772948.254,0,0,873530.4829,1899417.771
29,Informasi dan Komunikasi,5745259.479,0,0,5745259.479,0
30,Jasa Keuangan dan Asuransi,851840.014,0,0,268345.5118,583494.5022
31,Real Estate dan Jasa Perusahaan,609949.7353,0,0,192145.557,417804.1783
32,Jasa Administrasi Pemerintahan,3880105.107,0,0,1222305.567,2657799.54
33,Jasa Pendidikan,7558787.208,0,0,2381159.125,5177628.083
34,Jasa Kesehatan dan Kegiatan Sosial,2920297.556,0,0,919948.2649,2000349.291
35,"Jasa lainnya, rekreasi & kebudayaan",1047991.606,0,0,330136.9262,717854.6793
36,Kegiatan lainnya,0,0,0,0,0
