ID,Tutupan_lahan,Karbon
1,Hutan lahan kering primer,134.71
2,Hutan lahan kering sekunder / bekas tebangan,101.63
3,Hutan rawa primer,137.77
4,Hutan rawa sekunder,85.27
5,Hutan mangrove primer,162
6,Hutan mangrove sekunder,116
7,Hutan tanaman,54.7
8,Perkebunan,63
9,Semak belukar,30
10,Semak belukar rawa,30
11,Savanna / Padang rumput,4
12,Pertanian lahan kering,10
13,Pertanian lahan kering  campur semak / kebun campur,30
14,Sawah,2
15,Tambak,0
16,Pemukiman,4
17,Transmigrasi,10
18,Lahan terbuka,2.5
19,Pertambangan,0
20,Tubuh air,1
21,Rawa,0
22,Awan,0
23,Bandara,0
