"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",62512255.124,65637867.8824,68919761.2752,72365749.3416,75984036.8056,79783238.6472,83772400.58,87961020.6112,92359071.64,96977025.2264,101825876.4864,106917170.3072,112263028.8296,117876180.268,123769989.2792,129958488.748
"2",24105662.6332,25310945.7644,26576493.054,27905317.7044,29300583.5956,30765612.774,32303893.4104,33919088.08,35615042.484,37395794.6036,39265584.3416,41228863.5596,43290306.7316,45454822.0668,47727563.1752,50113941.3312
"3",10146567.8538,10653896.2473,11186591.0544,11745920.6136,12333216.6378,12949877.4705,13597371.3501,14277239.9172,14991101.9082,15740657.0028,16527689.8578,17354074.3515,18221778.063,19132866.9702,20089510.3179,21093985.8342
"4",16972653.4032,17821286.0694,18712350.3732,19647967.8912,20630366.2884,21661884.6048,22744978.8324,23882227.776,25076339.1648,26330156.1204,27646663.9284,29028997.1268,30480446.9772,32004469.332,33604692.7986,35284927.4382
"5",2019625.9578,2120607.2484,2226637.6173,2337969.4929,2454867.972,2577611.3706,2706491.9367,2841816.5307,2983907.3625,3133102.7286,3289757.8626,3454245.7614,3626958.0438,3808305.9468,3998721.249,4198657.3074
"6",1239861.441,1301854.5152,1366947.2358,1435294.6006,1507059.3302,1582412.298,1661532.9086,1744609.5536,1831840.033,1923432.0368,2019603.6352,2120583.8204,2226613.014,2337943.6604,2454840.846,2577582.884
"7",14496762.648,15221600.777,15982680.815,16781814.86,17620905.603,18501950.8755,19427048.4265,20398400.844,21418320.8845,22489236.93,23613698.7765,24794383.72,26034102.906,27335808.0445,28702598.448,30137728.3755
"8",17471903.658,18345498.8409,19262773.7855,20225912.4766,21237208.0997,22299068.5014,23414021.9272,24584723.0221,25813959.1743,27104657.1363,28459889.9891,29882884.486,31377028.7103,32945880.1491,34593174.154,36322832.8617
"9",897555.3216,942433.0888,989554.7424,1039032.4784,1090984.104,1145533.312,1202809.9776,1262950.472,1326097.9984,1392402.9,1462023.0408,1535124.192,1611880.4016,1692474.4256,1777098.148,1865953.0512
"10",7798582.332,8188511.4504,8597937.024,9027833.8752,9479225.5704,9953186.8464,10450846.188,10973388.4992,11522057.9256,12098160.8208,12703068.8568,13338222.3,14005133.4168,14705390.088,15440659.596,16212692.5704
"11",25247907.9335,26510303.33,27835818.4965,29227609.4215,30688989.891,32223439.3845,33834611.356,35526341.9245,37302659.0195,39167791.971,41126181.5685,43182490.6485,45341615.179,47608695.939,49989130.7335,52488587.2735
"12",66126812.5224,69433153.1488,72904810.8068,76550051.3456,80377553.914,84396431.6076,88616253.1884,93047065.8488,97699419.1404,102584390.0984,107713609.6036,113099290.0828,118754254.5868,124691967.316,130926565.6832,137472893.9668
"13",3023929.8148,3175126.3052,3333882.6208,3500576.7532,3675605.5912,3859385.8728,4052355.1644,4254972.9216,4467721.5704,4691107.6496,4925663.028,5171946.1828,5430543.4916,5702070.6672,5987174.1992,6286532.9112
"14",91537037.658,96113889.54,100919584.0188,105965563.2192,111263841.3816,116827033.4496,122668385.1228,128801804.3784,135241894.5984,142003989.3276,149104188.792,156559398.2316,164387368.1448,172606736.5524,181237073.3784,190298927.0484
"15",8743527.7785,9180704.1645,9639739.3725,10121726.3445,10627812.6615,11159203.293,11717163.459,12303021.6315,12918172.7115,13564081.3455,14242285.413,14954399.685,15702119.667,16487225.6535,17311586.9355,18177166.2825
"16",6259905.3334,6572900.6005,6901545.6273,7246622.9106,7608954.0557,7989401.7587,8388871.8447,8808315.4393,9248731.2089,9711167.7687,10196726.1595,10706562.4664,11241890.5923,11803985.1217,12394184.378,13013893.5969
"17",15823751.5754,16614939.154,17445686.1134,18317970.4172,19233868.9384,20195562.386,21205340.5036,22265607.5298,23378887.9068,24547832.3018,25775223.9174,27063985.1114,28417184.3668,29838043.5882,31329945.7654,32896443.0552
"18",37410521.4112,39281047.4816,41245099.856,43307354.848,45472722.592,47746358.72,50133676.656,52640360.4896,55272378.5152,58035997.44,60937797.312,63984687.1776,67183921.536,70543117.6128,74070273.4944,77773787.168
"19",19652980.9059,20635629.9516,21667411.4481,22750782.0201,23888321.1207,25082737.1766,26336874.0357,27653717.7387,29036403.6255,30488223.8061,32012634.996,33613266.7458,35293930.0839,37058626.5885,38911557.9186,40857135.8148
"20",11710569.6341,12296098.1143,12910903.0198,13556448.1695,14234270.5769,14945984.1094,15693283.3153,16477947.4787,17301844.8507,18166937.0956,19075283.9521,20029048.1482,21030500.5569,22082025.5841,23186126.8618,24345433.2036
"21",18003554.1441,18903731.8496,19848918.4427,20841364.3653,21883432.5831,22977604.2121,24126484.4241,25332808.6436,26599449.0764,27929421.5296,29325892.6067,30792187.2375,32331796.5986,33948386.4276,35645805.7496,37428096.0377
"22",147910476.1242,155305999.9316,163071299.9292,171224864.9226,179786108.1706,188775413.5776,198214184.2592,208124893.4708,218531138.144,229457695.0512,240930579.8024,252977108.7932,265625964.2332,278907262.4452,292852625.5678,307495256.845
"23",61294263.2034,64358976.3632,67576925.1784,70955771.4388,74503560.01,78228738.0105,82140174.9138,86247183.6569,90559542.8403,95087519.9825,99841895.9807,104833990.7814,110075690.3201,115579474.8374,121358448.5789,127426371.0084
"24",128963168.3207,135411326.736,142181893.0728,149290987.7235,156755537.1109,164593313.9662,172822979.665,181464128.6507,190537335.0825,200064201.8354,210067411.9257,220570782.5237,231599321.6516,243179287.7332,255338252.1179,268105164.726
"25",3500235.0192,3675246.7688,3859009.1086,4051959.5642,4254557.5436,4467285.4184,4690649.69,4925182.1762,5171441.2828,5430013.3466,5701514.0158,5986589.7154,6285919.201,6600215.1602,6930225.9194,7276737.2152
"26",7185961.3728,7545259.44,7922522.4096,8318648.5296,8734580.9568,9171310.008,9629875.5072,10111369.2816,10616937.744,11147784.6336,11705173.8624,12290432.5584,12904954.1856,13550201.8944,14227711.992,14939097.5904
"27",2099043.2016,2203995.3618,2314195.1298,2429904.8862,2551400.1306,2678970.1371,2812918.644,2953564.5762,3101242.8051,3256304.9454,3419120.1927,3590076.2022,3769580.0124,3958059.0129,4155961.9635,4363760.0619
"28",10135010.652,10641761.184,11173849.242,11732541.702,12319168.788,12935127.228,13581883.59,14260977.768,14974026.66,15722727.99,16508864.388,17334307.608,18201022.992,19111074.138,20066627.844,21069959.238
"29",1179572.408,1238551.034,1300478.585,1365502.516,1433777.639,1505466.522,1580739.846,1659776.839,1742765.682,1829903.964,1921399.165,2017469.118,2118342.576,2224259.709,2335472.692,2452246.328
"30",136895767.715,143740556.099,150927583.905,158473963.102,166397661.255,174717544.3195,183453421.536,192626092.61,202257397.2405,212370267.1055,222988780.4585,234138219.483,245845130.4575,258137386.9795,271044256.329,284596469.143
"31",32487711.8852,34112097.4832,35817702.356,37608587.4704,39489016.848,41463467.6904,43536641.0756,45713473.1236,47999146.7808,50399104.1212,52919059.3276,55565012.2916,58343262.9072,61260426.0512,64323447.3592,67539619.7224
"32",197425308.5916,207296574.0198,217661402.7201,228544472.853,239971696.4991,251970281.3244,264568795.392,277797235.1616,291687096.9183,306271451.7618,321585024.3492,337664275.5708,354547489.3452,372274863.8166,390888607.0026,410433037.3548
"33",988185.0852,1037594.34,1089474.0552,1143947.7612,1201145.148,1261202.4036,1324262.5236,1390475.6496,1459999.4328,1532999.4048,1609649.3772,1690131.8448,1774638.4356,1863370.3572,1956538.8756,2054365.8192
"34",72471968.3574,76095566.7717,79900345.1136,83895362.3703,88090130.4855,92494637.0136,97119368.8602,101975337.3027,107074104.1686,112427809.3806,118049199.8481,123951659.8377,130149242.8329,136656704.9748,143489540.2215,150664017.2313
"35",210432.1725,220953.7803,232001.4675,243601.5417,255781.6206,268570.7013,281999.2362,296099.1957,310904.1573,326449.365,342771.8316,359910.4245,377905.9449,396801.2433,416641.3053,437473.3704
"36",1241.9685,1304.0685,1369.269,1437.732,1509.6195,1585.1025,1664.3565,1747.575,1834.9515,1926.702,2023.038,2124.189,2230.398,2341.917,2459.0115,2581.965
"37",8531529.426,8958105.898,9406011.195,9876311.753,10370127.341,10888633.707,11433065.392,12004718.663,12604954.5965,13235202.3265,13896962.443,14591810.5655,15321401.0915,16087471.148,16891844.704,17736436.9385
"38",3237337.5816,3399204.463,3569164.6876,3747622.9214,3935004.0666,4131754.2708,4338341.9826,4555259.0826,4783022.0376,5022173.136,5273281.7986,5536945.8836,5813793.1772,6104482.8378,6409706.9794,6730192.3304
"39",6292654.482,6607287.204,6937651.566,7284534.144,7648760.85,8031198.894,8432758.836,8854396.776,9297116.616,9761972.448,10250071.068,10762574.622,11300703.354,11865738.522,12459025.446,13081976.718
"40",32152588.72,33760218.156,35448229.0638,37220640.5165,39081672.5411,41035756.1684,43087543.9778,45241921.1762,47504017.2355,49879218.0985,52373179.0022,54991837.9528,57741429.8475,60628501.3411,63659926.4084,66842922.7298
