"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",62512255.1311693,65674699.8450231,68950471.6231562,72398540.1198905,76019116.0170251,79820849.4132521,83812938.4513339,88006344.6870893,92407937.4995349,97029787.0410176,101882923.870881,106978090.932439,112329975.861721,117948831.398155,123848914.902208,130044316.314712
"2",24105662.6332469,25321624.0645854,26585396.5755478,27914824.3743146,29310753.7350735,30776516.852631,32315646.1191571,33932228.4008968,35629209.6360433,37411091.2734846,39282123.4671724,41246525.6071805,43309715.9665937,45475885.0292996,47750445.2263888,50138824.3941574
"3",10146567.8533831,10657512.0604941,11189605.9092874,11749139.699463,12336660.3872538,12953569.7428088,13601350.9723814,14281689.4038588,14995899.101882,15745836.6640716,16533290.2285998,17360054.9609939,18228350.2935913,19139999.1728921,20097258.4885834,21102411.5695468
"4",16972653.401573,17825492.156789,18715857.3904597,19651712.4850298,20634372.2107038,21666179.6214202,22749608.1192129,23887403.6253262,25081919.4735745,26336181.3430715,27653178.5455892,29035954.0519438,30488092.0984636,32012765.8361247,33613705.8320074,35294728.6504632
"5",2019625.9541275,2122209.3412493,2227973.43014666,2339395.80340275,2456393.81940447,2579247.33326209,2708255.22275213,2843788.00609533,2986032.89081773,3135397.72266615,3292239.26941239,3456895.63749088,3629870.05809471,3811466.07268719,4002154.29335698,4202390.5712713
"6",1239861.44071005,1379516.58115458,1431701.55549131,1504435.58118705,1581025.64098011,1661716.4960746,1747009.04497772,1840177.63602022,1934876.15334648,2034682.99989273,2139890.93441395,2249037.99897994,2367774.21898102,2491132.22187228,2621259.49467876,2758554.6321361
"7",14496762.6450497,15229614.0719829,15989362.2739652,16788948.9338239,17628537.5644587,18510133.6138258,19435867.9931803,20408261.7115306,21428952.3190881,22500715.9852452,23626110.2196463,24807637.8299285,26048668.14919,27351614.2937421,28719769.8015568,30156401.3369014
"8",17471903.6591094,18360868.263942,19275588.7521153,20239595.5661649,21251846.1221908,22314762.9049478,23430937.764467,24603636.0684237,25834350.1564125,27126673.8426062,28483695.0030069,29908305.7401206,31404964.6995995,32976196.3638533,34626108.6228756,36358647.4055188
"9",897555.322725929,944395.528226866,991191.017279222,1040779.60086935,1092853.15600066,1147537.24400812,1204969.86782738,1265365.37947622,1328701.61278755,1395214.09317721,1465062.57678772,1538370.09747326,1615447.40064172,1696345.33936944,1781303.37126905,1870526.01998604
"10",7798582.33417398,8194105.36056437,8602601.20346727,9032814.02048066,9484553.2773722,9958899.03697316,10457002.9370988,10980272.1573238,11529479.4970797,12106174.0993814,12711733.0174318,13347474.7115852,14015301.0993244,14716424.0860184,15452646.5389139,16225727.7611381
"11",25247907.9327154,26670028.3995657,27968996.6109557,29369809.4450503,30841114.0142066,32386541.7753331,34010407.3614184,35722893.7081912,37514570.078097,39396598.2362122,41373572.5667614,43446678.2124163,45631936.8787966,47923753.9050991,50331398.6003157,52860786.0197209
"12",66126812.527268,69467672.216631,72933592.6676556,76580783.0121126,80410430.2912694,84431680.5701035,88654245.4581407,93089543.7798614,97745216.4391866,102633838.69109,107767074.649832,113156385.158911,118816997.641498,124760056.261804,131000535.10785,137553331.934737
"13",3023929.81664687,3176495.73642529,3335024.44687485,3501795.92847607,3676909.85208134,3860784.2561015,4053862.38035003,4256658.09164932,4469538.42288259,4693069.35481721,4927784.07634917,5174211.23599394,5433032.61016563,5704771.86562643,5990108.68738387,6289724.0142771
