"","V1","V2"
"1","y2015","-5519169.0626"
"2","y2016","3093236.68624627"
"3","y2017","3333747.29478366"
"4","y2018","3548897.0011602"
"5","y2019","3746876.76724547"
"6","y2020","3933802.51613533"
"7","y2021","4114437.24597096"
"8","y2022","4292643.33218343"
"9","y2023","4471756.82627356"
"10","y2024","4654803.70851035"
"11","y2025","4844687.78547392"
"12","y2026","5044393.55181287"
"13","y2027","5257108.50594207"
"14","y2028","5486383.94248521"
"15","y2029","5736340.83549874"
"16","y2030","6011825.0671703"
