"","V1","V2"
"1","y2015","1527207863.84463"
"2","y2016","1619821636.40289"
"3","y2017","1697298671.61753"
"4","y2018","1782404060.90279"
"5","y2019","1871810622.29995"
"6","y2020","1965744288.82799"
"7","y2021","2064493333.99561"
"8","y2022","2168935640.37259"
"9","y2023","2277945318.31299"
"10","y2024","2392483627.32357"
"11","y2025","2512834814.04387"
"12","y2026","2638927041.03634"
"13","y2027","2772188596.72093"
"14","y2028","2911838016.60821"
"15","y2029","3058595764.45807"
"16","y2030","3212829840.60639"
