Land Cover,t1_2015
Hutan lahan kering primer,13910
Hutan lahan kering sekunder / bekas tebangan,166914
Hutan rawa primer,0
Hutan rawa sekunder,0
Hutan mangrove primer,0
Hutan mangrove sekunder,1126
Hutan tanaman,463449
Perkebunan,171552
Semak belukar,3472
Semak belukar rawa,0
Savanna / Padang rumput,0
Pertanian lahan kering,880200
Pertanian lahan kering  campur semak / kebun campur,741849
Sawah,872027
Tambak,71220
Pemukiman,311244
Transmigrasi,0
Lahan terbuka,11527
Pertambangan,1663
Tubuh air,30486
Rawa,21
Awan,0
Bandara,421
