"","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan",1678171.2964564,1762079.86133828,1850183.85436976,1942693.04715912,2039827.69943439,2141819.08444154,2248910.03867543,2361355.54066826,2479423.31765443,2603394.48365527,2733564.2078026,2870242.41809823,3013754.53919213,3164442.26606906,3322664.37931345,3488797.59840905
"Tanaman Hortikultura",519055.6801981,545008.4641981,572258.88743772,600871.831760081,630915.42347685,662461.194620978,695584.254302502,730363.466997817,766881.640347708,805225.722266043,845487.00854773,887761.358994926,932149.426815908,978756.898126989,1027694.74314229,1079079.48023998
"Perkebunan",128663.999794575,135097.199794575,141852.059717541,148944.662785588,156391.895842698,164211.490645104,172422.065254393,181043.168511977,190095.326875949,199600.093209475,209580.097931576,220059.102838426,231062.057903313,242615.160849835,254745.918882055,267483.214831294
"Peternakan",3112.44000242061,3268.06200181546,3431.46510196675,3603.03835694405,3783.19027527538,3972.34978940224,4170.96727838823,4379.51564267073,4598.49142480427,4828.41599556036,5069.83679570147,5323.32863584964,5589.49506655284,5868.96982096976,6162.41831201825,6470.53922755865
"Jasa Pertanian dan Perburuan ",148636.444769022,156068.266470959,163871.680271409,172065.263897496,180668.527420241,189701.953791253,199187.051301978,209146.403658432,219603.724228836,230583.910291246,242113.10562697,254218.761325608,266929.698974599,280276.183982942,294289.993539766,309004.49291869
"Kehutanan dan Penebangan Kayu",271202.630594342,284762.762594342,299000.89959538,313950.945233545,329648.492401166,346130.917303394,363437.462227998,381609.335245341,400689.802383835,420724.292973309,441760.506869522,463848.532965451,487040.960178063,511393.0072464,536962.65817306,563810.790141147
"Perikanan",47019.1399448618,49370.0969310773,51838.6017748742,54430.5318774025,57152.0584712726,60009.661370024,63010.144461959,66160.6516726508,69468.6842507696,72942.1184674434,76589.2243908156,80418.6856255193,84439.6199067953,88661.6008800798,93094.6809282192,97749.4149911716
"Pertambangan Minyak Gas dan Panas Bumi",465.639999999999,488.921999999999,513.368100068092,539.036505120134,565.988330356686,594.287746786972,624.002134145776,655.202240814155,687.962352884045,722.360470615795,758.478494039582,796.402418673468,836.222539607142,878.033666675047,921.935349940706,968.032117437741
"Pertambangan Bijih Logam",332.600012450888,349.230013488462,366.691513851613,385.026089129164,404.277394208166,424.491264956148,445.715828203956,468.001617954035,491.401699889311,515.971785506321,541.770373225276,568.858891575268,597.301836154031,627.166929414336,658.525276300082,691.451538558726
"Pertambangan dan Penggalian Lainnya",631.940002917176,663.537003208894,696.713853456854,731.549546129696,768.127023552868,806.533374526309,846.860043194281,889.203045499854,933.663197891534,980.346357698595,1029.36367517512,1080.83185896305,1134.87345205706,1191.61712468908,1251.19798121526,1313.75787983844
"Industri Batubara dan Pengilangan Migas",232.820000032275,244.461000032275,256.684050033889,269.518252537197,282.994165149533,297.143873397327,312.001067088172,327.601120449036,343.981176460191,361.180235288042,379.239247042762,398.201209409424,418.111269862144,439.016833364933,460.967675010588,484.016058791778
"Industri Makanan dan Minuman",21787.0799889297,22876.4339884684,24020.2556880763,25221.2684719728,26482.3318959404,27806.4484900455,29196.7709146862,30656.6094607434,32189.4399335038,33798.9119305019,35488.8575271192,37263.3004031523,39126.4654232638,41082.7886943808,43136.9281295612,45293.7745358547
