Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
,,0,0,0,0,,,,0,,,,,0,,,,,0,0,0,0
0,,0,0,0,0,,,,0,,,,,0,,,,,0,0,0,0
0,0,,0,0,0,0,,0,,,,,,0,,,,,0,0,0,0
0,0,0,,0,0,0,,0,,,,,,0,,,,,0,0,0,0
0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0
0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0
0,0,0,0,0,0,,,,0,0,0,0,0,0,,0,,,0,0,0,0
0,0,0,0,0,0,,,,0,0,,,,0,,0,,,0,0,0,0
0,0,0,0,0,0,,,,0,,,,,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,0,,,0,0
0,0,0,0,0,0,0,0,,0,,,,,0,,,,,0,0,0,0
0,0,0,0,0,0,,,,0,,,,,0,,,,,0,0,0,0
0,0,0,0,0,0,,,,0,,,,,0,,,,,0,0,0,0
0,0,0,0,0,0,0,,,0,0,,,,0,,,,0,0,0,0,0
0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,0,0
0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,
0,0,0,0,0,0,0,,0,0,0,,,,0,,,,0,0,0,0,0
0,0,0,0,0,0,0,,,,0,,,,0,,,,,0,0,0,
0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
