,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
Padi,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,1,0,0,0,0,0,0,0.1,0,0
Tanaman Bahan Makanan Lainnya,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Sayur-Sayuran,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Buah-Buahan,0,0,0,0,0,0,0.113358029,0.001985811,0.1,0,0,0,0.7,0,0,0,0.1,0,0,0,0,0,0
Tanaman Hortikultura Lainnya,0,0,0,0,0,0,0.141478104,0,0,0.1,0.1,0.6,0,0,0,0,0.1,0,0,0,0,0,0
Kelapa Sawit,0,0,0,0,0,0,0,0.865668593,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Lada,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Karet,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Tanaman Perkebunan Lainnya,0,0,0,0,0,0,0.031619361,0.132345597,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0
Ternak dan Hasil-Hasilnya,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0
Unggas dan Hasil-Hasilnya serta Pemeliharaan Hewan Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
Jasa Pertanian,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Hasil Kehutanan dan Penebangan Kayu,1,1,1,1,1,1,0,0,0.9,0.8,0.7,0,0,0,0,0,0,0,0,0,0.9,1,0
Ikan dan Hasil Perikanan Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Migas (tambang),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
Bijih Timah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
Hasil Tambang dan Galian Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0,0,0,0
Produk industri Pengilangan Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
