,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
Padi,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0.1,0,0
Jagung,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Ketela Pohon,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Ketela Rambat,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kacang Tanah,0,0,0,0,0,0,0,0.052581878,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kacang Kedelai,0,0,0,0,0,0,0,0.003625954,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kentang,0,0,0,0,0,0,0,0.15,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Sayur-sayuran,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Buah-buahan,0,0,0,0,0,0,0,0.167611687,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0
Tanaman bahan makanan lainnya,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0
Karet,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kopi,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kelapa Sawit,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelapa Dalam,0,0,0,0,0,0,0,0.02618048,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kayu Manis,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Tanaman perkebunan lainnya,0,0,0,0,0,0,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ternak besar dan hasil-hasilnya,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Ternak kecil dan hasil-hasilnya,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0
Ayam buras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ayam Ras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0
Unggas lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0
Telur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0
Kayu Bulat,0.127362944,0.141232654,0.1,0.2,0.1,0.2,0.2,0,1,0.9,0.7,0,0,0,0,0,0,0,0,0,0.2,0,0
Hasil hutan lainnya,0.1,0.2,0.1,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
Perikanan laut lainnya,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perairan Umum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Budidaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
