,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
Tanaman Pangan ,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.6,1,0,0,0.2,0,0,0,0.1,0,0
Tanaman Hortikultura ,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.8,0.2,0,0,0,0.2,0,0,0,0,0,0
Perkebunan ,0,0,0,0,0,0,0,0.9,0.1,0.1,0.1,0,0.1,0,0,0,0.2,0,0,0,0,0,0
Peternakan ,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0
"Jasa Pertanian, dan Perburuan  ",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
Kehutanan dan Penebangan Kayu,1,1,1,1,1,1,0.794505644,0,0.6,0.6,0.6,0,0,0,0,0,0.1,0,0,0,0.9,1,0
Perikanan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,1,0,0,0
Pertambangan Minyak & Gas Bumi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0
Pertambangan Batubara dan Lignit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0
Pertambangan Bijih Logam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
Pertambangan dan Penggalian Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
Industri Batubara dan Pengilangan Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Makanan dan Minuman ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Pengolahan Tembakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Tekstil dan Pakaian Jadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Kulit, Barang dari Kulit dan Alas Kaki ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",0,0,0,0,0,0,0.205494356,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Kimia, Farmasi dan Obat Tradisional",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Karet, Barang dari Karet dan Plastik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Barang Galian bukan Logam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Logam Dasar ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Mesin dan Perlengkapan YTDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Alat Angkutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Industri Furnitur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Ketenagalistrikan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
 Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Pengadaan Air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Konstruksi Gedung ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0.2
Konstruksi Bangunan Sipil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
Konstruksi Khusus ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0
