,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
Padi,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,1,0,0,0,0,0,0,0.1,0,0
Jagung,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Ketela pohon,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Ubi jalar,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kacang tanah,0,0,0,0,0,0,0,0,0,,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kedelai,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kacang-kacangan lainnya,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Sayuran,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Buah-buahan,0,0,0,0,0,0,0,0.101517105,0.1,0.1,0,0.2,0.1,0,0,0,0.1,0,0,0,0,0,0
Tanaman Bahan Makanan Lainnya,0,0,0,0,0,0,0,0.084428403,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Karet,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
Kelapa,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kelapa sawit,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Hasil tanaman serat,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kopi,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Cengkeh,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Kakao,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Hasil perkebunan lainnya,0,0,0,0,0,0,0,0.314054491,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Ternak dan Hasil2nya,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.010638298,0,0,0,0,0,0,0
Susu segar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0
Unggas dan hasilnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0
Hasil pemeliharaan hewan lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0
Kayu,0.9,0.8,0.9,0.8,0.9,0.8,0,0,0.8,0.7,0.6,0,0,0,0,0.010638298,0,0,0,0,0.8,1,0
Hasil Hutan lainnya,0.1,0.2,0.1,0.2,0.1,0.2,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0.1,0,0
Ikan laut dan hasil laut lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0.5,0,0,0
Ikan darat dan hasil perikanan darat lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010638298,0,0,0,0.5,0,0,0
Udang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0,0,0,0,0,0
Batubara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010638298,0,0.3,0.3,0,0,0,0
