,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara
Padi,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,1,0,0,0,0,0,0,0.1,0,0
Jagung,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Umbi-umbian dan Pati,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Sayur-sayuran,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Buah-buahan,0,0,0,0,0,0,0.016609859,0.003100832,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0
Tanaman Bahan Makanan Lainnya,0,0,0,0,0,0,0.022821094,0.022821094,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0
Karet,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Coklat,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0.1,0,0,0,0,0,0
Kelapa,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Kelapa Sawit,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
Kopi,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Tanaman Perkebunan Lainnya,0,0,0,0,0,0,0.025408242,0.374078074,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
Ternak dan Hasilnya,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Unggas dan Peternakan Lainnya,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Kehutanan,1,1,1,1,1,1,0.2,0,0.9,0.8,0.6,0,0,0,0,0,0,0,0,0,0.9,1,0
Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,0
Penambangan Minyak dan Gas Bumi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
Penggalian dan Penambangan lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0
"Industri Pengolahan Daging, Sayur-sayuran dan Buahan-buhan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
Industri Minyak Makan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.018867925,0,0,0,0,0,0,0
"Industri Penggilingan Beras, Biji-bijian dan Tepung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
"Industri Makanan dari Tepung, Gula, Coklat dan Pengolahannya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
Industri Makanan lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
Industri Minuman dan Sirop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
Industri Rokok dan Tembakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
"Industri Pemintalan, Penenunan dan Perajutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
