2017,2019,2021,2023,2025,2027,2029
1964450,1964450,1964450,1964450,1964450,1964450,1964450
981767,981767,981767,981767,981767,981767,981767
10796,10746,10696,10656,10666,10696,10796
88263,88263,88263,88263,88263,88263,88193
0,50,100,140,130,100,70
26378,26378,26378,26378,26378,26378,26378
53937,53937,53937,53937,53937,53937,53937
588119,588119,588119,588119,588119,588119,588119
571920,571920,571920,571920,571920,571920,571920
89785,89785,89785,89785,89785,89785,89785
104439,104439,104439,104439,104439,104439,104439
156230,156230,156230,156230,156230,156230,156230
542586,542586,542586,542586,542586,542586,542586
241051,241051,241051,241051,241051,241051,241051
69814,69814,69814,69814,69814,69814,69814
141084,141084,141084,141084,141084,141084,141084
2232,2232,2232,2232,2232,2232,2232
31787,31787,31787,31787,31787,31787,31787
232,232,232,232,232,232,232
36222,36222,36222,36222,36222,36222,36222
1903,1903,1903,1903,1903,1903,1903
0,0,0,0,0,0,0
837,837,837,837,837,837,837
