2017,2021,2025,2029,2033
150872,150872,150872,150872,150872
304520,304520,304520,304520,304520
51563,51563,51563,51563,51563
944003,944003,944003,944003,944003
2989,2989,2989,2989,2989
167057,167057,167057,167057,167057
681773,681773,681773,681773,681773
3318293,3318293,3318293,3318293,3318393
33260,33260,33260,33260,33260
768172,768122,768022,768022,767922
0,0,0,0,0
185936,185936,186036,185936,185936
1361802,1361852,1361852,1361952,1361952
167296,167296,167296,167296,167296
2467,2467,2467,2467,2467
146902,146902,146902,146902,146902
3963,3963,3963,3963,3963
561400,561400,561400,561400,561400
38436,38436,38436,38436,38436
58330,58330,58330,58330,58330
26355,26355,26355,26355,26355
0,0,0,0,0
861,861,861,861,861
