Padi,Pertanian kehutanan dan perikanan
Kacang Kedelai,Pertanian kehutanan dan perikanan
Jagung,Pertanian kehutanan dan perikanan
Umbi-umbian,Pertanian kehutanan dan perikanan
Tanaman bahan makanan lainnya,Pertanian kehutanan dan perikanan
Cabe,Pertanian kehutanan dan perikanan
Sayur-sayuran,Pertanian kehutanan dan perikanan
Buah-Buahan,Pertanian kehutanan dan perikanan
Hortikultura lainnya,Pertanian kehutanan dan perikanan
Kopi,Pertanian kehutanan dan perikanan
Kelapa,Pertanian kehutanan dan perikanan
Karet,Pertanian kehutanan dan perikanan
Kelapa sawit,Pertanian kehutanan dan perikanan
Pinang,Pertanian kehutanan dan perikanan
Kakao,Pertanian kehutanan dan perikanan
Tebu,Pertanian kehutanan dan perikanan
Tanaman perkebunan lainnya,Pertanian kehutanan dan perikanan
Ternak dan hasil-hasilnya,Pertanian kehutanan dan perikanan
Unggas dan hasil-hasilnya,Pertanian kehutanan dan perikanan
Jasa pertanian,Pertanian kehutanan dan perikanan
Kehutanan dan hasil-hasilnya,Pertanian kehutanan dan perikanan
Perikanan Laut,Pertanian kehutanan dan perikanan
Perikanan Darat,Pertanian kehutanan dan perikanan
Pertambangan Minyak dan Gas,Pertambangan dan penggalian
Pertambangan batu bara,Pertambangan dan penggalian
Pertambangan Bijih Logam,Pertambangan dan penggalian
Pertambangan lainnya,Pertambangan dan penggalian
Penggalian,Pertambangan dan penggalian
Industri Pengilangan Minyak dan Gas,Pertambangan dan penggalian
Ind makanan,Industri pengolahan
Ind minyak makan,Industri pengolahan
"Ind penggilingan beras, bj2an & tepung",Industri pengolahan
Ind minuman,Industri pengolahan
"Industri Tekstil, pakaian jadi dan kulit",Industri pengolahan
Ind penggergajian kayu & bh bgn dr ky,Industri pengolahan
Ind percetk & penerbitan,Industri pengolahan
Ind pupuk urea dan kimia dasar,Industri pengolahan
Ind semen,Industri pengolahan
"Ind br2 galian bh bgn, kpr & br ln dr bk lgm",Industri pengolahan
"Ind brg2 dr logam, mesin & perlengkapan",Industri pengolahan
"Ind perabot RT dr kayu, bambu, rotan",Industri pengolahan
Ind barang-barang lainnya,Industri pengolahan
Listrik dan Produksi Es,Pengadaan listrik dan gas
"Air, Pengelolaan Sampah & Daur Ulang",Pengadaan air pengelolaan sampah limbah dan daur ulang
Konstruksi,Konstruksi
Perdagangan,Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Reparasi dan Perawatan Mobil dan Sepeda Motor (Jasa Perbengkelan),Perdagangan besar dan eceran reparasi mobil dan sepeda motor
Angkutan darat,Transportasi dan pergudangan
Angkutan air,Transportasi dan pergudangan
Angkutan udara,Transportasi dan pergudangan
Jasa penunjang angkutan,Transportasi dan pergudangan
Pos dan Kurir,Transportasi dan pergudangan
Hotel,Penyediaan akomodasi dan makan minum
Penyediaan makanan dan minuman,Penyediaan akomodasi dan makan minum
Jasa informasi dan komunikasi,Informasi dan komunikasi
Bank,Jasa keuangan dan asuransi
Asuransi dan Dana Pensiun ,Jasa keuangan dan asuransi
Keuangan lainnya,Jasa keuangan dan asuransi
Real Estate,Real estat
Jasa perusahaan,Jasa perusahaan
Jasa Pemerintahaan dan Pertahanan,Administrasi pemerintahan pertahanan dan jaminan sosial wajib
Jasa Pendidikan (Jasa Pendidikan Pemerintah & Swasta),Jasa pendidikan
Jasa sosial & kemasyarakatan (Jasa Kemasyarakatan Pemerintah & Swasta),Jasa kesehatan dan kegiatan sosial
"Jasa hiburan, rekreasi & kebudayaan (Jasa Hiburan, Rekreasi dan Kebudayaan Pemerintah & Swasta)",Jasa lainnya
Jasa Perorangan dan RT,Jasa lainnya
Jasa Lainnya,Jasa lainnya
