ID,Sektor,Labour
1,Padi,44675
2,Kacang Kedelai,2527
3,Jagung,2705
4,Umbi-umbian,572
5,Tanaman bahan makanan lainnya,416
6,Cabe,15221
7,Sayur-sayuran,10198
8,Buah-Buahan,9133
9,Hortikultura lainnya,47
10,Kopi,6770
11,Kelapa,864
12,Karet,13168
13,Kelapa sawit,26536
14,Pinang,283
15,Kakao,1014
16,Tebu,593
17,Tanaman perkebunan lainnya,3323
18,Ternak dan hasil-hasilnya,39474
19,Unggas dan hasil-hasilnya,21226
20,Jasa pertanian,26237
21,Kehutanan dan hasil-hasilnya,40046
22,Perikanan Laut,100833
23,Perikanan Darat,10838
24,Pertambangan Minyak dan Gas,28751
25,Pertambangan batu bara,12329
26,Pertambangan Bijih Logam,31353
27,Pertambangan lainnya,3683
28,Penggalian,17404
29,Industri Pengilangan Minyak dan Gas,45655
30,Ind makanan,1071
31,Ind minyak makan,12078
32,"Ind penggilingan beras, bj2an & tepung",9736
33,Ind minuman,1158
34,"Industri Tekstil, pakaian jadi dan kulit",533
35,Ind penggergajian kayu & bh bgn dr ky,97
36,Ind percetk & penerbitan,799
37,Ind pupuk urea dan kimia dasar,37485
38,Ind semen,3769
39,"Ind br2 galian bh bgn, kpr & br ln dr bk lgm",2521
40,"Ind brg2 dr logam, mesin & perlengkapan",1267
41,"Ind perabot RT dr kayu, bambu, rotan",3298
42,Ind barang-barang lainnya,3265
43,Listrik dan Produksi Es,26097
44,"Air, Pengelolaan Sampah & Daur Ulang",736
45,Konstruksi,173007
46,Perdagangan,201829
47,Reparasi dan Perawatan Mobil dan Sepeda Motor (Jasa Perbengkelan),1963
48,Angkutan darat,94968
49,Angkutan air,4294
50,Angkutan udara,22700
51,Jasa penunjang angkutan,1125
52,Pos dan Kurir,1359
53,Hotel,2808
54,Penyediaan makanan dan minuman,10516
55,Jasa informasi dan komunikasi,53348
56,Bank,31896
57,Asuransi dan Dana Pensiun ,604
58,Keuangan lainnya,909
59,Real Estate,14699
60,Jasa perusahaan,762
61,Jasa Pemerintahaan dan Pertahanan,381187
62,Jasa Pendidikan (Jasa Pendidikan Pemerintah & Swasta),69744
63,Jasa sosial & kemasyarakatan (Jasa Kemasyarakatan Pemerintah & Swasta),99056
64,"Jasa hiburan, rekreasi & kebudayaan (Jasa Hiburan, Rekreasi dan Kebudayaan Pemerintah & Swasta)",3293
65,Jasa Perorangan dan RT,4237
66,Jasa Lainnya,4453
