ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
1,Padi,102.7737421,0,0,0,0,17.91482979,38.95427434,0,45.22709528,0,0,0,0,0,0,0.003939621,0.036224184,0,0,0.63737892,0,0,0,0,0,0,0
2,Kacang Kedelai,5.333025999,0,0,0,0,0.929617343,2.021373879,0,2.346876449,0,0,0,0,0,0,0.000204431,0.001879707,0,0,0.033074191,0,0,0,0,0,0,0
3,Jagung,8.140491956,0,0,0,0,1.418995988,3.08548614,0,3.582343093,0,0,0,0,0,0,0.000312049,0.002869241,0,0,0.050485444,0,0,0,0,0,0,0
4,Umbi-umbian,1.961928021,0,0,0,0,0.341990141,0.743628487,0,0.863375252,0,0,0,0,0,0,7.52065E-05,0.000691512,0,0,0.012167423,0,0,0,0,0,0,0
5,Tanaman bahan makanan lainnya,1.202292707,0,0,0,0,0.209575605,0.455704336,0,0.529086571,0,0,0,0,0,0,4.60874E-05,0.000423767,0,0,0.007456341,0,0,0,0,0,0,0
6,Cabe,22.45657473,0,0,0,0,3.914479571,8.511703035,0,9.882345664,0,0,0,0,0,0,0.000860827,0.007915165,0,0,0.13927047,0,0,0,0,0,0,0
7,Sayur-sayuran,13.89182819,0,0,0,0,2.421530367,5.265411916,0,6.113303108,0,0,0,0,0,0,0.000532515,0.004896388,0,0,0.086153898,0,0,0,0,0,0,0
8,Buah-Buahan,23.47142593,0,0,0,0,4.091381629,8.896361522,0,10.32894585,0,0,0,0,0,0,0.000899729,0.008272865,0,0,0.145564342,0,0,0,0,0,0,0
9,Hortikultura lainnya,0.058945819,0,0,0,0,0.01027504,0.022342201,0,0.025939974,0,0,0,0,0,0,2.25957E-06,2.07764E-05,0,0,0.000365568,0,0,0,0,0,0,0
10,Kopi,11.52480895,0,0,0,0,2.008927441,4.36824193,0,5.071661514,0,0,0,0,0,0,0.00044178,0.004062096,0,0,0.071474193,0,0,0,0,0,0,0
11,Kelapa,1.801557694,0,0,0,0,0.314035461,0.682843411,0,0.792801933,0,0,0,0,0,0,6.9059E-05,0.000634987,0,0,0.011172843,0,0,0,0,0,0,0
12,Karet,11.51370612,0,0,0,0,2.00699207,4.36403363,0,5.066775549,0,0,0,0,0,0,0.000441354,0.004058183,0,0,0.071405336,0,0,0,0,0,0,0
13,Kelapa sawit,25.93020552,0,0,0,0,4.519979605,9.828311383,0,11.41096793,0,0,0,0,0,0,0.000993981,0.009139499,0,0,0.160813123,0,0,0,0,0,0,0
