ID,SEKTOR,Total_Ec,Padat_Ditimbun_di_TPA ,Padat_Kompos,Padat_R3,Padat_waste_to_energy,Padat_dibakar_terbuka,Padat_tidak_terkelola ,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_R3
1,Padi,4462593.669,0,1404816.368,0,0,1404816.368,1650101.765,0,0,0,2001.417977,857.7505617,0,0,0
2,Kacang Kedelai,128391.5236,0,0,38468.94,0,0,89760.86,0,0,0,113.206544,48.51709029,0,0,0
3,Jagung,7915.093267,0,0,2322.585,0,0,5419.365,0,0,0,121.2002867,51.94298001,0,0,0
4,Umbi-umbian,1076.678731,0,0,312.03,0,0,728.07,0,0,0,25.60511161,10.97361926,0,0,0
5,Tanaman bahan makanan lainnya,13530.57818,0,0,4051.1925,0,0,9452.7825,0,0,0,18.6222226,7.980952544,0,0,0
6,Cabe,21357.09892,0,0,6114.879,0,0,14268.051,0,0,0,681.9182467,292.2506771,0,0,0
7,Sayur-sayuran,41762.7818,0,0,12333.0375,0,0,28777.0875,0,0,0,456.8597593,195.7970397,0,0,0
8,Buah-Buahan,584.5118895,0,0,0,0,0,0,0,0,0,409.1583227,175.3535669,0,0,0
9,Hortikultura lainnya (sudah termasuk kedalam sayuran dan buah-buahan),8150.123931,0,0,2444.13,0,0,5702.97,0,0,0,2.116751391,0.907179168,0,0,0
10,Kopi,23144.35876,0,0,0,0,0,22711.08,0,0,0,303.2951329,129.9836284,0,0,0
11,Kelapa,65840.66062,0,0,14424.405,0,0,33656.945,0,0,0,0,0,0,0,0
12,Karet,2275227.94,0,0,0,0,0,0,0,0,0,589.9078068,252.8176315,0,0,0
13,Kelapa sawit,3668431.95,0,0,1237.185,0,0,2886.765,0,0,0,1521420.682,2142887.318,0,0,0
14,Pinang,5586.123665,0,0,1670.4,0,0,3897.6,0,0,0,12.68656536,5.437099441,0,0,0
15,Kakao,18237.66756,0,0,9086.4,0,0,9086.4,0,0,0,45.40729427,19.46026897,0,0,0
16,Tebu,55939.80507,0,0,16770.555,0,0,39131.295,0,0,0,26.56855123,11.38652195,0,0,0
17,Tanaman perkebunan lainnya,35743.14477,0,0,0,0,0,0,0,0,0,148.8688416,63.80093212,0,0,0
18,Ternak dan hasil-hasilnya,179399.9446,0,0,524.27088,0,0,1223.29872,0,0,0,0,177652.375,0,0,0
19,Unggas dan hasil-hasilnya,1386.026164,13.77464989,0,2.47943698,0,5.509859956,5.785352954,0,0,0,950.9338047,407.5430592,0,0,0
20,Jasa pertanian,30849.59906,0,0,8313.565037,0,0,20856.8386,0,0,0,1175.436791,503.7586245,0,0,0
